id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528011,401752801,Purdue,Big Ten,Ball State,Mid-American,1,True,1,28,72,"{'minutes': 14, 'seconds': 56}",1,100,0,"{'minutes': 14, 'seconds': 20}","{'minutes': 0, 'seconds': 36}",2,72,TD,True,0,0,7,0
4017528012,401752801,Ball State,Mid-American,Purdue,Big Ten,2,False,1,80,80,"{'minutes': 14, 'seconds': 16}",1,74,74,"{'minutes': 12, 'seconds': 42}","{'minutes': 1, 'seconds': 34}",3,6,PUNT,False,0,7,0,7
4017528013,401752801,Purdue,Big Ten,Ball State,Mid-American,3,True,1,29,71,"{'minutes': 12, 'seconds': 42}",1,100,0,"{'minutes': 9, 'seconds': 47}","{'minutes': 2, 'seconds': 55}",6,71,TD,True,7,0,14,0
4017528014,401752801,Ball State,Mid-American,Purdue,Big Ten,4,False,1,69,69,"{'minutes': 9, 'seconds': 43}",1,67,67,"{'minutes': 7, 'seconds': 32}","{'minutes': 2, 'seconds': 11}",3,2,PUNT,False,0,14,0,14
4017528015,401752801,Purdue,Big Ten,Ball State,Mid-American,5,False,1,36,64,"{'minutes': 7, 'seconds': 32}",1,40,60,"{'minutes': 5, 'seconds': 45}","{'minutes': 1, 'seconds': 47}",3,4,PUNT,True,14,0,14,0
4017528016,401752801,Ball State,Mid-American,Purdue,Big Ten,6,False,1,88,88,"{'minutes': 5, 'seconds': 45}",1,55,55,"{'minutes': 0, 'seconds': 47}","{'minutes': 4, 'seconds': 58}",8,33,PUNT,False,0,14,0,14
4017528017,401752801,Purdue,Big Ten,Ball State,Mid-American,7,True,1,9,91,"{'minutes': 0, 'seconds': 47}",2,100,0,"{'minutes': 10, 'seconds': 21}","{'minutes': 5, 'seconds': 26}",13,91,TD,True,14,0,21,0
4017528018,401752801,Ball State,Mid-American,Purdue,Big Ten,8,False,2,75,75,"{'minutes': 10, 'seconds': 21}",2,71,71,"{'minutes': 8, 'seconds': 35}","{'minutes': 1, 'seconds': 46}",3,4,PUNT,False,0,21,0,21
4017528019,401752801,Purdue,Big Ten,Ball State,Mid-American,9,False,2,35,65,"{'minutes': 8, 'seconds': 35}",2,41,59,"{'minutes': 7, 'seconds': 14}","{'minutes': 1, 'seconds': 21}",3,6,PUNT,True,21,0,21,0
40175280110,401752801,Ball State,Mid-American,Purdue,Big Ten,10,False,2,96,96,"{'minutes': 7, 'seconds': 14}",2,36,36,"{'minutes': 1, 'seconds': 51}","{'minutes': 5, 'seconds': 23}",9,60,DOWNS,False,0,21,0,21
40175280111,401752801,Purdue,Big Ten,Ball State,Mid-American,11,False,2,36,64,"{'minutes': 1, 'seconds': 51}",2,43,57,"{'minutes': 0, 'seconds': 46}","{'minutes': 1, 'seconds': 5}",3,7,PUNT,True,21,0,21,0
40175280112,401752801,Ball State,Mid-American,Purdue,Big Ten,12,False,2,94,94,"{'minutes': 0, 'seconds': 46}",2,97,97,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 46}",1,-3,END OF HALF,False,0,21,0,21
40175280113,401752801,Ball State,Mid-American,Purdue,Big Ten,13,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,27,27,"{'minutes': 7, 'seconds': 18}","{'minutes': 7, 'seconds': 42}",13,48,MISSED FG,False,0,21,0,21
40175280114,401752801,Purdue,Big Ten,Ball State,Mid-American,14,True,3,27,73,"{'minutes': 7, 'seconds': 18}",3,100,0,"{'minutes': 4, 'seconds': 40}","{'minutes': 2, 'seconds': 38}",7,73,TD,True,21,0,28,0
40175280115,401752801,Ball State,Mid-American,Purdue,Big Ten,15,False,3,75,75,"{'minutes': 4, 'seconds': 40}",3,68,68,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 40}",6,7,PUNT,False,0,28,0,28
40175280116,401752801,Purdue,Big Ten,Ball State,Mid-American,16,True,4,29,71,"{'minutes': 15, 'seconds': 0}",4,90,10,"{'minutes': 9, 'seconds': 59}","{'minutes': 5, 'seconds': 1}",13,61,FG,True,28,0,31,0
40175280117,401752801,Ball State,Mid-American,Purdue,Big Ten,17,False,4,75,75,"{'minutes': 9, 'seconds': 59}",4,12,12,"{'minutes': 5, 'seconds': 27}","{'minutes': 4, 'seconds': 32}",8,63,MISSED FG,False,0,31,0,31
40175280118,401752801,Purdue,Big Ten,Ball State,Mid-American,18,False,4,20,80,"{'minutes': 5, 'seconds': 27}",4,78,22,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 27}",10,53,END OF GAME,True,31,0,31,0
4017528191,401752819,Southern Illinois,MVFC,Purdue,Big Ten,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 10, 'seconds': 29}","{'minutes': 4, 'seconds': 31}",10,75,TD,False,0,0,7,0
4017528192,401752819,Purdue,Big Ten,Southern Illinois,MVFC,2,True,1,28,72,"{'minutes': 10, 'seconds': 23}",1,100,0,"{'minutes': 6, 'seconds': 34}","{'minutes': 3, 'seconds': 49}",9,72,TD,True,0,7,7,7
4017528193,401752819,Southern Illinois,MVFC,Purdue,Big Ten,3,True,1,75,75,"{'minutes': 6, 'seconds': 34}",1,0,0,"{'minutes': 5, 'seconds': 8}","{'minutes': 1, 'seconds': 26}",3,75,TD,False,7,7,14,7
