id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568841,401756884,Houston,Big 12,Rice,American Athletic,1,False,1,67,67,"{'minutes': 14, 'seconds': 55}",1,66,66,"{'minutes': 13, 'seconds': 22}","{'minutes': 1, 'seconds': 33}",3,1,PUNT,False,0,0,0,0
4017568842,401756884,Rice,American Athletic,Houston,Big 12,2,False,1,26,74,"{'minutes': 13, 'seconds': 22}",1,30,70,"{'minutes': 11, 'seconds': 43}","{'minutes': 1, 'seconds': 39}",3,4,PUNT,True,0,0,0,0
4017568843,401756884,Houston,Big 12,Rice,American Athletic,3,False,1,70,70,"{'minutes': 11, 'seconds': 43}",1,63,63,"{'minutes': 10, 'seconds': 31}","{'minutes': 1, 'seconds': 12}",3,7,PUNT,False,0,0,0,0
4017568844,401756884,Rice,American Athletic,Houston,Big 12,4,False,1,12,88,"{'minutes': 10, 'seconds': 31}",1,20,80,"{'minutes': 8, 'seconds': 37}","{'minutes': 1, 'seconds': 54}",3,8,PUNT,True,0,0,0,0
4017568845,401756884,Houston,Big 12,Rice,American Athletic,5,False,1,66,66,"{'minutes': 8, 'seconds': 37}",1,46,46,"{'minutes': 5, 'seconds': 40}","{'minutes': 2, 'seconds': 57}",6,20,DOWNS,False,0,0,0,0
4017568846,401756884,Rice,American Athletic,Houston,Big 12,6,False,1,46,54,"{'minutes': 5, 'seconds': 40}",1,51,49,"{'minutes': 3, 'seconds': 38}","{'minutes': 2, 'seconds': 2}",3,5,PUNT,True,0,0,0,0
4017568847,401756884,Houston,Big 12,Rice,American Athletic,7,False,1,80,80,"{'minutes': 3, 'seconds': 38}",1,59,59,"{'minutes': 0, 'seconds': 47}","{'minutes': 2, 'seconds': 51}",6,21,PUNT,False,0,0,0,3
4017568848,401756884,Rice,American Athletic,Houston,Big 12,8,True,1,29,71,"{'minutes': 0, 'seconds': 47}",2,76,24,"{'minutes': 9, 'seconds': 20}","{'minutes': 6, 'seconds': 27}",14,47,FG,True,0,0,3,0
4017568849,401756884,Houston,Big 12,Rice,American Athletic,9,False,2,75,75,"{'minutes': 9, 'seconds': 20}",2,65,65,"{'minutes': 7, 'seconds': 14}","{'minutes': 2, 'seconds': 6}",5,10,PUNT,False,0,0,0,3
40175688415,401756884,Rice,American Athletic,Houston,Big 12,10,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,36,64,"{'minutes': 13, 'seconds': 14}","{'minutes': 1, 'seconds': 46}",4,11,PUNT,True,3,0,3,7
40175688417,401756884,Rice,American Athletic,Houston,Big 12,11,False,3,25,75,"{'minutes': 6, 'seconds': 24}",3,9,91,"{'minutes': 4, 'seconds': 34}","{'minutes': 1, 'seconds': 50}",3,-16,PUNT,True,3,7,3,14
40175688416,401756884,Houston,Big 12,Rice,American Athletic,12,True,3,76,76,"{'minutes': 13, 'seconds': 14}",3,0,0,"{'minutes': 6, 'seconds': 24}","{'minutes': 6, 'seconds': 50}",15,76,TD,False,7,3,14,3
