id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529481,401752948,San Diego State,Mountain West,Washington State,Pac-12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,58,58,"{'minutes': 13, 'seconds': 5}","{'minutes': 1, 'seconds': 55}",5,17,PUNT,False,0,0,0,0
4017529482,401752948,Washington State,Pac-12,San Diego State,Mountain West,2,False,1,19,81,"{'minutes': 13, 'seconds': 5}",1,20,80,"{'minutes': 12, 'seconds': 0}","{'minutes': 1, 'seconds': 5}",3,1,PUNT,True,0,0,0,0
4017529483,401752948,San Diego State,Mountain West,Washington State,Pac-12,3,True,1,56,56,"{'minutes': 12, 'seconds': 0}",1,0,0,"{'minutes': 10, 'seconds': 0}","{'minutes': 2, 'seconds': 0}",5,56,TD,False,0,0,7,0
4017529484,401752948,Washington State,Pac-12,San Diego State,Mountain West,4,False,1,25,75,"{'minutes': 10, 'seconds': 0}",1,32,68,"{'minutes': 9, 'seconds': 5}","{'minutes': 0, 'seconds': 55}",3,7,PUNT,True,0,7,0,7
4017529485,401752948,San Diego State,Mountain West,Washington State,Pac-12,5,False,1,81,81,"{'minutes': 9, 'seconds': 5}",1,79,79,"{'minutes': 8, 'seconds': 7}","{'minutes': 0, 'seconds': 58}",3,2,PUNT,False,7,0,7,0
4017529486,401752948,Washington State,Pac-12,San Diego State,Mountain West,6,True,1,52,48,"{'minutes': 8, 'seconds': 7}",1,100,0,"{'minutes': 5, 'seconds': 18}","{'minutes': 2, 'seconds': 49}",6,48,TD,True,0,7,7,7
4017529487,401752948,San Diego State,Mountain West,Washington State,Pac-12,7,False,1,75,75,"{'minutes': 5, 'seconds': 18}",1,69,69,"{'minutes': 3, 'seconds': 43}","{'minutes': 1, 'seconds': 35}",3,6,PUNT,False,7,7,7,7
4017529488,401752948,Washington State,Pac-12,San Diego State,Mountain West,8,True,1,30,70,"{'minutes': 3, 'seconds': 43}",2,69,31,"{'minutes': 14, 'seconds': 48}","{'minutes': 3, 'seconds': 55}",13,39,FG,True,7,7,10,7
4017529489,401752948,San Diego State,Mountain West,Washington State,Pac-12,9,False,2,75,75,"{'minutes': 14, 'seconds': 48}",2,77,77,"{'minutes': 13, 'seconds': 4}","{'minutes': 1, 'seconds': 44}",3,-2,PUNT,False,7,10,7,10
40175294810,401752948,Washington State,Pac-12,San Diego State,Mountain West,10,False,2,19,81,"{'minutes': 13, 'seconds': 4}",2,24,76,"{'minutes': 10, 'seconds': 24}","{'minutes': 2, 'seconds': 40}",4,5,PUNT,True,10,7,10,7
40175294811,401752948,San Diego State,Mountain West,Washington State,Pac-12,11,False,2,80,80,"{'minutes': 10, 'seconds': 24}",2,74,74,"{'minutes': 8, 'seconds': 41}","{'minutes': 1, 'seconds': 43}",3,6,PUNT,False,7,10,7,10
