id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526971,401752697,Auburn,SEC,South Alabama,Sun Belt,1,True,1,8,92,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 9, 'seconds': 9}","{'minutes': 5, 'seconds': 51}",12,92,TD,True,0,0,7,0
4017526972,401752697,South Alabama,Sun Belt,Auburn,SEC,2,True,1,75,75,"{'minutes': 9, 'seconds': 9}",1,11,11,"{'minutes': 3, 'seconds': 43}","{'minutes': 5, 'seconds': 26}",12,64,FG,False,0,7,3,7
4017526973,401752697,Auburn,SEC,South Alabama,Sun Belt,3,False,1,31,69,"{'minutes': 3, 'seconds': 35}",1,35,65,"{'minutes': 2, 'seconds': 45}","{'minutes': 0, 'seconds': 50}",3,4,PUNT,True,7,3,7,3
4017526974,401752697,South Alabama,Sun Belt,Auburn,SEC,4,False,1,88,88,"{'minutes': 2, 'seconds': 45}",1,70,70,"{'minutes': 0, 'seconds': 44}","{'minutes': 2, 'seconds': 1}",5,18,INT,False,3,7,3,7
4017526975,401752697,Auburn,SEC,South Alabama,Sun Belt,5,True,1,67,33,"{'minutes': 0, 'seconds': 44}",2,100,0,"{'minutes': 14, 'seconds': 14}","{'minutes': 1, 'seconds': 30}",5,33,TD,True,7,3,14,3
4017526976,401752697,South Alabama,Sun Belt,Auburn,SEC,6,False,2,91,91,"{'minutes': 14, 'seconds': 8}",2,85,85,"{'minutes': 12, 'seconds': 24}","{'minutes': 1, 'seconds': 44}",3,6,PUNT,False,3,14,3,14
4017526977,401752697,Auburn,SEC,South Alabama,Sun Belt,7,True,2,46,54,"{'minutes': 12, 'seconds': 24}",2,100,0,"{'minutes': 9, 'seconds': 48}","{'minutes': 2, 'seconds': 36}",7,54,TD,True,14,3,21,3
4017526978,401752697,South Alabama,Sun Belt,Auburn,SEC,8,True,2,75,75,"{'minutes': 9, 'seconds': 48}",2,0,0,"{'minutes': 5, 'seconds': 24}","{'minutes': 4, 'seconds': 24}",10,75,TD,False,3,21,9,21
4017526979,401752697,Auburn,SEC,South Alabama,Sun Belt,9,True,2,25,75,"{'minutes': 5, 'seconds': 24}",2,100,0,"{'minutes': 0, 'seconds': 40}","{'minutes': 4, 'seconds': 44}",14,75,TD,True,21,9,28,9
40175269710,401752697,South Alabama,Sun Belt,Auburn,SEC,10,False,2,75,75,"{'minutes': 0, 'seconds': 40}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 40}",1,-1,END OF HALF,False,9,28,9,28
40175269711,401752697,South Alabama,Sun Belt,Auburn,SEC,11,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 9, 'seconds': 55}","{'minutes': 5, 'seconds': 5}",11,75,TD,False,9,28,15,28
40175269712,401752697,Auburn,SEC,South Alabama,Sun Belt,12,True,3,22,78,"{'minutes': 9, 'seconds': 49}",3,84,16,"{'minutes': 1, 'seconds': 15}","{'minutes': 8, 'seconds': 34}",16,62,FG,True,28,15,31,15
40175269713,401752697,South Alabama,Sun Belt,Auburn,SEC,13,False,3,75,75,"{'minutes': 1, 'seconds': 15}",4,21,21,"{'minutes': 10, 'seconds': 43}","{'minutes': 5, 'seconds': 32}",12,54,FUMBLE,False,15,31,15,31
40175269714,401752697,Auburn,SEC,South Alabama,Sun Belt,14,False,4,21,79,"{'minutes': 10, 'seconds': 43}",4,23,77,"{'minutes': 9, 'seconds': 1}","{'minutes': 1, 'seconds': 42}",3,2,PUNT,True,31,15,31,15
