gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401761593,4017615937,401761593102874502,8,1,South Alabama,Sun Belt,10,Morgan State,MEAC,7,South Alabama,Morgan State,2,"{'minutes': 12, 'seconds': 54}",2.0,3.0,35,65,1,10,0,False,Kickoff,Hamilton DiBoyan kickoff for 65 yds for a touchback,,2025-08-30T23:58:43.000Z
401761593,4017615937,401761593102906701,8,7,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 9, 'seconds': 32}",3.0,2.0,62,62,3,10,0,False,Penalty,"Morgan State Penalty, Intentional Grounding (Anthony Ngansi) to the MORG 38",,2025-08-31T00:04:56.000Z
401761593,4017615937,401761593102907301,8,8,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 9, 'seconds': 26}",3.0,2.0,62,62,4,10,0,False,Punt,"Shane Messenger punt for 32 yds, fair catch by Devin Voisin at the USA 30",,2025-08-31T00:05:00.000Z
401761593,4017615937,401761593102875101,8,2,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 12, 'seconds': 48}",3.0,2.0,75,75,1,10,7,False,Rush,Jason Collins Jr. run for 7 yds to the MORG 32,0.604642460086338,2025-08-30T23:59:47.000Z
401761593,4017615937,401761593102878601,8,3,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 12, 'seconds': 13}",3.0,2.0,68,68,2,3,2,False,Rush,Jason Collins Jr. run for 2 yds to the MORG 34,-0.6276763220352857,2025-08-31T00:00:16.000Z
401761593,4017615937,401761593102888001,8,4,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 11, 'seconds': 19}",3.0,2.0,66,66,3,1,4,False,Pass Reception,Kobe Muasau pass complete to Malique Leatherbury for 4 yds to the MORG 38 for a 1ST down,1.1477853409907786,2025-08-31T00:01:14.000Z
401761593,4017615937,401761593102895301,8,5,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 10, 'seconds': 46}",3.0,2.0,62,62,1,10,4,False,Rush,Jason Collins Jr. run for 4 yds to the MORG 42,-0.1660250563858484,2025-08-31T00:01:46.000Z
401761593,4017615937,401761593102904901,8,6,Morgan State,MEAC,7,South Alabama,Sun Belt,10,South Alabama,Morgan State,2,"{'minutes': 9, 'seconds': 50}",3.0,2.0,58,58,2,6,-4,False,Sack,Kobe Muasau sacked by Nathan Jennings for a loss of 4 yards to the MORG 38,-1.6158025729174668,2025-08-31T00:02:51.000Z
401761593,40176159312,401761593102895201,9,3,South Alabama,Sun Belt,17,Morgan State,MEAC,7,South Alabama,Morgan State,2,"{'minutes': 10, 'seconds': 47}",2.0,3.0,27,73,1,10,-5,False,Penalty,"PENALTY USA False Start (Wiggins,Amaury) 5 yards from USA27 to USA22. NO PLAY.",,2025-08-31T00:35:49.000Z
401761593,40176159312,401761593102999902,9,5,South Alabama,Sun Belt,17,Morgan State,MEAC,7,South Alabama,Morgan State,2,"{'minutes': 0, 'seconds': 0}",2.0,3.0,22,78,0,15,7,False,End of Half,End of 2nd Quarter,,2025-08-31T00:35:49.000Z
