id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526801,401752680,South Carolina,SEC,Virginia Tech,ACC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 9}","{'minutes': 2, 'seconds': 51}",7,75,TD,True,0,0,7,0
4017526802,401752680,Virginia Tech,ACC,South Carolina,SEC,2,False,1,98,98,"{'minutes': 12, 'seconds': 9}",1,85,85,"{'minutes': 12, 'seconds': 9}","{'minutes': 1, 'seconds': 35}",5,0,PUNT,False,0,7,0,7
4017526803,401752680,South Carolina,SEC,Virginia Tech,ACC,3,False,1,27,73,"{'minutes': 10, 'seconds': 34}",1,41,59,"{'minutes': 7, 'seconds': 27}","{'minutes': 3, 'seconds': 7}",6,19,PUNT,True,7,0,7,0
4017526804,401752680,Virginia Tech,ACC,South Carolina,SEC,4,False,1,90,90,"{'minutes': 7, 'seconds': 27}",1,20,20,"{'minutes': 5, 'seconds': 9}","{'minutes': 2, 'seconds': 18}",7,70,INT,False,0,7,0,7
4017526805,401752680,South Carolina,SEC,Virginia Tech,ACC,5,True,1,2,98,"{'minutes': 5, 'seconds': 9}",1,2,98,"{'minutes': 4, 'seconds': 33}","{'minutes': 0, 'seconds': 36}",2,-2,SF,True,7,0,7,2
4017526806,401752680,Virginia Tech,ACC,South Carolina,SEC,6,False,1,55,55,"{'minutes': 4, 'seconds': 33}",1,69,69,"{'minutes': 2, 'seconds': 31}","{'minutes': 2, 'seconds': 2}",3,-14,PUNT,False,2,7,2,7
4017526807,401752680,South Carolina,SEC,Virginia Tech,ACC,7,False,1,19,81,"{'minutes': 2, 'seconds': 31}",1,23,77,"{'minutes': 1, 'seconds': 17}","{'minutes': 1, 'seconds': 14}",3,4,PUNT,True,7,2,7,2
4017526808,401752680,Virginia Tech,ACC,South Carolina,SEC,8,True,1,71,71,"{'minutes': 1, 'seconds': 17}",2,12,12,"{'minutes': 13, 'seconds': 45}","{'minutes': 2, 'seconds': 32}",8,59,FG,False,2,7,5,7
4017526809,401752680,South Carolina,SEC,Virginia Tech,ACC,9,False,2,25,75,"{'minutes': 13, 'seconds': 45}",2,29,71,"{'minutes': 12, 'seconds': 21}","{'minutes': 1, 'seconds': 24}",3,4,PUNT,True,7,5,7,5
40175268010,401752680,Virginia Tech,ACC,South Carolina,SEC,10,False,2,84,84,"{'minutes': 12, 'seconds': 21}",2,64,64,"{'minutes': 8, 'seconds': 43}","{'minutes': 3, 'seconds': 38}",6,20,PUNT,False,5,7,5,7
40175268011,401752680,South Carolina,SEC,Virginia Tech,ACC,11,True,2,21,79,"{'minutes': 8, 'seconds': 43}",2,91,9,"{'minutes': 3, 'seconds': 42}","{'minutes': 5, 'seconds': 1}",13,70,FG,True,7,5,10,5
40175268012,401752680,Virginia Tech,ACC,South Carolina,SEC,12,True,2,100,100,"{'minutes': 3, 'seconds': 42}",2,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 42}",11,37,END OF HALF,False,5,10,8,10
40175268013,401752680,Virginia Tech,ACC,South Carolina,SEC,13,False,3,84,84,"{'minutes': 15, 'seconds': 0}",3,52,52,"{'minutes': 10, 'seconds': 48}","{'minutes': 4, 'seconds': 12}",8,32,PUNT,False,8,10,8,10
40175268014,401752680,South Carolina,SEC,Virginia Tech,ACC,14,False,3,17,83,"{'minutes': 10, 'seconds': 48}",3,56,44,"{'minutes': 8, 'seconds': 3}","{'minutes': 2, 'seconds': 45}",6,39,PUNT,True,10,8,10,8
40175268015,401752680,Virginia Tech,ACC,South Carolina,SEC,15,False,3,93,93,"{'minutes': 8, 'seconds': 3}",3,60,60,"{'minutes': 3, 'seconds': 22}","{'minutes': 4, 'seconds': 41}",9,33,PUNT,False,8,10,8,10
40175268016,401752680,South Carolina,SEC,Virginia Tech,ACC,16,False,3,18,82,"{'minutes': 3, 'seconds': 22}",3,24,76,"{'minutes': 0, 'seconds': 38}","{'minutes': 2, 'seconds': 44}",4,6,PUNT,True,10,8,10,8
40175268017,401752680,Virginia Tech,ACC,South Carolina,SEC,17,True,3,69,69,"{'minutes': 0, 'seconds': 38}",4,77,77,"{'minutes': 13, 'seconds': 36}","{'minutes': 2, 'seconds': 2}",3,-8,PUNT RETURN TD,False,8,10,8,17
40175268018,401752680,Virginia Tech,ACC,South Carolina,SEC,18,True,4,80,80,"{'minutes': 13, 'seconds': 36}",4,22,22,"{'minutes': 9, 'seconds': 0}","{'minutes': 4, 'seconds': 36}",9,58,FG,False,8,17,11,17
40175268019,401752680,South Carolina,SEC,Virginia Tech,ACC,19,True,4,25,75,"{'minutes': 9, 'seconds': 0}",4,100,0,"{'minutes': 7, 'seconds': 42}","{'minutes': 1, 'seconds': 18}",3,75,TD,True,17,11,24,11
