id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526841,401752684,South Florida,American Athletic,Florida,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,44,44,"{'minutes': 11, 'seconds': 51}","{'minutes': 3, 'seconds': 9}",9,31,PUNT,False,0,0,0,0
4017526842,401752684,Florida,SEC,South Florida,American Athletic,2,True,1,10,90,"{'minutes': 11, 'seconds': 51}",1,91,9,"{'minutes': 5, 'seconds': 39}","{'minutes': 6, 'seconds': 12}",14,81,FG,True,0,0,3,0
4017526843,401752684,South Florida,American Athletic,Florida,SEC,3,True,1,75,75,"{'minutes': 5, 'seconds': 39}",2,20,20,"{'minutes': 14, 'seconds': 52}","{'minutes': 5, 'seconds': 47}",15,55,FG,False,0,3,3,3
4017526844,401752684,Florida,SEC,South Florida,American Athletic,4,True,2,25,75,"{'minutes': 14, 'seconds': 52}",2,82,18,"{'minutes': 7, 'seconds': 13}","{'minutes': 7, 'seconds': 39}",13,57,FG,True,3,3,6,3
4017526845,401752684,South Florida,American Athletic,Florida,SEC,5,False,2,68,68,"{'minutes': 7, 'seconds': 5}",2,60,60,"{'minutes': 5, 'seconds': 18}","{'minutes': 1, 'seconds': 47}",3,8,PUNT,False,3,6,3,6
4017526846,401752684,Florida,SEC,South Florida,American Athletic,6,True,2,13,87,"{'minutes': 5, 'seconds': 18}",2,77,23,"{'minutes': 1, 'seconds': 50}","{'minutes': 3, 'seconds': 28}",8,64,FG,True,6,3,9,3
4017526847,401752684,South Florida,American Athletic,Florida,SEC,7,True,2,75,75,"{'minutes': 1, 'seconds': 50}",2,7,7,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 50}",8,68,FG,False,3,9,6,9
4017526848,401752684,Florida,SEC,South Florida,American Athletic,8,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,17,83,"{'minutes': 13, 'seconds': 15}","{'minutes': 1, 'seconds': 45}",3,-8,PUNT,True,9,6,9,6
4017526849,401752684,South Florida,American Athletic,Florida,SEC,9,False,3,90,90,"{'minutes': 13, 'seconds': 15}",3,66,66,"{'minutes': 10, 'seconds': 11}","{'minutes': 3, 'seconds': 4}",5,24,PUNT,False,6,9,6,9
40175268410,401752684,Florida,SEC,South Florida,American Athletic,10,False,3,14,86,"{'minutes': 10, 'seconds': 11}",3,39,61,"{'minutes': 8, 'seconds': 43}","{'minutes': 1, 'seconds': 28}",3,25,INT,True,9,6,9,6
40175268411,401752684,South Florida,American Athletic,Florida,SEC,11,False,3,82,82,"{'minutes': 8, 'seconds': 43}",3,62,62,"{'minutes': 7, 'seconds': 27}","{'minutes': 1, 'seconds': 16}",4,20,PUNT,False,6,9,6,9
40175268412,401752684,Florida,SEC,South Florida,American Athletic,12,False,3,11,89,"{'minutes': 7, 'seconds': 27}",3,55,45,"{'minutes': 3, 'seconds': 13}","{'minutes': 4, 'seconds': 14}",7,44,PUNT,True,9,6,9,6
40175268413,401752684,South Florida,American Athletic,Florida,SEC,13,True,3,86,86,"{'minutes': 3, 'seconds': 13}",3,0,0,"{'minutes': 2, 'seconds': 3}","{'minutes': 1, 'seconds': 10}",4,86,TD,False,6,9,13,9
40175268414,401752684,Florida,SEC,South Florida,American Athletic,14,True,3,25,75,"{'minutes': 2, 'seconds': 3}",3,0,100,"{'minutes': 0, 'seconds': 13}","{'minutes': 1, 'seconds': 50}",3,6,SF,True,9,13,9,15
40175268415,401752684,South Florida,American Athletic,Florida,SEC,15,False,3,68,68,"{'minutes': 0, 'seconds': 9}",4,76,76,"{'minutes': 14, 'seconds': 22}","{'minutes': 0, 'seconds': 47}",3,-8,PUNT,False,17,9,17,9
40175268416,401752684,Florida,SEC,South Florida,American Athletic,16,True,4,80,20,"{'minutes': 14, 'seconds': 22}",4,100,0,"{'minutes': 12, 'seconds': 29}","{'minutes': 1, 'seconds': 53}",5,20,TD,True,9,15,16,17
40175268417,401752684,South Florida,American Athletic,Florida,SEC,17,False,4,75,75,"{'minutes': 12, 'seconds': 29}",4,72,72,"{'minutes': 11, 'seconds': 9}","{'minutes': 1, 'seconds': 20}",3,3,PUNT,False,15,16,15,16
40175268418,401752684,Florida,SEC,South Florida,American Athletic,18,False,4,20,80,"{'minutes': 11, 'seconds': 9}",4,54,46,"{'minutes': 5, 'seconds': 52}","{'minutes': 5, 'seconds': 17}",8,34,PUNT,True,16,15,16,15
40175268419,401752684,South Florida,American Athletic,Florida,SEC,19,False,4,80,80,"{'minutes': 5, 'seconds': 52}",4,40,40,"{'minutes': 2, 'seconds': 52}","{'minutes': 3, 'seconds': 0}",7,40,MISSED FG,False,15,16,15,16
40175268420,401752684,Florida,SEC,South Florida,American Athletic,20,False,4,40,60,"{'minutes': 2, 'seconds': 52}",4,42,58,"{'minutes': 2, 'seconds': 25}","{'minutes': 0, 'seconds': 27}",3,2,PUNT,True,16,15,16,15
40175268421,401752684,South Florida,American Athletic,Florida,SEC,21,True,4,89,89,"{'minutes': 2, 'seconds': 25}",4,2,2,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 25}",8,87,FG,False,15,16,18,16
4017545351,401754535,Miami,ACC,South Florida,American Athletic,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 9, 'seconds': 34}","{'minutes': 5, 'seconds': 26}",9,75,TD,True,0,0,7,0
4017545352,401754535,South Florida,American Athletic,Miami,ACC,2,False,1,75,75,"{'minutes': 9, 'seconds': 34}",1,61,61,"{'minutes': 7, 'seconds': 29}","{'minutes': 2, 'seconds': 5}",6,14,PUNT,False,0,7,0,7
4017545353,401754535,Miami,ACC,South Florida,American Athletic,3,True,1,15,85,"{'minutes': 7, 'seconds': 29}",1,100,0,"{'minutes': 2, 'seconds': 58}","{'minutes': 4, 'seconds': 31}",9,85,TD,True,7,0,14,0
4017545354,401754535,South Florida,American Athletic,Miami,ACC,4,True,1,75,75,"{'minutes': 2, 'seconds': 58}",1,27,27,"{'minutes': 0, 'seconds': 26}","{'minutes': 2, 'seconds': 32}",7,48,FG,False,0,14,3,14
4017545355,401754535,Miami,ACC,South Florida,American Athletic,5,False,1,25,75,"{'minutes': 0, 'seconds': 26}",2,24,76,"{'minutes': 13, 'seconds': 45}","{'minutes': 1, 'seconds': 41}",3,-1,PUNT,True,14,3,14,3
4017545356,401754535,South Florida,American Athletic,Miami,ACC,6,True,2,75,75,"{'minutes': 13, 'seconds': 45}",2,10,10,"{'minutes': 11, 'seconds': 16}","{'minutes': 2, 'seconds': 29}",8,65,FG,False,3,14,6,14
4017545357,401754535,Miami,ACC,South Florida,American Athletic,7,True,2,25,75,"{'minutes': 11, 'seconds': 16}",2,100,0,"{'minutes': 10, 'seconds': 5}","{'minutes': 1, 'seconds': 11}",3,75,TD,True,14,6,21,6
4017545358,401754535,South Florida,American Athletic,Miami,ACC,8,False,2,75,75,"{'minutes': 10, 'seconds': 5}",2,79,79,"{'minutes': 8, 'seconds': 34}","{'minutes': 1, 'seconds': 31}",3,-4,PUNT,False,6,21,6,21
4017545359,401754535,Miami,ACC,South Florida,American Athletic,9,False,2,25,75,"{'minutes': 8, 'seconds': 34}",2,34,66,"{'minutes': 6, 'seconds': 5}","{'minutes': 2, 'seconds': 29}",3,9,PUNT,True,21,6,21,6
40175453510,401754535,South Florida,American Athletic,Miami,ACC,10,False,2,81,81,"{'minutes': 6, 'seconds': 5}",2,79,79,"{'minutes': 5, 'seconds': 36}","{'minutes': 0, 'seconds': 29}",3,2,INT,False,6,21,6,21
40175453511,401754535,Miami,ACC,South Florida,American Athletic,11,True,2,75,25,"{'minutes': 5, 'seconds': 36}",2,100,0,"{'minutes': 2, 'seconds': 33}","{'minutes': 3, 'seconds': 3}",6,25,TD,True,21,6,28,6
40175453512,401754535,South Florida,American Athletic,Miami,ACC,12,False,2,75,75,"{'minutes': 2, 'seconds': 33}",2,67,67,"{'minutes': 1, 'seconds': 42}","{'minutes': 0, 'seconds': 51}",3,8,PUNT,False,6,28,6,28
40175453513,401754535,Miami,ACC,South Florida,American Athletic,13,False,2,42,58,"{'minutes': 1, 'seconds': 42}",2,69,31,"{'minutes': 1, 'seconds': 16}","{'minutes': 0, 'seconds': 26}",2,27,INT,True,28,6,28,6
40175453514,401754535,South Florida,American Athletic,Miami,ACC,14,False,2,58,58,"{'minutes': 1, 'seconds': 16}",2,58,58,"{'minutes': 0, 'seconds': 52}","{'minutes': 0, 'seconds': 24}",3,0,PUNT,False,6,28,6,28
40175453515,401754535,Miami,ACC,South Florida,American Athletic,15,False,2,6,94,"{'minutes': 0, 'seconds': 52}",2,17,83,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 52}",3,11,END OF HALF,True,28,6,28,6
40175453516,401754535,South Florida,American Athletic,Miami,ACC,16,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,70,70,"{'minutes': 13, 'seconds': 44}","{'minutes': 1, 'seconds': 16}",3,5,PUNT,False,6,28,6,28
40175453517,401754535,Miami,ACC,South Florida,American Athletic,17,False,3,24,76,"{'minutes': 13, 'seconds': 44}",3,48,52,"{'minutes': 11, 'seconds': 21}","{'minutes': 2, 'seconds': 23}",5,24,INT,True,28,6,28,6
