id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526731,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 13, 'seconds': 35}","{'minutes': 1, 'seconds': 25}",6,75,TD,False,0,0,7,0
4017526732,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,2,False,1,25,75,"{'minutes': 13, 'seconds': 35}",1,50,50,"{'minutes': 9, 'seconds': 37}","{'minutes': 3, 'seconds': 58}",8,25,PUNT,True,0,7,0,7
4017526733,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,3,False,1,94,94,"{'minutes': 9, 'seconds': 37}",1,83,83,"{'minutes': 8, 'seconds': 32}","{'minutes': 1, 'seconds': 5}",4,11,INT,False,7,0,7,0
4017526734,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,4,True,1,74,26,"{'minutes': 8, 'seconds': 32}",1,75,25,"{'minutes': 7, 'seconds': 54}","{'minutes': 0, 'seconds': 38}",4,1,FG,True,0,7,3,7
4017526735,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,5,True,1,75,75,"{'minutes': 7, 'seconds': 54}",1,37,37,"{'minutes': 3, 'seconds': 35}","{'minutes': 4, 'seconds': 19}",10,38,FG,False,7,3,10,3
4017526736,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,6,False,1,25,75,"{'minutes': 3, 'seconds': 35}",2,55,45,"{'minutes': 14, 'seconds': 54}","{'minutes': 3, 'seconds': 41}",10,30,DOWNS,True,3,10,3,10
4017526737,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,7,False,2,55,55,"{'minutes': 14, 'seconds': 54}",2,55,55,"{'minutes': 13, 'seconds': 57}","{'minutes': 0, 'seconds': 57}",3,0,PUNT,False,10,3,10,3
4017526738,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,8,True,2,19,81,"{'minutes': 13, 'seconds': 57}",2,100,0,"{'minutes': 9, 'seconds': 32}","{'minutes': 4, 'seconds': 25}",12,81,TD,True,3,10,10,10
4017526739,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,9,False,2,75,75,"{'minutes': 9, 'seconds': 32}",2,66,66,"{'minutes': 8, 'seconds': 11}","{'minutes': 1, 'seconds': 21}",3,9,PUNT,False,10,10,10,10
40175267310,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,10,False,2,31,69,"{'minutes': 8, 'seconds': 11}",2,51,49,"{'minutes': 5, 'seconds': 59}","{'minutes': 2, 'seconds': 12}",6,15,PUNT,True,10,10,10,10
40175267311,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,11,True,2,75,75,"{'minutes': 5, 'seconds': 59}",2,12,12,"{'minutes': 0, 'seconds': 3}","{'minutes': 5, 'seconds': 56}",15,63,FG,False,10,10,13,10
40175267312,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,12,False,2,25,75,"{'minutes': 0, 'seconds': 3}",2,23,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-2,END OF HALF,True,10,13,10,13
40175267313,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,13,False,3,32,68,"{'minutes': 14, 'seconds': 50}",3,31,69,"{'minutes': 12, 'seconds': 44}","{'minutes': 2, 'seconds': 6}",6,-1,PUNT,True,10,13,10,13
40175267314,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,14,True,3,66,66,"{'minutes': 12, 'seconds': 44}",3,0,0,"{'minutes': 9, 'seconds': 34}","{'minutes': 3, 'seconds': 10}",8,66,TD,False,13,10,20,10
40175267315,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,15,False,3,25,75,"{'minutes': 9, 'seconds': 34}",3,27,73,"{'minutes': 7, 'seconds': 56}","{'minutes': 1, 'seconds': 38}",3,2,PUNT,True,10,20,10,20
40175267316,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,16,True,3,67,67,"{'minutes': 7, 'seconds': 56}",3,0,0,"{'minutes': 4, 'seconds': 57}","{'minutes': 2, 'seconds': 59}",11,67,TD,False,20,10,27,10
40175267317,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,17,False,3,25,75,"{'minutes': 4, 'seconds': 57}",3,25,75,"{'minutes': 4, 'seconds': 50}","{'minutes': 0, 'seconds': 7}",1,0,INT,True,10,27,10,27
40175267318,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,18,True,3,42,42,"{'minutes': 4, 'seconds': 50}",3,0,0,"{'minutes': 1, 'seconds': 52}","{'minutes': 2, 'seconds': 58}",9,42,TD,False,27,10,34,10
40175267319,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,19,False,3,25,75,"{'minutes': 1, 'seconds': 52}",3,34,66,"{'minutes': 0, 'seconds': 28}","{'minutes': 1, 'seconds': 24}",3,9,PUNT,True,10,34,10,34
40175267320,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,20,False,3,80,80,"{'minutes': 0, 'seconds': 28}",4,72,72,"{'minutes': 13, 'seconds': 40}","{'minutes': 1, 'seconds': 48}",3,8,PUNT,False,34,10,34,10
40175267321,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,21,False,4,25,75,"{'minutes': 13, 'seconds': 40}",4,93,7,"{'minutes': 8, 'seconds': 39}","{'minutes': 5, 'seconds': 1}",11,68,DOWNS,True,10,34,10,34
40175267322,401752673,Mississippi State,SEC,Southern Miss,Sun Belt,22,False,4,93,93,"{'minutes': 8, 'seconds': 39}",4,69,69,"{'minutes': 4, 'seconds': 49}","{'minutes': 3, 'seconds': 50}",8,24,PUNT,False,34,10,34,10
40175267323,401752673,Southern Miss,Sun Belt,Mississippi State,SEC,23,True,4,27,73,"{'minutes': 4, 'seconds': 49}",4,100,0,"{'minutes': 0, 'seconds': 33}","{'minutes': 4, 'seconds': 16}",10,73,TD,True,10,34,17,34
