id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017545162,401754516,Stanford,ACC,Hawai'i,Mountain West,1,True,1,75,75,"{'minutes': 14, 'seconds': 59}",1,5,5,"{'minutes': 7, 'seconds': 13}","{'minutes': 7, 'seconds': 46}",16,70,FG,False,0,0,3,0
4017545164,401754516,Hawai'i,Mountain West,Stanford,ACC,2,True,1,1,99,"{'minutes': 7, 'seconds': 14}",1,3,97,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 6}",1,99,FUMBLE RETURN TD,True,0,6,0,10
4017545166,401754516,Hawai'i,Mountain West,Stanford,ACC,3,False,1,25,75,"{'minutes': 7, 'seconds': 8}",1,33,67,"{'minutes': 5, 'seconds': 38}","{'minutes': 1, 'seconds': 39}",3,8,PUNT,True,0,17,0,17
4017545167,401754516,Stanford,ACC,Hawai'i,Mountain West,4,False,1,80,80,"{'minutes': 5, 'seconds': 29}",1,83,83,"{'minutes': 4, 'seconds': 45}","{'minutes': 0, 'seconds': 48}",3,-3,PUNT,False,17,0,17,0
4017545168,401754516,Hawai'i,Mountain West,Stanford,ACC,5,True,1,42,58,"{'minutes': 4, 'seconds': 41}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 22}",6,58,TD,True,0,10,7,17
40175451610,401754516,Stanford,ACC,Hawai'i,Mountain West,6,False,1,80,80,"{'minutes': 2, 'seconds': 8}",2,16,16,"{'minutes': 10, 'seconds': 59}","{'minutes': 6, 'seconds': 16}",13,64,MISSED FG,False,10,7,10,7
40175451611,401754516,Hawai'i,Mountain West,Stanford,ACC,7,False,2,20,80,"{'minutes': 10, 'seconds': 55}",2,64,36,"{'minutes': 8, 'seconds': 41}","{'minutes': 2, 'seconds': 18}",7,45,DOWNS,True,7,10,7,10
40175451612,401754516,Stanford,ACC,Hawai'i,Mountain West,8,True,2,65,65,"{'minutes': 8, 'seconds': 36}",2,28,28,"{'minutes': 3, 'seconds': 39}","{'minutes': 4, 'seconds': 58}",11,37,FG,False,10,7,13,7
40175451614,401754516,Hawai'i,Mountain West,Stanford,ACC,9,True,2,25,75,"{'minutes': 3, 'seconds': 38}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 57}",9,75,TD,True,7,13,14,16
40175451616,401754516,Stanford,ACC,Hawai'i,Mountain West,10,False,2,79,79,"{'minutes': 0, 'seconds': 39}",2,79,79,"{'minutes': 0, 'seconds': 30}","{'minutes': 0, 'seconds': 39}",2,0,END OF HALF,False,13,14,13,14
40175451624,401754516,Stanford,ACC,Hawai'i,Mountain West,11,True,3,85,85,"{'minutes': 4, 'seconds': 14}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 9, 'seconds': 37}",20,85,TD,False,13,17,20,20
40175451618,401754516,Hawai'i,Mountain West,Stanford,ACC,12,False,3,26,74,"{'minutes': 14, 'seconds': 52}",3,37,63,"{'minutes': 12, 'seconds': 25}","{'minutes': 2, 'seconds': 36}",6,11,PUNT,True,14,13,14,13
40175451619,401754516,Stanford,ACC,Hawai'i,Mountain West,13,False,3,85,85,"{'minutes': 12, 'seconds': 18}",3,82,82,"{'minutes': 10, 'seconds': 49}","{'minutes': 1, 'seconds': 35}",3,3,PUNT,False,13,14,13,14
40175451620,401754516,Hawai'i,Mountain West,Stanford,ACC,14,True,3,42,58,"{'minutes': 10, 'seconds': 41}",3,78,22,"{'minutes': 6, 'seconds': 25}","{'minutes': 4, 'seconds': 18}",11,36,FG,True,14,13,17,13
40175451622,401754516,Stanford,ACC,Hawai'i,Mountain West,15,False,3,73,73,"{'minutes': 6, 'seconds': 15}",3,70,70,"{'minutes': 5, 'seconds': 19}","{'minutes': 1, 'seconds': 6}",3,3,PUNT,False,13,20,13,20
40175451623,401754516,Hawai'i,Mountain West,Stanford,ACC,16,False,3,36,64,"{'minutes': 5, 'seconds': 9}",3,41,59,"{'minutes': 4, 'seconds': 18}","{'minutes': 0, 'seconds': 54}",3,5,PUNT,True,20,13,20,13
40175451626,401754516,Hawai'i,Mountain West,Stanford,ACC,17,False,4,25,75,"{'minutes': 9, 'seconds': 41}",4,27,73,"{'minutes': 8, 'seconds': 42}","{'minutes': 1, 'seconds': 7}",3,2,PUNT,True,17,20,17,20
40175451627,401754516,Stanford,ACC,Hawai'i,Mountain West,18,False,4,85,85,"{'minutes': 8, 'seconds': 34}",4,24,24,"{'minutes': 6, 'seconds': 1}","{'minutes': 2, 'seconds': 36}",5,61,INT,False,20,17,20,17
40175451628,401754516,Hawai'i,Mountain West,Stanford,ACC,19,True,4,31,69,"{'minutes': 5, 'seconds': 52}",4,81,19,"{'minutes': 2, 'seconds': 1}","{'minutes': 3, 'seconds': 57}",10,50,FG,True,17,20,20,20
40175451630,401754516,Stanford,ACC,Hawai'i,Mountain West,20,False,4,75,75,"{'minutes': 2, 'seconds': 0}",4,72,72,"{'minutes': 1, 'seconds': 43}","{'minutes': 0, 'seconds': 28}",3,3,PUNT,False,20,23,20,23
40175451631,401754516,Hawai'i,Mountain West,Stanford,ACC,21,True,4,28,72,"{'minutes': 1, 'seconds': 31}",5,80,20,"{'minutes': 0, 'seconds': 3}","{'minutes': 1, 'seconds': 33}",9,52,FG,True,20,20,23,20
4017545261,401754526,Stanford,ACC,BYU,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,71,71,"{'minutes': 13, 'seconds': 26}","{'minutes': 1, 'seconds': 34}",3,4,PUNT,False,0,0,0,0
4017545262,401754526,BYU,Big 12,Stanford,ACC,2,False,1,30,70,"{'minutes': 13, 'seconds': 26}",1,60,40,"{'minutes': 8, 'seconds': 13}","{'minutes': 5, 'seconds': 13}",11,30,DOWNS,True,0,0,0,0
4017545263,401754526,Stanford,ACC,BYU,Big 12,3,False,1,60,60,"{'minutes': 8, 'seconds': 13}",1,40,40,"{'minutes': 6, 'seconds': 41}","{'minutes': 1, 'seconds': 32}",4,20,PUNT,False,0,0,0,0
4017545264,401754526,BYU,Big 12,Stanford,ACC,4,True,1,15,85,"{'minutes': 6, 'seconds': 41}",1,100,0,"{'minutes': 3, 'seconds': 25}","{'minutes': 3, 'seconds': 16}",6,85,TD,True,0,0,6,0
4017545265,401754526,Stanford,ACC,BYU,Big 12,5,False,1,75,75,"{'minutes': 3, 'seconds': 25}",1,68,68,"{'minutes': 1, 'seconds': 59}","{'minutes': 1, 'seconds': 26}",3,7,INT,False,0,6,0,6
4017545266,401754526,BYU,Big 12,Stanford,ACC,6,True,1,82,18,"{'minutes': 1, 'seconds': 59}",2,83,17,"{'minutes': 14, 'seconds': 56}","{'minutes': 2, 'seconds': 3}",4,1,FG,True,6,0,9,0
4017545267,401754526,Stanford,ACC,BYU,Big 12,7,False,2,82,82,"{'minutes': 14, 'seconds': 56}",2,84,84,"{'minutes': 12, 'seconds': 51}","{'minutes': 2, 'seconds': 5}",3,-13,FUMBLE,False,0,9,0,9
