id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017545231,401754523,North Carolina,ACC,TCU,Big 12,1,True,1,17,83,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 10, 'seconds': 55}","{'minutes': 4, 'seconds': 5}",7,83,TD,True,0,0,7,0
4017545232,401754523,TCU,Big 12,North Carolina,ACC,2,False,1,75,75,"{'minutes': 10, 'seconds': 55}",1,60,60,"{'minutes': 8, 'seconds': 54}","{'minutes': 2, 'seconds': 1}",4,15,PUNT,False,0,7,0,7
4017545233,401754523,North Carolina,ACC,TCU,Big 12,3,False,1,35,65,"{'minutes': 8, 'seconds': 54}",1,24,76,"{'minutes': 6, 'seconds': 39}","{'minutes': 2, 'seconds': 15}",3,-11,PUNT,True,7,0,7,0
4017545234,401754523,TCU,Big 12,North Carolina,ACC,4,True,1,58,58,"{'minutes': 6, 'seconds': 39}",1,0,0,"{'minutes': 4, 'seconds': 8}","{'minutes': 2, 'seconds': 31}",6,58,TD,False,0,7,7,7
4017545235,401754523,North Carolina,ACC,TCU,Big 12,5,False,1,25,75,"{'minutes': 4, 'seconds': 8}",1,25,75,"{'minutes': 2, 'seconds': 37}","{'minutes': 1, 'seconds': 31}",3,0,PUNT,True,7,7,7,7
4017545236,401754523,TCU,Big 12,North Carolina,ACC,6,True,1,70,70,"{'minutes': 2, 'seconds': 37}",2,15,15,"{'minutes': 11, 'seconds': 13}","{'minutes': 6, 'seconds': 24}",14,55,FG,False,7,7,10,7
4017545237,401754523,North Carolina,ACC,TCU,Big 12,7,False,2,22,78,"{'minutes': 11, 'seconds': 13}",2,23,77,"{'minutes': 9, 'seconds': 40}","{'minutes': 1, 'seconds': 33}",3,1,PUNT,True,7,10,7,10
4017545238,401754523,TCU,Big 12,North Carolina,ACC,8,False,2,68,68,"{'minutes': 9, 'seconds': 40}",2,17,17,"{'minutes': 5, 'seconds': 13}","{'minutes': 4, 'seconds': 27}",10,51,INT,False,10,7,10,7
4017545239,401754523,North Carolina,ACC,TCU,Big 12,9,True,2,19,81,"{'minutes': 5, 'seconds': 13}",2,25,75,"{'minutes': 3, 'seconds': 57}","{'minutes': 1, 'seconds': 16}",3,6,INT TD,True,7,10,7,17
40175452310,401754523,North Carolina,ACC,TCU,Big 12,10,False,2,35,65,"{'minutes': 3, 'seconds': 57}",2,54,46,"{'minutes': 0, 'seconds': 53}","{'minutes': 3, 'seconds': 4}",5,19,PUNT,True,7,17,7,17
40175452311,401754523,TCU,Big 12,North Carolina,ACC,11,True,2,80,80,"{'minutes': 0, 'seconds': 53}",2,65,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 53}",9,63,END OF HALF,False,17,7,20,7
40175452312,401754523,TCU,Big 12,North Carolina,ACC,12,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 14, 'seconds': 48}","{'minutes': 0, 'seconds': 12}",1,75,TD,False,20,7,27,7
40175452313,401754523,North Carolina,ACC,TCU,Big 12,13,False,3,29,71,"{'minutes': 14, 'seconds': 48}",3,34,66,"{'minutes': 12, 'seconds': 29}","{'minutes': 2, 'seconds': 19}",3,5,PUNT,True,7,27,7,27
40175452314,401754523,TCU,Big 12,North Carolina,ACC,14,True,3,85,85,"{'minutes': 12, 'seconds': 29}",3,0,0,"{'minutes': 8, 'seconds': 30}","{'minutes': 3, 'seconds': 59}",9,85,TD,False,27,7,34,7
40175452315,401754523,North Carolina,ACC,TCU,Big 12,15,True,3,31,69,"{'minutes': 8, 'seconds': 30}",3,42,58,"{'minutes': 6, 'seconds': 56}","{'minutes': 1, 'seconds': 34}",5,6,FUMBLE TD,True,7,34,7,41
40175452316,401754523,North Carolina,ACC,TCU,Big 12,16,True,3,20,80,"{'minutes': 6, 'seconds': 56}",3,100,0,"{'minutes': 0, 'seconds': 29}","{'minutes': 6, 'seconds': 27}",10,80,TD,True,7,41,14,41
40175452317,401754523,TCU,Big 12,North Carolina,ACC,17,False,3,75,75,"{'minutes': 0, 'seconds': 29}",4,86,86,"{'minutes': 13, 'seconds': 53}","{'minutes': 1, 'seconds': 36}",3,-11,PUNT,False,41,14,41,14
40175452318,401754523,North Carolina,ACC,TCU,Big 12,18,False,4,51,49,"{'minutes': 13, 'seconds': 53}",4,76,24,"{'minutes': 11, 'seconds': 47}","{'minutes': 2, 'seconds': 6}",4,25,FUMBLE,True,14,41,14,41
40175452319,401754523,TCU,Big 12,North Carolina,ACC,19,True,4,76,76,"{'minutes': 11, 'seconds': 47}",4,0,0,"{'minutes': 9, 'seconds': 21}","{'minutes': 2, 'seconds': 26}",5,76,TD,False,41,14,48,14
40175452320,401754523,North Carolina,ACC,TCU,Big 12,20,False,4,25,75,"{'minutes': 9, 'seconds': 21}",4,23,77,"{'minutes': 7, 'seconds': 40}","{'minutes': 1, 'seconds': 41}",3,-2,PUNT,True,14,48,14,48
40175452321,401754523,TCU,Big 12,North Carolina,ACC,21,False,4,56,56,"{'minutes': 7, 'seconds': 40}",4,9,9,"{'minutes': 0, 'seconds': 0}","{'minutes': 7, 'seconds': 40}",13,47,END OF GAME,False,48,14,48,14
4017546361,401754636,SMU,ACC,TCU,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,72,72,"{'minutes': 13, 'seconds': 19}","{'minutes': 1, 'seconds': 41}",3,3,PUNT,False,0,0,0,0
4017546362,401754636,TCU,Big 12,SMU,ACC,2,True,1,33,67,"{'minutes': 13, 'seconds': 19}",1,100,0,"{'minutes': 8, 'seconds': 56}","{'minutes': 4, 'seconds': 23}",9,67,TD,True,0,0,7,0
4017546363,401754636,SMU,ACC,TCU,Big 12,3,True,1,79,79,"{'minutes': 8, 'seconds': 50}",1,11,11,"{'minutes': 3, 'seconds': 32}","{'minutes': 5, 'seconds': 18}",12,68,FG,False,0,7,3,7
4017546364,401754636,TCU,Big 12,SMU,ACC,4,True,1,25,75,"{'minutes': 3, 'seconds': 32}",2,100,0,"{'minutes': 14, 'seconds': 26}","{'minutes': 4, 'seconds': 6}",13,75,TD,True,7,3,14,3
4017546365,401754636,SMU,ACC,TCU,Big 12,5,True,2,75,75,"{'minutes': 14, 'seconds': 20}",2,0,0,"{'minutes': 7, 'seconds': 21}","{'minutes': 6, 'seconds': 59}",12,75,TD,False,3,14,10,14
4017546366,401754636,TCU,Big 12,SMU,ACC,6,False,2,32,68,"{'minutes': 7, 'seconds': 15}",2,83,17,"{'minutes': 2, 'seconds': 32}","{'minutes': 4, 'seconds': 43}",9,51,INT,True,14,10,14,10
4017546367,401754636,SMU,ACC,TCU,Big 12,7,False,2,80,80,"{'minutes': 2, 'seconds': 32}",2,32,32,"{'minutes': 0, 'seconds': 30}","{'minutes': 2, 'seconds': 2}",7,48,MISSED FG,False,10,14,10,14
4017546368,401754636,TCU,Big 12,SMU,ACC,8,False,2,32,68,"{'minutes': 0, 'seconds': 30}",2,52,48,"{'minutes': 0, 'seconds': 1}","{'minutes': 0, 'seconds': 29}",4,20,PUNT,True,14,10,14,10
4017546369,401754636,SMU,ACC,TCU,Big 12,9,False,2,75,75,"{'minutes': 0, 'seconds': 1}",2,70,70,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 1}",1,5,END OF HALF,False,10,14,10,14
40175463610,401754636,TCU,Big 12,SMU,ACC,10,False,3,25,75,"{'minutes': 14, 'seconds': 50}",3,45,55,"{'minutes': 13, 'seconds': 41}","{'minutes': 1, 'seconds': 9}",4,20,PUNT,True,14,10,14,10
