id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527031,401752703,Temple,American Athletic,Oklahoma,SEC,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,26,74,"{'minutes': 13, 'seconds': 36}","{'minutes': 1, 'seconds': 24}",3,1,PUNT,True,0,0,0,0
4017527032,401752703,Oklahoma,SEC,Temple,American Athletic,2,True,1,67,67,"{'minutes': 13, 'seconds': 36}",1,0,0,"{'minutes': 9, 'seconds': 36}","{'minutes': 4, 'seconds': 0}",10,67,TD,False,0,0,8,0
4017527033,401752703,Temple,American Athletic,Oklahoma,SEC,3,False,1,25,75,"{'minutes': 9, 'seconds': 36}",1,31,69,"{'minutes': 7, 'seconds': 43}","{'minutes': 1, 'seconds': 53}",3,6,PUNT,True,0,8,0,8
4017527034,401752703,Oklahoma,SEC,Temple,American Athletic,4,True,1,54,54,"{'minutes': 7, 'seconds': 43}",1,34,34,"{'minutes': 4, 'seconds': 5}","{'minutes': 3, 'seconds': 38}",8,20,FG,False,8,0,11,0
4017527035,401752703,Temple,American Athletic,Oklahoma,SEC,5,False,1,25,75,"{'minutes': 4, 'seconds': 5}",1,42,58,"{'minutes': 1, 'seconds': 45}","{'minutes': 2, 'seconds': 20}",6,17,PUNT,True,0,11,0,11
4017527036,401752703,Oklahoma,SEC,Temple,American Athletic,6,True,1,89,89,"{'minutes': 1, 'seconds': 45}",2,0,0,"{'minutes': 12, 'seconds': 11}","{'minutes': 4, 'seconds': 34}",12,89,TD,False,11,0,18,0
4017527037,401752703,Temple,American Athletic,Oklahoma,SEC,7,False,2,1,99,"{'minutes': 12, 'seconds': 9}",2,7,93,"{'minutes': 10, 'seconds': 48}","{'minutes': 1, 'seconds': 21}",3,6,PUNT,True,0,18,0,18
4017527038,401752703,Oklahoma,SEC,Temple,American Athletic,8,True,2,45,45,"{'minutes': 10, 'seconds': 48}",2,0,0,"{'minutes': 10, 'seconds': 5}","{'minutes': 0, 'seconds': 43}",4,45,TD,False,18,0,25,0
4017527039,401752703,Temple,American Athletic,Oklahoma,SEC,9,False,2,25,75,"{'minutes': 10, 'seconds': 5}",2,32,68,"{'minutes': 8, 'seconds': 52}","{'minutes': 1, 'seconds': 13}",3,7,PUNT,True,0,25,0,25
40175270310,401752703,Oklahoma,SEC,Temple,American Athletic,10,False,2,75,75,"{'minutes': 8, 'seconds': 52}",2,54,54,"{'minutes': 7, 'seconds': 16}","{'minutes': 1, 'seconds': 36}",4,21,PUNT,False,25,0,25,0
40175270311,401752703,Temple,American Athletic,Oklahoma,SEC,11,False,2,16,84,"{'minutes': 7, 'seconds': 16}",2,51,49,"{'minutes': 3, 'seconds': 42}","{'minutes': 3, 'seconds': 34}",6,35,PUNT,True,0,25,0,25
40175270312,401752703,Oklahoma,SEC,Temple,American Athletic,12,False,2,91,91,"{'minutes': 3, 'seconds': 42}",2,91,91,"{'minutes': 3, 'seconds': 36}","{'minutes': 0, 'seconds': 6}",1,0,INT,False,25,0,25,0
