id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526761,401752676,Tennessee,SEC,Syracuse,ACC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,84,16,"{'minutes': 12, 'seconds': 46}","{'minutes': 2, 'seconds': 14}",9,59,FG,True,0,0,3,0
4017526762,401752676,Syracuse,ACC,Tennessee,SEC,2,False,1,75,75,"{'minutes': 12, 'seconds': 46}",1,50,50,"{'minutes': 9, 'seconds': 37}","{'minutes': 3, 'seconds': 9}",4,25,PUNT,False,0,3,0,3
4017526763,401752676,Tennessee,SEC,Syracuse,ACC,3,True,1,15,85,"{'minutes': 9, 'seconds': 37}",1,100,0,"{'minutes': 6, 'seconds': 2}","{'minutes': 3, 'seconds': 35}",12,85,TD,True,3,0,10,0
4017526764,401752676,Syracuse,ACC,Tennessee,SEC,4,False,1,75,75,"{'minutes': 6, 'seconds': 2}",1,79,79,"{'minutes': 2, 'seconds': 53}","{'minutes': 3, 'seconds': 9}",5,-4,PUNT,False,0,10,0,10
4017526765,401752676,Tennessee,SEC,Syracuse,ACC,5,False,1,22,78,"{'minutes': 2, 'seconds': 53}",1,75,25,"{'minutes': 1, 'seconds': 6}","{'minutes': 1, 'seconds': 47}",7,49,FUMBLE,True,10,0,10,0
4017526766,401752676,Syracuse,ACC,Tennessee,SEC,6,True,1,71,71,"{'minutes': 1, 'seconds': 6}",1,71,71,"{'minutes': 0, 'seconds': 56}","{'minutes': 0, 'seconds': 10}",1,-7,FUMBLE TD,False,0,17,0,17
4017526767,401752676,Syracuse,ACC,Tennessee,SEC,7,True,1,75,75,"{'minutes': 0, 'seconds': 56}",2,0,0,"{'minutes': 11, 'seconds': 40}","{'minutes': 4, 'seconds': 16}",11,75,TD,False,0,17,7,17
4017526768,401752676,Tennessee,SEC,Syracuse,ACC,8,True,2,25,75,"{'minutes': 11, 'seconds': 40}",2,100,0,"{'minutes': 11, 'seconds': 14}","{'minutes': 0, 'seconds': 26}",2,75,TD,True,17,7,24,7
4017526769,401752676,Syracuse,ACC,Tennessee,SEC,9,False,2,75,75,"{'minutes': 11, 'seconds': 14}",2,36,36,"{'minutes': 6, 'seconds': 52}","{'minutes': 4, 'seconds': 22}",10,39,PUNT,False,7,24,7,24
40175267610,401752676,Tennessee,SEC,Syracuse,ACC,10,False,2,2,98,"{'minutes': 6, 'seconds': 52}",2,10,90,"{'minutes': 5, 'seconds': 33}","{'minutes': 1, 'seconds': 19}",3,8,PUNT,True,24,7,24,7
40175267611,401752676,Syracuse,ACC,Tennessee,SEC,11,True,2,49,49,"{'minutes': 5, 'seconds': 33}",2,0,0,"{'minutes': 1, 'seconds': 55}","{'minutes': 3, 'seconds': 38}",9,49,TD,False,7,24,14,24
40175267612,401752676,Tennessee,SEC,Syracuse,ACC,12,True,2,25,75,"{'minutes': 1, 'seconds': 55}",2,100,0,"{'minutes': 0, 'seconds': 21}","{'minutes': 1, 'seconds': 34}",6,75,TD,True,24,14,31,14
40175267613,401752676,Syracuse,ACC,Tennessee,SEC,13,False,2,75,75,"{'minutes': 0, 'seconds': 21}",2,86,86,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 21}",1,-11,END OF HALF,False,14,31,14,31
40175267614,401752676,Syracuse,ACC,Tennessee,SEC,14,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,75,75,"{'minutes': 14, 'seconds': 49}","{'minutes': 0, 'seconds': 11}",2,0,INT,False,14,31,14,31
40175267615,401752676,Tennessee,SEC,Syracuse,ACC,15,True,3,83,17,"{'minutes': 14, 'seconds': 49}",3,100,0,"{'minutes': 12, 'seconds': 22}","{'minutes': 2, 'seconds': 27}",7,17,TD,True,31,14,38,14
40175267616,401752676,Syracuse,ACC,Tennessee,SEC,16,True,3,75,75,"{'minutes': 12, 'seconds': 22}",3,0,0,"{'minutes': 7, 'seconds': 33}","{'minutes': 4, 'seconds': 49}",12,75,TD,False,14,38,20,38
40175267617,401752676,Tennessee,SEC,Syracuse,ACC,17,False,3,25,75,"{'minutes': 7, 'seconds': 33}",3,27,73,"{'minutes': 6, 'seconds': 24}","{'minutes': 1, 'seconds': 9}",3,2,PUNT,True,38,20,38,20
40175267618,401752676,Syracuse,ACC,Tennessee,SEC,18,False,3,83,83,"{'minutes': 6, 'seconds': 24}",3,81,81,"{'minutes': 4, 'seconds': 44}","{'minutes': 1, 'seconds': 40}",3,2,PUNT,False,20,38,20,38
40175267619,401752676,Tennessee,SEC,Syracuse,ACC,19,False,3,23,77,"{'minutes': 4, 'seconds': 44}",3,46,54,"{'minutes': 2, 'seconds': 13}","{'minutes': 2, 'seconds': 31}",4,23,PUNT,True,38,20,38,20
40175267620,401752676,Syracuse,ACC,Tennessee,SEC,20,True,3,88,88,"{'minutes': 2, 'seconds': 13}",4,0,0,"{'minutes': 11, 'seconds': 54}","{'minutes': 5, 'seconds': 19}",14,88,TD,False,20,38,26,38
40175267621,401752676,Tennessee,SEC,Syracuse,ACC,21,False,4,25,75,"{'minutes': 11, 'seconds': 54}",4,51,49,"{'minutes': 10, 'seconds': 6}","{'minutes': 1, 'seconds': 48}",4,26,PUNT,True,38,26,38,26
40175267622,401752676,Syracuse,ACC,Tennessee,SEC,22,False,4,89,89,"{'minutes': 10, 'seconds': 6}",4,90,90,"{'minutes': 8, 'seconds': 39}","{'minutes': 1, 'seconds': 27}",3,-1,PUNT,False,26,38,26,38
40175267623,401752676,Tennessee,SEC,Syracuse,ACC,23,True,4,46,54,"{'minutes': 8, 'seconds': 39}",4,100,0,"{'minutes': 3, 'seconds': 57}","{'minutes': 4, 'seconds': 42}",9,54,TD,True,38,26,45,26
40175267624,401752676,Syracuse,ACC,Tennessee,SEC,24,False,4,75,75,"{'minutes': 3, 'seconds': 57}",4,4,4,"{'minutes': 1, 'seconds': 55}","{'minutes': 2, 'seconds': 2}",9,71,DOWNS,False,26,45,26,45
40175267625,401752676,Tennessee,SEC,Syracuse,ACC,25,False,4,4,96,"{'minutes': 1, 'seconds': 55}",4,14,86,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 55}",3,10,END OF GAME,True,45,26,45,26
4017526921,401752692,Tennessee,SEC,East Tennessee State,Southern,1,True,1,18,82,"{'minutes': 14, 'seconds': 54}",1,100,0,"{'minutes': 13, 'seconds': 8}","{'minutes': 1, 'seconds': 46}",6,82,TD,True,0,0,7,0
4017526922,401752692,East Tennessee State,Southern,Tennessee,SEC,2,False,1,75,75,"{'minutes': 13, 'seconds': 8}",1,85,85,"{'minutes': 11, 'seconds': 41}","{'minutes': 1, 'seconds': 27}",3,-10,PUNT,False,0,7,0,7
4017526923,401752692,Tennessee,SEC,East Tennessee State,Southern,3,True,1,51,49,"{'minutes': 11, 'seconds': 41}",1,89,11,"{'minutes': 9, 'seconds': 28}","{'minutes': 2, 'seconds': 13}",7,38,FG,True,7,0,10,0
4017526924,401752692,East Tennessee State,Southern,Tennessee,SEC,4,False,1,75,75,"{'minutes': 9, 'seconds': 28}",1,83,83,"{'minutes': 8, 'seconds': 24}","{'minutes': 1, 'seconds': 4}",3,-8,PUNT,False,0,10,0,10
4017526925,401752692,Tennessee,SEC,East Tennessee State,Southern,5,True,1,73,27,"{'minutes': 8, 'seconds': 24}",1,100,0,"{'minutes': 7, 'seconds': 7}","{'minutes': 1, 'seconds': 17}",4,27,TD,True,10,0,17,0
4017526926,401752692,East Tennessee State,Southern,Tennessee,SEC,6,False,1,75,75,"{'minutes': 7, 'seconds': 7}",1,68,68,"{'minutes': 5, 'seconds': 47}","{'minutes': 1, 'seconds': 20}",3,7,PUNT,False,0,17,0,17
4017526927,401752692,Tennessee,SEC,East Tennessee State,Southern,7,False,1,18,82,"{'minutes': 5, 'seconds': 47}",1,61,39,"{'minutes': 4, 'seconds': 2}","{'minutes': 1, 'seconds': 45}",6,43,PUNT,True,17,0,17,0
4017526928,401752692,East Tennessee State,Southern,Tennessee,SEC,8,False,1,97,97,"{'minutes': 4, 'seconds': 2}",1,99,99,"{'minutes': 1, 'seconds': 55}","{'minutes': 2, 'seconds': 7}",3,-2,PUNT,False,0,17,0,17
4017526929,401752692,Tennessee,SEC,East Tennessee State,Southern,9,True,1,95,5,"{'minutes': 1, 'seconds': 55}",1,100,0,"{'minutes': 0, 'seconds': 46}","{'minutes': 1, 'seconds': 9}",3,5,TD,True,17,0,24,0
40175269210,401752692,East Tennessee State,Southern,Tennessee,SEC,10,False,1,75,75,"{'minutes': 0, 'seconds': 46}",2,70,70,"{'minutes': 14, 'seconds': 50}","{'minutes': 0, 'seconds': 56}",3,5,PUNT,False,0,24,0,24
40175269211,401752692,Tennessee,SEC,East Tennessee State,Southern,11,True,2,42,58,"{'minutes': 14, 'seconds': 50}",2,100,0,"{'minutes': 11, 'seconds': 41}","{'minutes': 3, 'seconds': 9}",9,58,TD,True,24,0,31,0
40175269212,401752692,East Tennessee State,Southern,Tennessee,SEC,12,False,2,75,75,"{'minutes': 11, 'seconds': 41}",2,55,55,"{'minutes': 10, 'seconds': 0}","{'minutes': 1, 'seconds': 41}",5,20,DOWNS,False,0,31,0,31
40175269213,401752692,Tennessee,SEC,East Tennessee State,Southern,13,True,2,55,45,"{'minutes': 10, 'seconds': 0}",2,81,19,"{'minutes': 8, 'seconds': 3}","{'minutes': 1, 'seconds': 57}",6,26,FG,True,31,0,34,0
40175269214,401752692,East Tennessee State,Southern,Tennessee,SEC,14,False,2,73,73,"{'minutes': 8, 'seconds': 0}",2,55,55,"{'minutes': 5, 'seconds': 38}","{'minutes': 2, 'seconds': 22}",6,18,PUNT,False,0,34,0,34
40175269215,401752692,Tennessee,SEC,East Tennessee State,Southern,15,True,2,20,80,"{'minutes': 5, 'seconds': 38}",2,100,0,"{'minutes': 4, 'seconds': 8}","{'minutes': 1, 'seconds': 30}",6,80,TD,True,34,0,41,0
40175269216,401752692,East Tennessee State,Southern,Tennessee,SEC,16,False,2,75,75,"{'minutes': 4, 'seconds': 8}",2,53,53,"{'minutes': 2, 'seconds': 23}","{'minutes': 1, 'seconds': 45}",5,22,PUNT,False,0,41,0,41
40175269217,401752692,Tennessee,SEC,East Tennessee State,Southern,17,False,2,19,81,"{'minutes': 2, 'seconds': 23}",2,5,95,"{'minutes': 2, 'seconds': 1}","{'minutes': 0, 'seconds': 22}",2,-14,FUMBLE,True,41,0,41,0
40175269218,401752692,East Tennessee State,Southern,Tennessee,SEC,18,True,2,5,5,"{'minutes': 2, 'seconds': 1}",2,0,0,"{'minutes': 1, 'seconds': 55}","{'minutes': 0, 'seconds': 6}",1,5,TD,False,0,41,7,41
40175269219,401752692,Tennessee,SEC,East Tennessee State,Southern,19,True,2,25,75,"{'minutes': 1, 'seconds': 55}",2,100,0,"{'minutes': 0, 'seconds': 22}","{'minutes': 1, 'seconds': 33}",8,75,TD,True,41,7,48,7
40175269220,401752692,East Tennessee State,Southern,Tennessee,SEC,20,False,2,75,75,"{'minutes': 0, 'seconds': 22}",2,70,70,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 22}",1,5,END OF HALF,False,7,48,7,48
40175269221,401752692,East Tennessee State,Southern,Tennessee,SEC,21,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,24,24,"{'minutes': 11, 'seconds': 52}","{'minutes': 3, 'seconds': 8}",8,51,FG,False,7,48,10,48
40175269222,401752692,Tennessee,SEC,East Tennessee State,Southern,22,True,3,25,75,"{'minutes': 11, 'seconds': 52}",3,100,0,"{'minutes': 8, 'seconds': 45}","{'minutes': 3, 'seconds': 7}",10,75,TD,True,48,10,55,10
40175269223,401752692,East Tennessee State,Southern,Tennessee,SEC,23,False,3,75,75,"{'minutes': 8, 'seconds': 45}",3,68,68,"{'minutes': 6, 'seconds': 7}","{'minutes': 2, 'seconds': 38}",6,7,PUNT,False,10,55,10,55
40175269224,401752692,Tennessee,SEC,East Tennessee State,Southern,24,True,3,33,67,"{'minutes': 6, 'seconds': 7}",3,100,0,"{'minutes': 2, 'seconds': 45}","{'minutes': 3, 'seconds': 22}",9,67,TD,True,55,10,62,10
40175269225,401752692,East Tennessee State,Southern,Tennessee,SEC,25,False,3,75,75,"{'minutes': 2, 'seconds': 45}",3,73,73,"{'minutes': 0, 'seconds': 40}","{'minutes': 2, 'seconds': 5}",4,2,PUNT,False,10,62,10,62
40175269226,401752692,Tennessee,SEC,East Tennessee State,Southern,26,True,3,24,76,"{'minutes': 0, 'seconds': 40}",4,65,35,"{'minutes': 10, 'seconds': 43}","{'minutes': 4, 'seconds': 57}",12,41,FG,True,62,10,65,10
40175269227,401752692,East Tennessee State,Southern,Tennessee,SEC,27,True,4,75,75,"{'minutes': 10, 'seconds': 43}",4,0,0,"{'minutes': 8, 'seconds': 46}","{'minutes': 1, 'seconds': 57}",6,75,TD,False,10,65,17,65
40175269228,401752692,Tennessee,SEC,East Tennessee State,Southern,28,True,4,25,75,"{'minutes': 8, 'seconds': 46}",4,100,0,"{'minutes': 3, 'seconds': 55}","{'minutes': 4, 'seconds': 51}",11,75,TD,True,65,17,72,17
40175269229,401752692,East Tennessee State,Southern,Tennessee,SEC,29,False,4,75,75,"{'minutes': 3, 'seconds': 55}",4,76,76,"{'minutes': 1, 'seconds': 58}","{'minutes': 1, 'seconds': 57}",3,9,PUNT,False,17,72,17,72
40175269230,401752692,Tennessee,SEC,East Tennessee State,Southern,30,False,4,17,83,"{'minutes': 1, 'seconds': 58}",4,39,61,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 58}",4,22,END OF GAME,True,72,17,72,17
4017527051,401752705,Tennessee,SEC,Georgia,SEC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 30}","{'minutes': 2, 'seconds': 30}",8,75,TD,True,0,0,7,0
4017527052,401752705,Georgia,SEC,Tennessee,SEC,2,True,1,75,75,"{'minutes': 12, 'seconds': 30}",1,0,0,"{'minutes': 9, 'seconds': 58}","{'minutes': 2, 'seconds': 32}",6,75,TD,False,0,7,7,7
4017527053,401752705,Tennessee,SEC,Georgia,SEC,3,True,1,25,75,"{'minutes': 9, 'seconds': 58}",1,100,0,"{'minutes': 9, 'seconds': 29}","{'minutes': 0, 'seconds': 29}",2,75,TD,True,7,7,14,7
4017527054,401752705,Georgia,SEC,Tennessee,SEC,4,False,1,75,75,"{'minutes': 9, 'seconds': 29}",1,68,68,"{'minutes': 8, 'seconds': 34}","{'minutes': 0, 'seconds': 55}",3,7,DOWNS,False,7,14,7,14
4017527055,401752705,Tennessee,SEC,Georgia,SEC,5,True,1,68,32,"{'minutes': 8, 'seconds': 34}",1,100,0,"{'minutes': 3, 'seconds': 37}","{'minutes': 4, 'seconds': 57}",11,83,TD,True,14,7,21,7
4017527056,401752705,Georgia,SEC,Tennessee,SEC,6,True,1,72,72,"{'minutes': 3, 'seconds': 37}",2,0,0,"{'minutes': 14, 'seconds': 52}","{'minutes': 3, 'seconds': 45}",9,72,TD,False,7,21,14,21
4017527057,401752705,Tennessee,SEC,Georgia,SEC,7,False,2,25,75,"{'minutes': 14, 'seconds': 52}",2,39,61,"{'minutes': 13, 'seconds': 28}","{'minutes': 1, 'seconds': 24}",5,14,PUNT,True,21,14,21,14
4017527058,401752705,Georgia,SEC,Tennessee,SEC,8,False,2,96,96,"{'minutes': 13, 'seconds': 28}",2,76,76,"{'minutes': 10, 'seconds': 19}","{'minutes': 3, 'seconds': 9}",5,20,FUMBLE,False,14,21,14,21
