id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526771,401752677,Texas,SEC,Ohio State,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,42,42,"{'minutes': 10, 'seconds': 32}","{'minutes': 4, 'seconds': 28}",9,33,DOWNS,False,0,0,0,0
4017526772,401752677,Ohio State,Big Ten,Texas,SEC,2,False,1,42,58,"{'minutes': 10, 'seconds': 32}",1,51,49,"{'minutes': 8, 'seconds': 29}","{'minutes': 2, 'seconds': 3}",4,9,DOWNS,True,0,0,0,0
4017526773,401752677,Texas,SEC,Ohio State,Big Ten,3,False,1,51,51,"{'minutes': 8, 'seconds': 29}",1,47,47,"{'minutes': 6, 'seconds': 34}","{'minutes': 1, 'seconds': 55}",3,4,PUNT,False,0,0,0,0
4017526774,401752677,Ohio State,Big Ten,Texas,SEC,4,False,1,8,92,"{'minutes': 6, 'seconds': 34}",1,25,75,"{'minutes': 3, 'seconds': 35}","{'minutes': 2, 'seconds': 59}",6,17,PUNT,True,0,0,0,0
4017526775,401752677,Texas,SEC,Ohio State,Big Ten,5,False,1,75,75,"{'minutes': 3, 'seconds': 35}",1,72,72,"{'minutes': 1, 'seconds': 58}","{'minutes': 1, 'seconds': 37}",3,3,PUNT,False,0,0,0,0
4017526776,401752677,Ohio State,Big Ten,Texas,SEC,6,True,1,20,80,"{'minutes': 1, 'seconds': 58}",2,100,0,"{'minutes': 8, 'seconds': 57}","{'minutes': 8, 'seconds': 1}",13,80,TD,True,0,0,7,0
4017526777,401752677,Texas,SEC,Ohio State,Big Ten,7,False,2,75,75,"{'minutes': 8, 'seconds': 57}",2,54,54,"{'minutes': 5, 'seconds': 5}","{'minutes': 3, 'seconds': 52}",8,21,PUNT,False,0,7,0,7
4017526778,401752677,Ohio State,Big Ten,Texas,SEC,8,False,2,2,98,"{'minutes': 5, 'seconds': 5}",2,23,77,"{'minutes': 1, 'seconds': 54}","{'minutes': 3, 'seconds': 11}",6,21,PUNT,True,7,0,7,0
4017526779,401752677,Texas,SEC,Ohio State,Big Ten,9,False,2,53,53,"{'minutes': 1, 'seconds': 54}",2,45,45,"{'minutes': 0, 'seconds': 35}","{'minutes': 1, 'seconds': 19}",3,8,PUNT,False,0,7,0,7
40175267710,401752677,Ohio State,Big Ten,Texas,SEC,10,False,2,3,97,"{'minutes': 0, 'seconds': 35}",2,4,96,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 35}",1,1,END OF HALF,True,7,0,7,0
40175267711,401752677,Ohio State,Big Ten,Texas,SEC,11,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,31,69,"{'minutes': 13, 'seconds': 34}","{'minutes': 1, 'seconds': 26}",3,6,PUNT,True,7,0,7,0
40175267712,401752677,Texas,SEC,Ohio State,Big Ten,12,False,3,71,71,"{'minutes': 13, 'seconds': 34}",3,1,1,"{'minutes': 6, 'seconds': 40}","{'minutes': 6, 'seconds': 54}",15,70,DOWNS,False,0,7,0,7
40175267713,401752677,Ohio State,Big Ten,Texas,SEC,13,False,3,1,99,"{'minutes': 6, 'seconds': 40}",3,8,92,"{'minutes': 3, 'seconds': 58}","{'minutes': 2, 'seconds': 42}",3,7,PUNT,True,7,0,7,0
40175267714,401752677,Texas,SEC,Ohio State,Big Ten,14,False,3,50,50,"{'minutes': 3, 'seconds': 58}",3,52,52,"{'minutes': 3, 'seconds': 1}","{'minutes': 0, 'seconds': 57}",3,-2,INT,False,0,7,0,7
40175267715,401752677,Ohio State,Big Ten,Texas,SEC,15,True,3,32,68,"{'minutes': 3, 'seconds': 1}",4,100,0,"{'minutes': 13, 'seconds': 8}","{'minutes': 4, 'seconds': 53}",7,68,TD,True,7,0,14,0
40175267716,401752677,Texas,SEC,Ohio State,Big Ten,16,False,4,85,85,"{'minutes': 13, 'seconds': 2}",4,9,9,"{'minutes': 7, 'seconds': 56}","{'minutes': 5, 'seconds': 6}",13,76,DOWNS,False,0,14,0,14
40175267717,401752677,Ohio State,Big Ten,Texas,SEC,17,False,4,9,91,"{'minutes': 7, 'seconds': 56}",4,20,80,"{'minutes': 4, 'seconds': 10}","{'minutes': 3, 'seconds': 46}",5,11,PUNT,True,14,0,14,0
40175267718,401752677,Texas,SEC,Ohio State,Big Ten,18,True,4,60,60,"{'minutes': 4, 'seconds': 10}",4,0,0,"{'minutes': 3, 'seconds': 28}","{'minutes': 0, 'seconds': 42}",4,60,TD,False,0,14,7,14
40175267719,401752677,Ohio State,Big Ten,Texas,SEC,19,False,4,25,75,"{'minutes': 3, 'seconds': 28}",4,30,70,"{'minutes': 2, 'seconds': 26}","{'minutes': 1, 'seconds': 2}",3,5,PUNT,True,14,7,14,7
40175267720,401752677,Texas,SEC,Ohio State,Big Ten,20,False,4,85,85,"{'minutes': 2, 'seconds': 26}",4,47,47,"{'minutes': 1, 'seconds': 27}","{'minutes': 0, 'seconds': 59}",6,38,DOWNS,False,7,14,7,14
40175267721,401752677,Ohio State,Big Ten,Texas,SEC,21,False,4,47,53,"{'minutes': 1, 'seconds': 27}",4,35,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 27}",3,-12,END OF GAME,True,14,7,14,7
4017526931,401752693,Texas,SEC,San José State,Mountain West,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,21,79,"{'minutes': 13, 'seconds': 54}","{'minutes': 1, 'seconds': 6}",4,-4,PUNT,True,0,0,0,0
4017526932,401752693,San José State,Mountain West,Texas,SEC,2,False,1,59,59,"{'minutes': 13, 'seconds': 54}",1,29,29,"{'minutes': 10, 'seconds': 22}","{'minutes': 3, 'seconds': 32}",10,30,MISSED FG,False,0,0,0,0
4017526933,401752693,Texas,SEC,San José State,Mountain West,3,False,1,29,71,"{'minutes': 10, 'seconds': 22}",1,45,55,"{'minutes': 7, 'seconds': 56}","{'minutes': 2, 'seconds': 26}",5,16,PUNT,True,0,0,0,0
4017526934,401752693,San José State,Mountain West,Texas,SEC,4,False,1,86,86,"{'minutes': 7, 'seconds': 56}",1,59,59,"{'minutes': 4, 'seconds': 10}","{'minutes': 3, 'seconds': 46}",8,27,PUNT,False,0,0,0,0
4017526935,401752693,Texas,SEC,San José State,Mountain West,5,True,1,10,90,"{'minutes': 4, 'seconds': 10}",1,100,0,"{'minutes': 2, 'seconds': 52}","{'minutes': 1, 'seconds': 18}",3,90,TD,True,0,0,7,0
4017526936,401752693,San José State,Mountain West,Texas,SEC,6,False,1,75,75,"{'minutes': 2, 'seconds': 52}",1,75,75,"{'minutes': 2, 'seconds': 44}","{'minutes': 0, 'seconds': 8}",1,0,INT,False,0,7,0,7
4017526937,401752693,Texas,SEC,San José State,Mountain West,7,True,1,66,34,"{'minutes': 2, 'seconds': 44}",1,100,0,"{'minutes': 0, 'seconds': 12}","{'minutes': 2, 'seconds': 32}",5,34,TD,True,7,0,14,0
4017526938,401752693,San José State,Mountain West,Texas,SEC,8,False,1,94,94,"{'minutes': 0, 'seconds': 12}",2,67,67,"{'minutes': 14, 'seconds': 53}","{'minutes': 0, 'seconds': 19}",2,11,FUMBLE,False,0,14,0,14
4017526939,401752693,Texas,SEC,San José State,Mountain West,9,True,2,64,36,"{'minutes': 14, 'seconds': 53}",2,100,0,"{'minutes': 14, 'seconds': 45}","{'minutes': 0, 'seconds': 8}",1,36,TD,True,21,0,21,0
40175269310,401752693,San José State,Mountain West,Texas,SEC,10,False,2,75,75,"{'minutes': 14, 'seconds': 45}",2,78,78,"{'minutes': 13, 'seconds': 21}","{'minutes': 1, 'seconds': 24}",3,-3,FUMBLE,False,0,21,0,21
40175269311,401752693,Texas,SEC,San José State,Mountain West,11,True,2,99,1,"{'minutes': 13, 'seconds': 21}",2,100,0,"{'minutes': 12, 'seconds': 56}","{'minutes': 0, 'seconds': 25}",2,1,TD,True,21,0,28,0
40175269312,401752693,San José State,Mountain West,Texas,SEC,12,True,2,75,75,"{'minutes': 12, 'seconds': 56}",2,0,0,"{'minutes': 8, 'seconds': 19}","{'minutes': 4, 'seconds': 37}",8,75,TD,False,0,28,7,28
40175269313,401752693,Texas,SEC,San José State,Mountain West,13,False,2,42,58,"{'minutes': 8, 'seconds': 19}",2,57,43,"{'minutes': 5, 'seconds': 28}","{'minutes': 2, 'seconds': 51}",5,15,PUNT,True,28,7,28,7
40175269314,401752693,San José State,Mountain West,Texas,SEC,14,False,2,80,80,"{'minutes': 5, 'seconds': 28}",2,64,64,"{'minutes': 3, 'seconds': 56}","{'minutes': 1, 'seconds': 32}",4,16,PUNT,False,7,28,7,28
40175269315,401752693,Texas,SEC,San José State,Mountain West,15,False,2,8,92,"{'minutes': 3, 'seconds': 56}",2,7,93,"{'minutes': 3, 'seconds': 31}","{'minutes': 0, 'seconds': 25}",3,-1,PUNT,True,28,7,28,7
40175269316,401752693,San José State,Mountain West,Texas,SEC,16,False,2,41,41,"{'minutes': 3, 'seconds': 31}",2,36,36,"{'minutes': 2, 'seconds': 51}","{'minutes': 0, 'seconds': 40}",2,15,FUMBLE,False,7,28,7,28
40175269317,401752693,Texas,SEC,San José State,Mountain West,17,False,2,50,50,"{'minutes': 2, 'seconds': 51}",2,87,13,"{'minutes': 0, 'seconds': 38}","{'minutes': 2, 'seconds': 13}",6,37,INT,True,28,7,28,7
40175269318,401752693,San José State,Mountain West,Texas,SEC,18,False,2,59,59,"{'minutes': 0, 'seconds': 38}",2,32,32,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 38}",4,27,DOWNS,False,7,28,7,28
40175269320,401752693,San José State,Mountain West,Texas,SEC,19,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,83,83,"{'minutes': 14, 'seconds': 3}","{'minutes': 0, 'seconds': 57}",3,-8,PUNT,False,7,28,7,28
40175269321,401752693,Texas,SEC,San José State,Mountain West,20,True,3,39,61,"{'minutes': 14, 'seconds': 3}",3,71,29,"{'minutes': 10, 'seconds': 50}","{'minutes': 3, 'seconds': 13}",7,32,FG,True,28,7,31,7
40175269322,401752693,San José State,Mountain West,Texas,SEC,21,False,3,100,100,"{'minutes': 10, 'seconds': 50}",3,48,48,"{'minutes': 6, 'seconds': 52}","{'minutes': 3, 'seconds': 58}",6,27,PUNT,False,7,31,7,31
40175269323,401752693,Texas,SEC,San José State,Mountain West,22,False,3,8,92,"{'minutes': 6, 'seconds': 52}",3,1,99,"{'minutes': 5, 'seconds': 4}","{'minutes': 1, 'seconds': 48}",3,-7,PUNT,True,31,7,31,7
40175269324,401752693,San José State,Mountain West,Texas,SEC,23,False,3,38,38,"{'minutes': 5, 'seconds': 4}",3,37,37,"{'minutes': 4, 'seconds': 13}","{'minutes': 0, 'seconds': 51}",4,1,DOWNS,False,7,31,7,31
40175269325,401752693,Texas,SEC,San José State,Mountain West,24,True,3,37,63,"{'minutes': 4, 'seconds': 13}",3,100,0,"{'minutes': 0, 'seconds': 43}","{'minutes': 3, 'seconds': 30}",6,63,TD,True,31,7,38,7
40175269326,401752693,San José State,Mountain West,Texas,SEC,25,False,3,75,75,"{'minutes': 0, 'seconds': 43}",4,11,11,"{'minutes': 10, 'seconds': 34}","{'minutes': 5, 'seconds': 9}",13,64,DOWNS,False,7,38,7,38
40175269327,401752693,Texas,SEC,San José State,Mountain West,26,False,4,11,89,"{'minutes': 10, 'seconds': 34}",4,52,48,"{'minutes': 6, 'seconds': 58}","{'minutes': 3, 'seconds': 36}",6,41,PUNT,True,38,7,38,7
40175269328,401752693,San José State,Mountain West,Texas,SEC,27,False,4,80,80,"{'minutes': 6, 'seconds': 58}",4,74,74,"{'minutes': 6, 'seconds': 0}","{'minutes': 0, 'seconds': 58}",3,6,PUNT,False,7,38,7,38
40175269329,401752693,Texas,SEC,San José State,Mountain West,28,False,4,36,64,"{'minutes': 6, 'seconds': 0}",4,79,21,"{'minutes': 1, 'seconds': 16}","{'minutes': 4, 'seconds': 44}",10,49,FUMBLE,True,38,7,38,7
40175269330,401752693,San José State,Mountain West,Texas,SEC,29,False,4,85,85,"{'minutes': 1, 'seconds': 16}",4,80,80,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 16}",3,5,END OF GAME,False,7,38,7,38
4017527061,401752706,Texas,SEC,UTEP,Conference USA,1,False,1,21,79,"{'minutes': 14, 'seconds': 54}",1,56,44,"{'minutes': 11, 'seconds': 54}","{'minutes': 3, 'seconds': 0}",6,35,DOWNS,True,0,0,0,0
4017527062,401752706,UTEP,Conference USA,Texas,SEC,2,False,0,56,56,"{'minutes': 0, 'seconds': 0}",1,47,47,"{'minutes': 10, 'seconds': 22}","{'minutes': 0, 'seconds': 0}",4,9,DOWNS,False,0,0,0,0
4017527063,401752706,Texas,SEC,UTEP,Conference USA,3,True,1,47,53,"{'minutes': 10, 'seconds': 22}",1,100,0,"{'minutes': 5, 'seconds': 26}","{'minutes': 4, 'seconds': 56}",9,53,TD,True,0,0,7,0
4017527064,401752706,UTEP,Conference USA,Texas,SEC,4,False,1,97,97,"{'minutes': 5, 'seconds': 22}",1,88,88,"{'minutes': 2, 'seconds': 12}","{'minutes': 3, 'seconds': 10}",6,9,PUNT,False,0,7,0,7
