gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752677,4017526774,401752677101966401,4,7,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 3, 'seconds': 35}",3.0,3.0,25,75,4,11,0,False,Punt,Joe McGuire punt for 50 yds,,2025-08-30T16:41:49.000Z
401752677,4017526774,401752677101936503,4,1,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,8,92,1,10,1,False,Rush,James Peoples run for 1 yd to the OSU 9,-0.2687904165419095,2025-08-30T16:37:38.000Z
401752677,4017526774,401752677101936505,4,3,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,15,85,3,3,11,False,Pass Reception,Julian Sayin pass complete to Max Klare for 11 yds to the OSU 26 for a 1ST down,1.0061107701470995,2025-08-30T16:38:17.000Z
401752677,4017526774,401752677101936504,4,2,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,9,91,2,9,6,False,Pass Reception,Julian Sayin pass complete to Jeremiah Smith for 6 yds to the OSU 15,0.10460860812485073,2025-08-30T16:38:17.000Z
401752677,4017526774,401752677101936506,4,4,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,26,74,1,10,0,False,Pass Incompletion,Julian Sayin pass incomplete to Jeremiah Smith,-0.7342478781140684,2025-08-30T16:38:17.000Z
401752677,4017526774,401752677101936507,4,5,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,26,74,2,10,-1,False,Rush,James Peoples run for a loss of 1 yard to the OSU 25,-0.4161003712951965,2025-08-30T16:38:17.000Z
401752677,4017526774,401752677101936508,4,6,Ohio State,Big Ten,0,Texas,SEC,0,Ohio State,Texas,1,"{'minutes': 6, 'seconds': 34}",3.0,3.0,25,75,3,11,0,False,Pass Incompletion,Julian Sayin pass incomplete to Jeremiah Smith,-0.14229746614608363,2025-08-30T16:38:17.000Z
401752677,4017526775,401752677101984101,5,4,Texas,SEC,0,Ohio State,Big Ten,0,Ohio State,Texas,1,"{'minutes': 1, 'seconds': 58}",3.0,3.0,72,72,4,7,0,False,Punt,"Jack Bouwmeester punt for 52 yds, fair catch by Jeremiah Smith at the OSU 20",,2025-08-30T16:47:09.000Z
401752677,4017526775,401752677101966403,5,1,Texas,SEC,0,Ohio State,Big Ten,0,Ohio State,Texas,1,"{'minutes': 3, 'seconds': 35}",3.0,3.0,75,75,1,10,0,False,Pass Incompletion,Arch Manning pass incomplete to Jack Endries,-0.7029700220436519,2025-08-30T16:44:41.000Z
401752677,4017526775,401752677101966404,5,2,Texas,SEC,0,Ohio State,Big Ten,0,Ohio State,Texas,1,"{'minutes': 3, 'seconds': 35}",3.0,3.0,75,75,2,10,2,False,Rush,CJ Baxter run for 2 yds to the TEX 27,-0.2284411734150149,2025-08-30T16:44:41.000Z
