id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568891,401756889,Texas State,Sun Belt,Arizona State,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,65,65,"{'minutes': 13, 'seconds': 45}","{'minutes': 1, 'seconds': 15}",5,10,PUNT,False,0,0,0,0
4017568892,401756889,Arizona State,Big 12,Texas State,Sun Belt,2,False,1,20,80,"{'minutes': 13, 'seconds': 45}",1,65,35,"{'minutes': 10, 'seconds': 30}","{'minutes': 3, 'seconds': 15}",7,45,DOWNS,True,0,0,0,0
4017568893,401756889,Texas State,Sun Belt,Arizona State,Big 12,3,False,1,65,65,"{'minutes': 10, 'seconds': 30}",1,77,77,"{'minutes': 8, 'seconds': 59}","{'minutes': 1, 'seconds': 31}",3,-12,PUNT,False,0,0,0,0
4017568894,401756889,Arizona State,Big 12,Texas State,Sun Belt,4,True,1,31,69,"{'minutes': 8, 'seconds': 59}",1,70,30,"{'minutes': 6, 'seconds': 40}","{'minutes': 2, 'seconds': 19}",5,39,FG,True,0,0,3,0
4017568895,401756889,Texas State,Sun Belt,Arizona State,Big 12,5,True,1,75,75,"{'minutes': 6, 'seconds': 40}",1,21,21,"{'minutes': 2, 'seconds': 16}","{'minutes': 4, 'seconds': 24}",13,54,FG,False,0,3,3,3
4017568896,401756889,Arizona State,Big 12,Texas State,Sun Belt,6,True,1,25,75,"{'minutes': 2, 'seconds': 16}",2,100,0,"{'minutes': 12, 'seconds': 47}","{'minutes': 4, 'seconds': 29}",10,75,TD,True,3,3,10,3
4017568897,401756889,Texas State,Sun Belt,Arizona State,Big 12,7,False,2,75,75,"{'minutes': 12, 'seconds': 47}",2,60,60,"{'minutes': 12, 'seconds': 6}","{'minutes': 0, 'seconds': 41}",3,15,FUMBLE,False,3,10,3,10
4017568898,401756889,Arizona State,Big 12,Texas State,Sun Belt,8,True,2,75,25,"{'minutes': 12, 'seconds': 6}",2,100,0,"{'minutes': 10, 'seconds': 22}","{'minutes': 1, 'seconds': 44}",4,25,TD,True,10,3,17,3
4017568899,401756889,Texas State,Sun Belt,Arizona State,Big 12,9,False,2,75,75,"{'minutes': 10, 'seconds': 22}",2,35,35,"{'minutes': 6, 'seconds': 39}","{'minutes': 3, 'seconds': 43}",9,40,DOWNS,False,3,17,3,17
40175688910,401756889,Arizona State,Big 12,Texas State,Sun Belt,10,True,2,35,65,"{'minutes': 6, 'seconds': 39}",2,91,9,"{'minutes': 2, 'seconds': 44}","{'minutes': 3, 'seconds': 55}",11,56,FG,True,17,3,20,3
40175688911,401756889,Texas State,Sun Belt,Arizona State,Big 12,11,False,2,75,75,"{'minutes': 2, 'seconds': 44}",2,69,69,"{'minutes': 1, 'seconds': 41}","{'minutes': 1, 'seconds': 3}",3,6,PUNT,False,3,20,3,20
40175688912,401756889,Arizona State,Big 12,Texas State,Sun Belt,12,False,2,23,77,"{'minutes': 1, 'seconds': 41}",2,22,78,"{'minutes': 0, 'seconds': 18}","{'minutes': 1, 'seconds': 23}",5,-1,PUNT,True,20,3,20,3
40175688913,401756889,Texas State,Sun Belt,Arizona State,Big 12,13,False,2,55,55,"{'minutes': 0, 'seconds': 18}",2,36,36,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 18}",3,19,MISSED FG,False,3,20,3,20
40175688914,401756889,Arizona State,Big 12,Texas State,Sun Belt,14,True,3,21,79,"{'minutes': 14, 'seconds': 47}",3,100,0,"{'minutes': 8, 'seconds': 35}","{'minutes': 6, 'seconds': 12}",13,79,TD,True,20,3,27,3
40175688915,401756889,Texas State,Sun Belt,Arizona State,Big 12,15,True,3,59,59,"{'minutes': 8, 'seconds': 28}",3,0,0,"{'minutes': 2, 'seconds': 29}","{'minutes': 5, 'seconds': 59}",15,59,TD,False,3,27,9,27
40175688916,401756889,Arizona State,Big 12,Texas State,Sun Belt,16,True,3,25,75,"{'minutes': 2, 'seconds': 29}",3,100,0,"{'minutes': 2, 'seconds': 17}","{'minutes': 0, 'seconds': 12}",1,75,TD,True,27,9,34,9
40175688917,401756889,Texas State,Sun Belt,Arizona State,Big 12,17,False,3,72,72,"{'minutes': 2, 'seconds': 11}",4,16,16,"{'minutes': 12, 'seconds': 19}","{'minutes': 4, 'seconds': 52}",12,56,FUMBLE,False,9,34,9,34
40175688918,401756889,Arizona State,Big 12,Texas State,Sun Belt,18,False,4,16,84,"{'minutes': 12, 'seconds': 19}",4,13,87,"{'minutes': 10, 'seconds': 44}","{'minutes': 1, 'seconds': 35}",3,-3,PUNT,True,34,9,34,9
40175688919,401756889,Texas State,Sun Belt,Arizona State,Big 12,19,True,4,51,51,"{'minutes': 10, 'seconds': 44}",4,0,0,"{'minutes': 5, 'seconds': 26}","{'minutes': 5, 'seconds': 18}",14,51,TD,False,9,34,15,34
40175688920,401756889,Arizona State,Big 12,Texas State,Sun Belt,20,False,4,55,45,"{'minutes': 5, 'seconds': 25}",4,73,27,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 25}",10,18,END OF GAME,True,34,15,34,15
4017615941,401761594,Texas State,Sun Belt,Eastern Michigan,Mid-American,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 13, 'seconds': 19}","{'minutes': 1, 'seconds': 41}",4,75,TD,True,0,0,7,0
4017615942,401761594,Eastern Michigan,Mid-American,Texas State,Sun Belt,2,True,1,75,75,"{'minutes': 13, 'seconds': 19}",1,7,7,"{'minutes': 8, 'seconds': 47}","{'minutes': 4, 'seconds': 32}",9,68,FG,False,0,7,3,7
4017615943,401761594,Texas State,Sun Belt,Eastern Michigan,Mid-American,3,True,1,25,75,"{'minutes': 8, 'seconds': 47}",1,100,0,"{'minutes': 6, 'seconds': 41}","{'minutes': 2, 'seconds': 6}",6,75,TD,True,7,3,14,3
