id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529381,401752938,Oregon State,Pac-12,Texas Tech,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,79,79,"{'minutes': 12, 'seconds': 57}","{'minutes': 2, 'seconds': 3}",3,-4,PUNT,False,0,0,0,0
4017529382,401752938,Texas Tech,Big 12,Oregon State,Pac-12,2,True,1,50,50,"{'minutes': 12, 'seconds': 57}",1,100,0,"{'minutes': 12, 'seconds': 0}","{'minutes': 0, 'seconds': 57}",5,50,TD,True,0,0,7,0
4017529383,401752938,Oregon State,Pac-12,Texas Tech,Big 12,3,False,1,75,75,"{'minutes': 12, 'seconds': 0}",1,75,75,"{'minutes': 11, 'seconds': 37}","{'minutes': 0, 'seconds': 23}",3,0,PUNT,False,0,7,0,7
4017529384,401752938,Texas Tech,Big 12,Oregon State,Pac-12,4,False,1,52,48,"{'minutes': 11, 'seconds': 37}",1,63,37,"{'minutes': 10, 'seconds': 29}","{'minutes': 1, 'seconds': 8}",5,11,DOWNS,True,7,0,7,0
4017529385,401752938,Oregon State,Pac-12,Texas Tech,Big 12,5,False,1,63,63,"{'minutes': 10, 'seconds': 29}",1,57,57,"{'minutes': 8, 'seconds': 27}","{'minutes': 2, 'seconds': 2}",3,6,PUNT,False,0,7,0,7
4017529386,401752938,Texas Tech,Big 12,Oregon State,Pac-12,6,True,1,21,79,"{'minutes': 8, 'seconds': 27}",1,100,0,"{'minutes': 6, 'seconds': 27}","{'minutes': 2, 'seconds': 0}",5,79,TD,True,7,0,14,0
4017529387,401752938,Oregon State,Pac-12,Texas Tech,Big 12,7,False,1,75,75,"{'minutes': 6, 'seconds': 27}",1,29,29,"{'minutes': 2, 'seconds': 2}","{'minutes': 4, 'seconds': 25}",10,46,MISSED FG,False,0,14,0,14
4017529388,401752938,Texas Tech,Big 12,Oregon State,Pac-12,8,False,1,29,71,"{'minutes': 2, 'seconds': 2}",2,7,93,"{'minutes': 14, 'seconds': 21}","{'minutes': 8, 'seconds': 46}",7,64,INT,True,14,0,21,0
40175293810,401752938,Texas Tech,Big 12,Oregon State,Pac-12,9,False,2,51,49,"{'minutes': 12, 'seconds': 43}",2,100,0,"{'minutes': 10, 'seconds': 1}","{'minutes': 2, 'seconds': 42}",10,49,TD,True,14,0,28,0
4017529389,401752938,Oregon State,Pac-12,Texas Tech,Big 12,10,False,2,80,80,"{'minutes': 14, 'seconds': 21}",2,69,69,"{'minutes': 7, 'seconds': 6}","{'minutes': 7, 'seconds': 15}",4,11,INT,False,0,21,0,21
40175293812,401752938,Texas Tech,Big 12,Oregon State,Pac-12,11,False,2,30,70,"{'minutes': 9, 'seconds': 5}",2,100,0,"{'minutes': 6, 'seconds': 35}","{'minutes': 2, 'seconds': 30}",7,70,TD,True,28,0,28,0
40175293813,401752938,Oregon State,Pac-12,Texas Tech,Big 12,12,False,2,75,75,"{'minutes': 6, 'seconds': 35}",2,41,41,"{'minutes': 2, 'seconds': 7}","{'minutes': 4, 'seconds': 28}",9,34,PUNT,False,0,28,0,35
40175293811,401752938,Oregon State,Pac-12,Texas Tech,Big 12,13,False,2,75,75,"{'minutes': 4, 'seconds': 53}",2,75,75,"{'minutes': 3, 'seconds': 40}","{'minutes': 1, 'seconds': 13}",3,0,PUNT,False,0,28,0,28
40175293814,401752938,Texas Tech,Big 12,Oregon State,Pac-12,14,False,2,7,93,"{'minutes': 2, 'seconds': 7}",2,3,97,"{'minutes': 1, 'seconds': 26}","{'minutes': 0, 'seconds': 41}",3,-4,PUNT,True,28,0,28,0
40175293815,401752938,Oregon State,Pac-12,Texas Tech,Big 12,15,False,2,44,44,"{'minutes': 1, 'seconds': 26}",2,38,38,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 26}",9,6,END OF HALF,False,0,28,0,28
40175293816,401752938,Texas Tech,Big 12,Oregon State,Pac-12,16,True,3,16,84,"{'minutes': 14, 'seconds': 53}",3,100,0,"{'minutes': 11, 'seconds': 26}","{'minutes': 3, 'seconds': 27}",10,84,TD,True,28,0,35,0
40175293817,401752938,Oregon State,Pac-12,Texas Tech,Big 12,17,False,3,75,75,"{'minutes': 11, 'seconds': 26}",3,11,11,"{'minutes': 6, 'seconds': 39}","{'minutes': 4, 'seconds': 47}",8,64,INT,False,0,35,0,35
40175293818,401752938,Texas Tech,Big 12,Oregon State,Pac-12,18,True,3,3,97,"{'minutes': 6, 'seconds': 39}",3,97,3,"{'minutes': 1, 'seconds': 7}","{'minutes': 5, 'seconds': 32}",12,94,FG,True,35,0,38,0
40175293819,401752938,Oregon State,Pac-12,Texas Tech,Big 12,19,False,3,75,75,"{'minutes': 1, 'seconds': 7}",4,76,76,"{'minutes': 14, 'seconds': 54}","{'minutes': 1, 'seconds': 13}",3,-1,PUNT,False,0,38,0,38
40175293820,401752938,Texas Tech,Big 12,Oregon State,Pac-12,20,True,4,45,55,"{'minutes': 14, 'seconds': 54}",4,100,0,"{'minutes': 10, 'seconds': 43}","{'minutes': 4, 'seconds': 11}",9,55,TD,True,38,0,45,0
40175293821,401752938,Oregon State,Pac-12,Texas Tech,Big 12,21,False,4,75,75,"{'minutes': 10, 'seconds': 43}",4,57,57,"{'minutes': 9, 'seconds': 19}","{'minutes': 1, 'seconds': 24}",4,18,PUNT,False,0,45,0,45
40175293822,401752938,Texas Tech,Big 12,Oregon State,Pac-12,22,False,4,20,80,"{'minutes': 9, 'seconds': 19}",4,15,85,"{'minutes': 8, 'seconds': 8}","{'minutes': 1, 'seconds': 11}",3,-5,PUNT,True,45,0,45,0
40175293823,401752938,Oregon State,Pac-12,Texas Tech,Big 12,23,True,4,72,72,"{'minutes': 8, 'seconds': 8}",4,0,0,"{'minutes': 5, 'seconds': 5}","{'minutes': 3, 'seconds': 3}",5,72,TD,False,0,45,7,45
40175293824,401752938,Texas Tech,Big 12,Oregon State,Pac-12,24,False,4,25,75,"{'minutes': 5, 'seconds': 5}",4,18,82,"{'minutes': 3, 'seconds': 16}","{'minutes': 1, 'seconds': 49}",3,-7,INT,True,45,7,45,7
40175293825,401752938,Oregon State,Pac-12,Texas Tech,Big 12,25,True,4,40,40,"{'minutes': 3, 'seconds': 16}",4,0,0,"{'minutes': 1, 'seconds': 53}","{'minutes': 3, 'seconds': 16}",5,40,TD,False,7,45,14,45
40175293826,401752938,Texas Tech,Big 12,Oregon State,Pac-12,26,False,4,20,80,"{'minutes': 0, 'seconds': 0}",4,32,68,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 0}",3,12,END OF GAME,True,45,14,45,14
4017568771,401756877,Arkansas-Pine Bluff,SWAC,Texas Tech,Big 12,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,70,70,"{'minutes': 12, 'seconds': 51}","{'minutes': 2, 'seconds': 9}",5,5,PUNT,False,0,0,0,0
4017568772,401756877,Texas Tech,Big 12,Arkansas-Pine Bluff,SWAC,2,True,1,61,39,"{'minutes': 12, 'seconds': 51}",1,100,0,"{'minutes': 11, 'seconds': 44}","{'minutes': 1, 'seconds': 7}",4,39,TD,True,0,0,7,0
4017568773,401756877,Arkansas-Pine Bluff,SWAC,Texas Tech,Big 12,3,False,1,75,75,"{'minutes': 11, 'seconds': 44}",1,72,72,"{'minutes': 10, 'seconds': 19}","{'minutes': 1, 'seconds': 25}",3,3,PUNT,False,0,7,0,7
4017568774,401756877,Texas Tech,Big 12,Arkansas-Pine Bluff,SWAC,4,True,1,79,21,"{'minutes': 10, 'seconds': 19}",1,100,0,"{'minutes': 10, 'seconds': 12}","{'minutes': 0, 'seconds': 7}",1,21,TD,True,14,0,14,0
4017568775,401756877,Arkansas-Pine Bluff,SWAC,Texas Tech,Big 12,5,False,1,75,75,"{'minutes': 10, 'seconds': 12}",1,61,61,"{'minutes': 7, 'seconds': 54}","{'minutes': 2, 'seconds': 18}",6,14,PUNT,False,0,14,0,14
4017568776,401756877,Texas Tech,Big 12,Arkansas-Pine Bluff,SWAC,6,True,1,28,72,"{'minutes': 7, 'seconds': 54}",1,89,11,"{'minutes': 4, 'seconds': 47}","{'minutes': 3, 'seconds': 7}",8,61,FG,True,14,0,17,0
4017568777,401756877,Arkansas-Pine Bluff,SWAC,Texas Tech,Big 12,7,False,1,78,78,"{'minutes': 4, 'seconds': 47}",1,68,68,"{'minutes': 4, 'seconds': 29}","{'minutes': 0, 'seconds': 18}",2,10,INT,False,0,17,0,17
