id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017546371,401754637,Troy,Sun Belt,Clemson,ACC,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 12, 'seconds': 6}","{'minutes': 2, 'seconds': 54}",5,75,TD,False,0,0,7,0
4017546372,401754637,Clemson,ACC,Troy,Sun Belt,2,False,1,13,87,"{'minutes': 11, 'seconds': 39}",1,18,82,"{'minutes': 10, 'seconds': 43}","{'minutes': 0, 'seconds': 56}",3,5,PUNT,True,0,7,0,7
4017546373,401754637,Troy,Sun Belt,Clemson,ACC,3,False,1,68,68,"{'minutes': 10, 'seconds': 43}",1,54,54,"{'minutes': 6, 'seconds': 46}","{'minutes': 3, 'seconds': 57}",6,14,PUNT,False,7,0,7,0
4017546374,401754637,Clemson,ACC,Troy,Sun Belt,4,False,1,10,90,"{'minutes': 6, 'seconds': 46}",1,51,49,"{'minutes': 2, 'seconds': 57}","{'minutes': 3, 'seconds': 49}",9,41,PUNT,True,0,7,0,7
4017546375,401754637,Troy,Sun Belt,Clemson,ACC,5,False,1,92,92,"{'minutes': 2, 'seconds': 57}",1,88,88,"{'minutes': 2, 'seconds': 6}","{'minutes': 0, 'seconds': 51}",3,4,INT,False,7,0,7,0
4017546376,401754637,Clemson,ACC,Troy,Sun Belt,6,False,1,70,30,"{'minutes': 2, 'seconds': 6}",1,85,15,"{'minutes': 0, 'seconds': 2}","{'minutes': 2, 'seconds': 4}",4,15,FUMBLE,True,0,7,0,7
4017546377,401754637,Troy,Sun Belt,Clemson,ACC,7,True,1,32,32,"{'minutes': 0, 'seconds': 2}",2,19,19,"{'minutes': 12, 'seconds': 38}","{'minutes': 2, 'seconds': 24}",7,13,FG,False,7,0,10,0
4017546378,401754637,Clemson,ACC,Troy,Sun Belt,8,False,2,25,75,"{'minutes': 12, 'seconds': 38}",2,34,66,"{'minutes': 10, 'seconds': 0}","{'minutes': 2, 'seconds': 38}",4,9,PUNT,True,0,10,0,10
4017546379,401754637,Troy,Sun Belt,Clemson,ACC,9,False,2,77,77,"{'minutes': 10, 'seconds': 0}",2,49,49,"{'minutes': 7, 'seconds': 5}","{'minutes': 2, 'seconds': 55}",6,28,PUNT,False,10,0,10,0
40175463710,401754637,Clemson,ACC,Troy,Sun Belt,10,True,2,8,92,"{'minutes': 7, 'seconds': 5}",2,8,92,"{'minutes': 6, 'seconds': 58}","{'minutes': 0, 'seconds': 7}",1,0,INT TD,True,0,10,0,16
40175463711,401754637,Clemson,ACC,Troy,Sun Belt,11,True,2,35,65,"{'minutes': 6, 'seconds': 52}",2,92,8,"{'minutes': 4, 'seconds': 11}","{'minutes': 2, 'seconds': 41}",7,57,FG,True,0,16,3,16
40175463712,401754637,Troy,Sun Belt,Clemson,ACC,12,False,2,75,75,"{'minutes': 4, 'seconds': 11}",2,33,33,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 11}",9,42,MISSED FG,False,16,3,16,3
40175463713,401754637,Clemson,ACC,Troy,Sun Belt,13,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 11, 'seconds': 5}","{'minutes': 3, 'seconds': 55}",8,75,TD,True,3,16,10,16
40175463714,401754637,Troy,Sun Belt,Clemson,ACC,14,False,3,94,94,"{'minutes': 11, 'seconds': 3}",3,94,94,"{'minutes': 10, 'seconds': 13}","{'minutes': 0, 'seconds': 50}",2,0,INT,False,16,10,16,10
40175463715,401754637,Clemson,ACC,Troy,Sun Belt,15,True,3,74,26,"{'minutes': 10, 'seconds': 13}",3,100,0,"{'minutes': 10, 'seconds': 7}","{'minutes': 0, 'seconds': 6}",1,26,TD,True,17,16,17,16
40175463716,401754637,Troy,Sun Belt,Clemson,ACC,16,False,3,75,75,"{'minutes': 10, 'seconds': 7}",3,70,70,"{'minutes': 9, 'seconds': 8}","{'minutes': 0, 'seconds': 59}",3,5,INT,False,16,17,16,17
40175463717,401754637,Clemson,ACC,Troy,Sun Belt,17,True,3,72,28,"{'minutes': 9, 'seconds': 8}",3,88,12,"{'minutes': 5, 'seconds': 54}","{'minutes': 3, 'seconds': 14}",6,16,FG,True,17,16,20,16
40175463718,401754637,Troy,Sun Belt,Clemson,ACC,18,False,3,75,75,"{'minutes': 5, 'seconds': 54}",4,34,34,"{'minutes': 12, 'seconds': 13}","{'minutes': 8, 'seconds': 41}",16,41,DOWNS,False,16,20,16,20
40175463719,401754637,Clemson,ACC,Troy,Sun Belt,19,True,4,34,66,"{'minutes': 12, 'seconds': 13}",4,100,0,"{'minutes': 9, 'seconds': 41}","{'minutes': 2, 'seconds': 32}",7,66,TD,True,20,16,27,16
40175463720,401754637,Troy,Sun Belt,Clemson,ACC,20,False,4,75,75,"{'minutes': 9, 'seconds': 41}",4,41,41,"{'minutes': 4, 'seconds': 24}","{'minutes': 5, 'seconds': 17}",8,34,PUNT,False,16,27,16,27
40175463721,401754637,Clemson,ACC,Troy,Sun Belt,21,False,4,20,80,"{'minutes': 4, 'seconds': 24}",4,43,57,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 24}",7,23,END OF GAME,True,27,16,27,16
4017615951,401761595,Troy,Sun Belt,Nicholls,Southland,1,False,1,21,79,"{'minutes': 14, 'seconds': 55}",1,41,59,"{'minutes': 10, 'seconds': 58}","{'minutes': 3, 'seconds': 57}",8,20,PUNT,True,0,0,0,0
4017615952,401761595,Nicholls,Southland,Troy,Sun Belt,2,False,1,98,98,"{'minutes': 10, 'seconds': 58}",1,71,71,"{'minutes': 5, 'seconds': 25}","{'minutes': 5, 'seconds': 33}",9,27,PUNT,False,0,0,0,0
