id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527111,401752711,Ole Miss,SEC,Tulane,American Athletic,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 23}","{'minutes': 2, 'seconds': 37}",8,75,TD,True,0,0,7,0
4017527112,401752711,Tulane,American Athletic,Ole Miss,SEC,2,False,1,80,80,"{'minutes': 12, 'seconds': 23}",1,68,68,"{'minutes': 9, 'seconds': 53}","{'minutes': 2, 'seconds': 30}",6,12,PUNT,False,0,7,0,7
4017527113,401752711,Ole Miss,SEC,Tulane,American Athletic,3,True,1,25,75,"{'minutes': 9, 'seconds': 53}",1,95,5,"{'minutes': 3, 'seconds': 13}","{'minutes': 6, 'seconds': 40}",15,70,FG,True,7,0,10,0
4017527114,401752711,Tulane,American Athletic,Ole Miss,SEC,4,False,1,75,75,"{'minutes': 3, 'seconds': 13}",1,57,57,"{'minutes': 0, 'seconds': 12}","{'minutes': 3, 'seconds': 1}",6,18,PUNT,False,0,10,0,10
4017527115,401752711,Ole Miss,SEC,Tulane,American Athletic,5,True,1,29,71,"{'minutes': 0, 'seconds': 12}",2,63,37,"{'minutes': 12, 'seconds': 48}","{'minutes': 2, 'seconds': 24}",7,34,FG,True,10,0,13,0
4017527116,401752711,Tulane,American Athletic,Ole Miss,SEC,6,True,2,75,75,"{'minutes': 12, 'seconds': 48}",2,16,16,"{'minutes': 6, 'seconds': 40}","{'minutes': 6, 'seconds': 8}",11,59,FG,False,0,13,3,13
4017527117,401752711,Ole Miss,SEC,Tulane,American Athletic,7,True,2,28,72,"{'minutes': 6, 'seconds': 40}",2,100,0,"{'minutes': 4, 'seconds': 9}","{'minutes': 2, 'seconds': 31}",6,72,TD,True,13,3,20,3
4017527118,401752711,Tulane,American Athletic,Ole Miss,SEC,8,False,2,75,75,"{'minutes': 4, 'seconds': 9}",2,64,64,"{'minutes': 1, 'seconds': 50}","{'minutes': 2, 'seconds': 19}",5,11,PUNT,False,3,20,3,20
4017527119,401752711,Ole Miss,SEC,Tulane,American Athletic,9,True,2,23,77,"{'minutes': 1, 'seconds': 50}",2,85,15,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 26}",8,62,FG,True,20,3,23,3
40175271110,401752711,Tulane,American Athletic,Ole Miss,SEC,10,False,2,75,75,"{'minutes': 0, 'seconds': 24}",2,68,68,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 24}",2,7,END OF HALF,False,3,23,3,23
