id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529452,401752945,Oregon State,Pac-12,Tulsa,American Athletic,1,False,1,82,82,"{'minutes': 14, 'seconds': 55}",1,76,76,"{'minutes': 13, 'seconds': 47}","{'minutes': 1, 'seconds': 8}",3,6,PUNT,False,0,0,0,0
4017529453,401752945,Tulsa,American Athletic,Oregon State,Pac-12,2,True,1,27,73,"{'minutes': 13, 'seconds': 47}",1,97,3,"{'minutes': 11, 'seconds': 36}","{'minutes': 2, 'seconds': 11}",5,73,TD,True,0,0,7,0
4017529455,401752945,Oregon State,Pac-12,Tulsa,American Athletic,3,False,1,90,90,"{'minutes': 11, 'seconds': 30}",1,84,84,"{'minutes': 9, 'seconds': 59}","{'minutes': 1, 'seconds': 31}",3,6,PUNT,False,0,7,0,7
4017529456,401752945,Tulsa,American Athletic,Oregon State,Pac-12,4,True,1,49,51,"{'minutes': 9, 'seconds': 59}",1,97,3,"{'minutes': 8, 'seconds': 14}","{'minutes': 1, 'seconds': 45}",4,51,TD,True,7,0,14,0
4017529458,401752945,Oregon State,Pac-12,Tulsa,American Athletic,5,False,1,75,75,"{'minutes': 8, 'seconds': 14}",1,54,54,"{'minutes': 4, 'seconds': 44}","{'minutes': 3, 'seconds': 30}",9,21,PUNT,False,0,14,0,14
4017529459,401752945,Tulsa,American Athletic,Oregon State,Pac-12,6,False,1,14,86,"{'minutes': 4, 'seconds': 44}",1,18,82,"{'minutes': 3, 'seconds': 27}","{'minutes': 1, 'seconds': 17}",3,4,PUNT,True,14,0,14,0
40175294510,401752945,Oregon State,Pac-12,Tulsa,American Athletic,7,False,1,62,62,"{'minutes': 3, 'seconds': 27}",1,50,50,"{'minutes': 0, 'seconds': 9}","{'minutes': 3, 'seconds': 18}",7,12,DOWNS,False,0,14,0,14
40175294511,401752945,Tulsa,American Athletic,Oregon State,Pac-12,8,False,1,50,50,"{'minutes': 0, 'seconds': 9}",2,59,41,"{'minutes': 11, 'seconds': 59}","{'minutes': 3, 'seconds': 10}",7,9,PUNT,True,14,0,14,0
40175294512,401752945,Oregon State,Pac-12,Tulsa,American Athletic,9,False,2,92,92,"{'minutes': 11, 'seconds': 59}",2,63,63,"{'minutes': 8, 'seconds': 10}","{'minutes': 3, 'seconds': 49}",8,29,PUNT,False,0,14,0,14
40175294513,401752945,Tulsa,American Athletic,Oregon State,Pac-12,10,True,2,50,50,"{'minutes': 8, 'seconds': 10}",2,93,7,"{'minutes': 5, 'seconds': 33}","{'minutes': 2, 'seconds': 37}",6,43,FG,True,14,0,17,0
