id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527151,401752715,Tennessee,SEC,UAB,American Athletic,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 56}","{'minutes': 2, 'seconds': 4}",7,75,TD,True,0,0,7,0
4017527152,401752715,UAB,American Athletic,Tennessee,SEC,2,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,77,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 26}",3,2,Uncategorized,False,0,7,0,7
4017527153,401752715,Tennessee,SEC,UAB,American Athletic,3,True,0,50,50,"{'minutes': 0, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 5}","{'minutes': 0, 'seconds': 0}",2,50,TD,True,7,0,14,0
4017527154,401752715,UAB,American Athletic,Tennessee,SEC,4,False,1,75,75,"{'minutes': 11, 'seconds': 5}",1,55,55,"{'minutes': 8, 'seconds': 32}","{'minutes': 2, 'seconds': 33}",4,20,PUNT,False,0,14,0,14
4017527155,401752715,Tennessee,SEC,UAB,American Athletic,5,False,1,10,90,"{'minutes': 8, 'seconds': 32}",1,36,64,"{'minutes': 6, 'seconds': 21}","{'minutes': 2, 'seconds': 11}",7,26,INT,True,14,0,14,0
4017527156,401752715,UAB,American Athletic,Tennessee,SEC,6,False,1,62,62,"{'minutes': 6, 'seconds': 21}",1,61,61,"{'minutes': 5, 'seconds': 27}","{'minutes': 0, 'seconds': 54}",3,1,PUNT,False,0,14,0,14
4017527157,401752715,Tennessee,SEC,UAB,American Athletic,7,True,1,55,45,"{'minutes': 5, 'seconds': 27}",1,100,0,"{'minutes': 4, 'seconds': 1}","{'minutes': 1, 'seconds': 26}",5,45,TD,True,14,0,21,0
4017527158,401752715,UAB,American Athletic,Tennessee,SEC,8,False,1,92,92,"{'minutes': 3, 'seconds': 53}",2,73,73,"{'minutes': 14, 'seconds': 9}","{'minutes': 4, 'seconds': 44}",6,19,PUNT,False,0,21,0,21
4017527159,401752715,Tennessee,SEC,UAB,American Athletic,9,True,2,40,60,"{'minutes': 14, 'seconds': 9}",2,100,0,"{'minutes': 10, 'seconds': 44}","{'minutes': 3, 'seconds': 25}",10,60,TD,True,21,0,28,0
40175271510,401752715,UAB,American Athletic,Tennessee,SEC,10,True,2,75,75,"{'minutes': 10, 'seconds': 44}",2,0,0,"{'minutes': 7, 'seconds': 34}","{'minutes': 3, 'seconds': 10}",10,75,TD,False,0,28,7,28
