id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528002,401752800,Utah,Big 12,UCLA,Big Ten,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 11}",11,75,TD,False,0,0,6,0
4017528004,401752800,UCLA,Big Ten,Utah,Big 12,2,False,1,23,77,"{'minutes': 10, 'seconds': 40}",1,60,40,"{'minutes': 6, 'seconds': 40}","{'minutes': 4, 'seconds': 3}",10,37,DOWNS,True,0,6,0,6
4017528005,401752800,Utah,Big 12,UCLA,Big Ten,3,True,1,60,60,"{'minutes': 6, 'seconds': 37}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 10}",10,60,TD,False,6,0,13,0
4017528007,401752800,UCLA,Big Ten,Utah,Big 12,4,False,1,25,75,"{'minutes': 1, 'seconds': 24}",2,11,89,"{'minutes': 15, 'seconds': 0}","{'minutes': 1, 'seconds': 29}",3,-14,PUNT,True,0,13,0,13
4017528008,401752800,Utah,Big 12,UCLA,Big Ten,5,True,2,49,49,"{'minutes': 14, 'seconds': 46}",2,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 12}",5,49,TD,False,13,0,20,0
40175280010,401752800,UCLA,Big Ten,Utah,Big 12,6,True,2,25,75,"{'minutes': 12, 'seconds': 43}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 58}",10,75,TD,True,0,20,7,20
40175280012,401752800,Utah,Big 12,UCLA,Big Ten,7,False,2,96,96,"{'minutes': 6, 'seconds': 39}",2,48,48,"{'minutes': 3, 'seconds': 15}","{'minutes': 3, 'seconds': 32}",8,48,PUNT,False,20,7,20,7
40175280013,401752800,UCLA,Big Ten,Utah,Big 12,8,False,2,6,94,"{'minutes': 3, 'seconds': 9}",2,32,68,"{'minutes': 1, 'seconds': 6}","{'minutes': 2, 'seconds': 8}",7,26,PUNT,True,7,20,7,20
40175280014,401752800,Utah,Big 12,UCLA,Big Ten,9,False,2,70,70,"{'minutes': 1, 'seconds': 0}",3,36,36,"{'minutes': 0, 'seconds': 4}","{'minutes': 1, 'seconds': 1}",9,34,FG,False,20,7,20,7
40175280016,401752800,UCLA,Big Ten,Utah,Big 12,10,True,3,25,75,"{'minutes': 14, 'seconds': 59}",3,72,28,"{'minutes': 12, 'seconds': 42}","{'minutes': 2, 'seconds': 22}",7,47,FG,True,7,23,10,26
40175280018,401752800,Utah,Big 12,UCLA,Big Ten,11,True,3,80,80,"{'minutes': 12, 'seconds': 30}",3,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 9, 'seconds': 44}",21,80,TD,False,23,10,30,13
40175280020,401752800,UCLA,Big Ten,Utah,Big 12,12,False,3,22,78,"{'minutes': 2, 'seconds': 45}",4,35,65,"{'minutes': 15, 'seconds': 0}","{'minutes': 2, 'seconds': 51}",7,13,PUNT,True,10,30,10,30
40175280021,401752800,Utah,Big 12,UCLA,Big Ten,13,True,4,81,81,"{'minutes': 14, 'seconds': 53}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 49}",10,81,TD,False,30,10,36,10
40175280023,401752800,UCLA,Big Ten,Utah,Big 12,14,False,4,25,75,"{'minutes': 10, 'seconds': 4}",4,46,54,"{'minutes': 8, 'seconds': 45}","{'minutes': 1, 'seconds': 28}",5,21,INT,True,10,36,10,36
40175280024,401752800,Utah,Big 12,UCLA,Big Ten,15,True,4,29,29,"{'minutes': 8, 'seconds': 35}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 8}",4,29,TD,False,36,10,43,10
40175280026,401752800,UCLA,Big Ten,Utah,Big 12,16,False,4,25,75,"{'minutes': 6, 'seconds': 28}",4,25,75,"{'minutes': 4, 'seconds': 38}","{'minutes': 1, 'seconds': 57}",3,0,PUNT,True,10,43,10,43
40175280027,401752800,Utah,Big 12,UCLA,Big Ten,17,False,4,73,73,"{'minutes': 4, 'seconds': 28}",4,110,110,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 32}",7,37,Uncategorized,False,43,10,43,10
4017528231,401752823,UNLV,Mountain West,UCLA,Big Ten,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,68,32,"{'minutes': 8, 'seconds': 1}","{'minutes': 6, 'seconds': 59}",11,43,FG,True,0,0,3,0
4017528232,401752823,UCLA,Big Ten,UNLV,Mountain West,2,False,1,77,77,"{'minutes': 7, 'seconds': 55}",1,55,55,"{'minutes': 4, 'seconds': 41}","{'minutes': 3, 'seconds': 14}",4,22,PUNT,False,0,3,0,3
4017528233,401752823,UNLV,Mountain West,UCLA,Big Ten,3,True,1,19,81,"{'minutes': 4, 'seconds': 41}",1,100,0,"{'minutes': 0, 'seconds': 13}","{'minutes': 4, 'seconds': 28}",6,81,TD,True,3,0,10,0
4017528234,401752823,UCLA,Big Ten,UNLV,Mountain West,4,False,1,80,80,"{'minutes': 0, 'seconds': 9}",2,55,55,"{'minutes': 11, 'seconds': 17}","{'minutes': 3, 'seconds': 52}",8,25,PUNT,False,0,10,0,10
4017528235,401752823,UNLV,Mountain West,UCLA,Big Ten,5,True,2,13,87,"{'minutes': 11, 'seconds': 17}",2,100,0,"{'minutes': 5, 'seconds': 39}","{'minutes': 5, 'seconds': 38}",11,87,TD,True,10,0,17,0
4017528236,401752823,UCLA,Big Ten,UNLV,Mountain West,6,False,2,75,75,"{'minutes': 5, 'seconds': 33}",2,56,56,"{'minutes': 3, 'seconds': 30}","{'minutes': 2, 'seconds': 3}",5,19,FUMBLE,False,0,17,0,17
4017528237,401752823,UNLV,Mountain West,UCLA,Big Ten,7,True,2,56,44,"{'minutes': 3, 'seconds': 30}",2,100,0,"{'minutes': 1, 'seconds': 49}","{'minutes': 1, 'seconds': 41}",5,44,TD,True,17,0,23,0
4017528238,401752823,UCLA,Big Ten,UNLV,Mountain West,8,True,2,61,61,"{'minutes': 1, 'seconds': 35}",2,15,15,"{'minutes': 0, 'seconds': 4}","{'minutes': 1, 'seconds': 31}",9,46,FG,False,0,23,3,23
4017528239,401752823,UCLA,Big Ten,UNLV,Mountain West,9,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 7, 'seconds': 48}","{'minutes': 7, 'seconds': 12}",12,75,TD,False,3,23,10,23
40175282310,401752823,UNLV,Mountain West,UCLA,Big Ten,10,False,3,25,75,"{'minutes': 7, 'seconds': 48}",3,33,67,"{'minutes': 6, 'seconds': 53}","{'minutes': 0, 'seconds': 55}",3,8,PUNT,True,23,10,23,10
40175282311,401752823,UCLA,Big Ten,UNLV,Mountain West,11,True,3,69,69,"{'minutes': 6, 'seconds': 53}",3,17,17,"{'minutes': 0, 'seconds': 3}","{'minutes': 6, 'seconds': 50}",14,52,FG,False,10,23,13,23
40175282312,401752823,UNLV,Mountain West,UCLA,Big Ten,12,True,3,25,75,"{'minutes': 0, 'seconds': 3}",4,100,0,"{'minutes': 12, 'seconds': 4}","{'minutes': 2, 'seconds': 59}",6,75,TD,True,23,13,30,13
40175282313,401752823,UCLA,Big Ten,UNLV,Mountain West,13,True,4,78,78,"{'minutes': 11, 'seconds': 58}",4,0,0,"{'minutes': 8, 'seconds': 50}","{'minutes': 3, 'seconds': 8}",8,78,TD,False,13,30,20,30
40175282314,401752823,UNLV,Mountain West,UCLA,Big Ten,14,False,4,12,88,"{'minutes': 8, 'seconds': 48}",4,4,96,"{'minutes': 7, 'seconds': 0}","{'minutes': 1, 'seconds': 48}",3,-8,PUNT,True,30,20,30,20
40175282315,401752823,UCLA,Big Ten,UNLV,Mountain West,15,True,4,57,57,"{'minutes': 7, 'seconds': 0}",4,15,15,"{'minutes': 5, 'seconds': 25}","{'minutes': 1, 'seconds': 35}",6,42,FG,False,20,30,23,30
40175282316,401752823,UNLV,Mountain West,UCLA,Big Ten,16,False,4,25,75,"{'minutes': 5, 'seconds': 25}",4,38,62,"{'minutes': 2, 'seconds': 17}","{'minutes': 3, 'seconds': 8}",6,13,PUNT,True,30,23,30,23
40175282317,401752823,UCLA,Big Ten,UNLV,Mountain West,17,False,4,81,81,"{'minutes': 2, 'seconds': 17}",4,24,24,"{'minutes': 0, 'seconds': 52}","{'minutes': 1, 'seconds': 25}",9,57,INT,False,23,30,23,30
40175282318,401752823,UNLV,Mountain West,UCLA,Big Ten,18,False,4,13,87,"{'minutes': 0, 'seconds': 52}",4,23,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 52}",3,10,END OF GAME,True,30,23,30,23
4017528371,401752837,New Mexico,Mountain West,UCLA,Big Ten,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,53,53,"{'minutes': 13, 'seconds': 23}","{'minutes': 1, 'seconds': 37}",4,22,PUNT,False,0,0,0,0
4017528372,401752837,UCLA,Big Ten,New Mexico,Mountain West,2,False,1,10,90,"{'minutes': 13, 'seconds': 23}",1,41,59,"{'minutes': 8, 'seconds': 35}","{'minutes': 4, 'seconds': 48}",7,31,PUNT,True,0,0,0,0
4017528373,401752837,New Mexico,Mountain West,UCLA,Big Ten,3,True,1,64,64,"{'minutes': 8, 'seconds': 35}",1,0,0,"{'minutes': 3, 'seconds': 10}","{'minutes': 5, 'seconds': 25}",9,64,TD,False,0,0,7,0
4017528374,401752837,UCLA,Big Ten,New Mexico,Mountain West,4,False,1,17,83,"{'minutes': 3, 'seconds': 2}",1,23,77,"{'minutes': 1, 'seconds': 39}","{'minutes': 1, 'seconds': 23}",3,6,PUNT,True,0,7,0,7
4017528375,401752837,New Mexico,Mountain West,UCLA,Big Ten,5,True,1,59,59,"{'minutes': 1, 'seconds': 39}",2,0,0,"{'minutes': 12, 'seconds': 43}","{'minutes': 3, 'seconds': 56}",7,59,TD,False,7,0,14,0
4017528376,401752837,UCLA,Big Ten,New Mexico,Mountain West,6,True,2,22,78,"{'minutes': 12, 'seconds': 38}",2,100,0,"{'minutes': 8, 'seconds': 59}","{'minutes': 3, 'seconds': 39}",8,78,TD,True,0,14,7,14
4017528377,401752837,New Mexico,Mountain West,UCLA,Big Ten,7,False,2,75,75,"{'minutes': 8, 'seconds': 59}",2,77,77,"{'minutes': 7, 'seconds': 48}","{'minutes': 1, 'seconds': 11}",3,-2,PUNT,False,14,7,14,7
4017528378,401752837,UCLA,Big Ten,New Mexico,Mountain West,8,False,2,11,89,"{'minutes': 7, 'seconds': 48}",2,30,70,"{'minutes': 5, 'seconds': 9}","{'minutes': 2, 'seconds': 39}",5,19,PUNT,True,7,14,7,14
4017528379,401752837,New Mexico,Mountain West,UCLA,Big Ten,9,False,2,76,76,"{'minutes': 5, 'seconds': 9}",2,3,3,"{'minutes': 1, 'seconds': 9}","{'minutes': 4, 'seconds': 0}",7,73,DOWNS,False,14,7,14,7
40175283710,401752837,UCLA,Big Ten,New Mexico,Mountain West,10,False,2,3,97,"{'minutes': 1, 'seconds': 9}",2,80,20,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 9}",7,77,END OF HALF,True,7,14,7,14
40175283711,401752837,UCLA,Big Ten,New Mexico,Mountain West,11,False,3,35,65,"{'minutes': 15, 'seconds': 0}",3,35,65,"{'minutes': 14, 'seconds': 41}","{'minutes': 0, 'seconds': 19}",3,0,PUNT,True,7,14,7,14
40175283712,401752837,New Mexico,Mountain West,UCLA,Big Ten,12,False,3,62,62,"{'minutes': 14, 'seconds': 41}",3,3,3,"{'minutes': 7, 'seconds': 33}","{'minutes': 7, 'seconds': 8}",10,59,FUMBLE,False,14,7,14,7
40175283713,401752837,UCLA,Big Ten,New Mexico,Mountain West,13,False,3,3,97,"{'minutes': 7, 'seconds': 33}",3,6,94,"{'minutes': 6, 'seconds': 34}","{'minutes': 0, 'seconds': 59}",3,3,PUNT,True,7,14,7,14
40175283714,401752837,UCLA,Big Ten,New Mexico,Mountain West,14,True,3,41,59,"{'minutes': 6, 'seconds': 34}",3,67,33,"{'minutes': 3, 'seconds': 34}","{'minutes': 3, 'seconds': 0}",5,26,FG,True,7,14,10,14
40175283715,401752837,New Mexico,Mountain West,UCLA,Big Ten,15,True,3,75,75,"{'minutes': 3, 'seconds': 34}",4,0,0,"{'minutes': 10, 'seconds': 42}","{'minutes': 7, 'seconds': 52}",13,75,TD,False,14,10,21,10
40175283716,401752837,UCLA,Big Ten,New Mexico,Mountain West,16,False,4,25,75,"{'minutes': 10, 'seconds': 42}",4,42,58,"{'minutes': 9, 'seconds': 13}","{'minutes': 1, 'seconds': 29}",5,17,DOWNS,True,10,21,10,21
40175283717,401752837,New Mexico,Mountain West,UCLA,Big Ten,17,True,4,42,42,"{'minutes': 9, 'seconds': 13}",4,0,0,"{'minutes': 7, 'seconds': 6}","{'minutes': 2, 'seconds': 7}",3,42,TD,False,21,10,28,10
40175283718,401752837,UCLA,Big Ten,New Mexico,Mountain West,18,False,4,25,75,"{'minutes': 7, 'seconds': 6}",4,66,34,"{'minutes': 3, 'seconds': 58}","{'minutes': 3, 'seconds': 8}",9,41,INT,True,10,28,10,28
40175283719,401752837,New Mexico,Mountain West,UCLA,Big Ten,19,True,4,74,74,"{'minutes': 3, 'seconds': 58}",4,0,0,"{'minutes': 0, 'seconds': 36}","{'minutes': 3, 'seconds': 22}",7,74,TD,False,28,10,35,10
40175283720,401752837,UCLA,Big Ten,New Mexico,Mountain West,20,False,4,25,75,"{'minutes': 0, 'seconds': 36}",4,33,67,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 36}",2,8,END OF GAME,True,10,35,10,35
4017528512,401752851,UCLA,Big Ten,Northwestern,Big Ten,1,False,1,75,75,"{'minutes': 14, 'seconds': 59}",1,54,54,"{'minutes': 11, 'seconds': 41}","{'minutes': 3, 'seconds': 27}",6,21,PUNT,False,0,0,0,0
4017528513,401752851,Northwestern,Big Ten,UCLA,Big Ten,2,True,1,11,89,"{'minutes': 11, 'seconds': 32}",1,85,15,"{'minutes': 2, 'seconds': 24}","{'minutes': 9, 'seconds': 9}",17,74,FG,True,0,0,3,0
4017528515,401752851,UCLA,Big Ten,Northwestern,Big Ten,3,False,1,86,86,"{'minutes': 2, 'seconds': 12}",1,83,83,"{'minutes': 1, 'seconds': 35}","{'minutes': 0, 'seconds': 51}",3,3,PUNT,False,0,3,0,3
4017528516,401752851,Northwestern,Big Ten,UCLA,Big Ten,4,True,1,31,69,"{'minutes': 1, 'seconds': 26}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 57}",6,69,TD,True,3,0,10,0
4017528518,401752851,UCLA,Big Ten,Northwestern,Big Ten,5,False,2,83,83,"{'minutes': 13, 'seconds': 24}",2,34,34,"{'minutes': 6, 'seconds': 18}","{'minutes': 7, 'seconds': 5}",14,47,DOWNS,False,0,10,0,10
4017528519,401752851,Northwestern,Big Ten,UCLA,Big Ten,6,True,2,36,64,"{'minutes': 6, 'seconds': 16}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 46}",5,64,TD,True,10,0,17,0
40175285111,401752851,UCLA,Big Ten,Northwestern,Big Ten,7,True,2,83,83,"{'minutes': 3, 'seconds': 24}",2,10,10,"{'minutes': 15, 'seconds': 0}","{'minutes': 3, 'seconds': 26}",13,73,FG,False,0,17,3,17
40175285113,401752851,Northwestern,Big Ten,UCLA,Big Ten,8,False,3,25,75,"{'minutes': 14, 'seconds': 59}",3,63,37,"{'minutes': 9, 'seconds': 7}","{'minutes': 6, 'seconds': 0}",10,38,PUNT,True,17,6,17,6
40175285114,401752851,UCLA,Big Ten,Northwestern,Big Ten,9,True,3,80,80,"{'minutes': 8, 'seconds': 58}",3,7,7,"{'minutes': 2, 'seconds': 51}","{'minutes': 6, 'seconds': 12}",12,73,FG,False,6,17,6,17
40175285116,401752851,Northwestern,Big Ten,UCLA,Big Ten,10,False,3,31,69,"{'minutes': 2, 'seconds': 40}",4,98,2,"{'minutes': 7, 'seconds': 50}","{'minutes': 9, 'seconds': 52}",17,67,MISSED FG,True,17,6,17,9
40175285117,401752851,UCLA,Big Ten,Northwestern,Big Ten,11,True,4,80,80,"{'minutes': 7, 'seconds': 47}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 29}",5,80,TD,False,9,17,17,17
40175285119,401752851,Northwestern,Big Ten,UCLA,Big Ten,12,False,4,25,75,"{'minutes': 6, 'seconds': 18}",4,49,51,"{'minutes': 3, 'seconds': 23}","{'minutes': 3, 'seconds': 3}",6,24,PUNT,True,17,14,17,14
40175285120,401752851,UCLA,Big Ten,Northwestern,Big Ten,13,False,4,93,93,"{'minutes': 0, 'seconds': 0}",4,91,91,"{'minutes': 1, 'seconds': 55}","{'minutes': 1, 'seconds': 21}",3,2,PUNT,False,14,17,14,17
40175285121,401752851,Northwestern,Big Ten,UCLA,Big Ten,14,False,4,47,53,"{'minutes': 0, 'seconds': 0}",4,50,50,"{'minutes': 1, 'seconds': 29}","{'minutes': 0, 'seconds': 26}",3,3,PUNT,True,17,14,17,14
40175285122,401752851,UCLA,Big Ten,Northwestern,Big Ten,15,False,4,80,80,"{'minutes': 0, 'seconds': 0}",4,79,79,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 29}",5,1,Uncategorized,False,14,17,14,17
4017528552,401752855,UCLA,Big Ten,Penn State,Big Ten,1,True,1,25,75,"{'minutes': 14, 'seconds': 59}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 34}",11,75,TD,True,0,0,7,0
