id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528231,401752823,UNLV,Mountain West,UCLA,Big Ten,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,68,32,"{'minutes': 8, 'seconds': 1}","{'minutes': 6, 'seconds': 59}",11,43,FG,True,0,0,3,0
4017528232,401752823,UCLA,Big Ten,UNLV,Mountain West,2,False,1,77,77,"{'minutes': 7, 'seconds': 55}",1,55,55,"{'minutes': 4, 'seconds': 41}","{'minutes': 3, 'seconds': 14}",4,22,PUNT,False,0,3,0,3
4017528233,401752823,UNLV,Mountain West,UCLA,Big Ten,3,True,1,19,81,"{'minutes': 4, 'seconds': 41}",1,100,0,"{'minutes': 0, 'seconds': 13}","{'minutes': 4, 'seconds': 28}",6,81,TD,True,3,0,10,0
4017528234,401752823,UCLA,Big Ten,UNLV,Mountain West,4,False,1,80,80,"{'minutes': 0, 'seconds': 9}",2,55,55,"{'minutes': 11, 'seconds': 17}","{'minutes': 3, 'seconds': 52}",8,25,PUNT,False,0,10,0,10
4017528235,401752823,UNLV,Mountain West,UCLA,Big Ten,5,True,2,13,87,"{'minutes': 11, 'seconds': 17}",2,100,0,"{'minutes': 5, 'seconds': 39}","{'minutes': 5, 'seconds': 38}",11,87,TD,True,10,0,17,0
4017528236,401752823,UCLA,Big Ten,UNLV,Mountain West,6,False,2,75,75,"{'minutes': 5, 'seconds': 33}",2,56,56,"{'minutes': 3, 'seconds': 30}","{'minutes': 2, 'seconds': 3}",5,19,FUMBLE,False,0,17,0,17
4017528237,401752823,UNLV,Mountain West,UCLA,Big Ten,7,True,2,56,44,"{'minutes': 3, 'seconds': 30}",2,100,0,"{'minutes': 1, 'seconds': 49}","{'minutes': 1, 'seconds': 41}",5,44,TD,True,17,0,23,0
4017528238,401752823,UCLA,Big Ten,UNLV,Mountain West,8,True,2,61,61,"{'minutes': 1, 'seconds': 35}",2,15,15,"{'minutes': 0, 'seconds': 4}","{'minutes': 1, 'seconds': 31}",9,46,FG,False,0,23,3,23
4017528239,401752823,UCLA,Big Ten,UNLV,Mountain West,9,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 7, 'seconds': 48}","{'minutes': 7, 'seconds': 12}",12,75,TD,False,3,23,10,23
40175282310,401752823,UNLV,Mountain West,UCLA,Big Ten,10,False,3,25,75,"{'minutes': 7, 'seconds': 48}",3,33,67,"{'minutes': 6, 'seconds': 53}","{'minutes': 0, 'seconds': 55}",3,8,PUNT,True,23,10,23,10
40175282311,401752823,UCLA,Big Ten,UNLV,Mountain West,11,True,3,69,69,"{'minutes': 6, 'seconds': 53}",3,17,17,"{'minutes': 0, 'seconds': 3}","{'minutes': 6, 'seconds': 50}",14,52,FG,False,10,23,13,23
40175282312,401752823,UNLV,Mountain West,UCLA,Big Ten,12,True,3,25,75,"{'minutes': 0, 'seconds': 3}",4,100,0,"{'minutes': 12, 'seconds': 4}","{'minutes': 2, 'seconds': 59}",6,75,TD,True,23,13,30,13
40175282313,401752823,UCLA,Big Ten,UNLV,Mountain West,13,True,4,78,78,"{'minutes': 11, 'seconds': 58}",4,0,0,"{'minutes': 8, 'seconds': 50}","{'minutes': 3, 'seconds': 8}",8,78,TD,False,13,30,20,30
40175282314,401752823,UNLV,Mountain West,UCLA,Big Ten,14,False,4,12,88,"{'minutes': 8, 'seconds': 48}",4,4,96,"{'minutes': 7, 'seconds': 0}","{'minutes': 1, 'seconds': 48}",3,-8,PUNT,True,30,20,30,20
40175282315,401752823,UCLA,Big Ten,UNLV,Mountain West,15,True,4,57,57,"{'minutes': 7, 'seconds': 0}",4,15,15,"{'minutes': 5, 'seconds': 25}","{'minutes': 1, 'seconds': 35}",6,42,FG,False,20,30,23,30
40175282316,401752823,UNLV,Mountain West,UCLA,Big Ten,16,False,4,25,75,"{'minutes': 5, 'seconds': 25}",4,38,62,"{'minutes': 2, 'seconds': 17}","{'minutes': 3, 'seconds': 8}",6,13,PUNT,True,30,23,30,23
40175282317,401752823,UCLA,Big Ten,UNLV,Mountain West,17,False,4,81,81,"{'minutes': 2, 'seconds': 17}",4,24,24,"{'minutes': 0, 'seconds': 52}","{'minutes': 1, 'seconds': 25}",9,57,INT,False,23,30,23,30
40175282318,401752823,UNLV,Mountain West,UCLA,Big Ten,18,False,4,13,87,"{'minutes': 0, 'seconds': 52}",4,23,77,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 52}",3,10,END OF GAME,True,30,23,30,23
4017572242,401757224,UNLV,Mountain West,Sam Houston,Conference USA,1,True,1,68,68,"{'minutes': 0, 'seconds': 0}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 33}",5,68,TD,False,0,0,7,0
4017572248,401757224,Sam Houston,Conference USA,UNLV,Mountain West,2,False,1,25,75,"{'minutes': 0, 'seconds': 0}",2,23,77,"{'minutes': 14, 'seconds': 49}","{'minutes': 0, 'seconds': 43}",3,-2,PUNT,True,7,14,7,14
4017572244,401757224,Sam Houston,Conference USA,UNLV,Mountain West,3,True,1,25,75,"{'minutes': 0, 'seconds': 0}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 37}",12,75,TD,True,0,7,7,7
4017572246,401757224,UNLV,Mountain West,Sam Houston,Conference USA,4,True,1,75,75,"{'minutes': 0, 'seconds': 0}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 8, 'seconds': 10}",13,75,TD,False,7,7,14,7
4017572249,401757224,UNLV,Mountain West,Sam Houston,Conference USA,5,True,2,70,70,"{'minutes': 0, 'seconds': 0}",2,11,11,"{'minutes': 9, 'seconds': 41}","{'minutes': 5, 'seconds': 8}",12,70,TD,False,14,7,17,7
40175722411,401757224,Sam Houston,Conference USA,UNLV,Mountain West,6,True,2,28,72,"{'minutes': 0, 'seconds': 0}",2,3,97,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 21}",7,72,TD,True,7,20,7,31
40175722413,401757224,Sam Houston,Conference USA,UNLV,Mountain West,7,False,2,24,76,"{'minutes': 0, 'seconds': 0}",2,85,15,"{'minutes': 1, 'seconds': 41}","{'minutes': 5, 'seconds': 28}",13,61,MISSED FG,True,7,22,7,28
40175722414,401757224,UNLV,Mountain West,Sam Houston,Conference USA,8,False,2,80,80,"{'minutes': 0, 'seconds': 0}",2,75,75,"{'minutes': 15, 'seconds': 0}","{'minutes': 1, 'seconds': 41}",3,5,END OF HALF,False,28,7,28,7
40175722416,401757224,Sam Houston,Conference USA,UNLV,Mountain West,9,False,3,25,75,"{'minutes': 0, 'seconds': 0}",3,29,71,"{'minutes': 13, 'seconds': 21}","{'minutes': 1, 'seconds': 39}",3,4,PUNT,True,7,28,7,28
40175722423,401757224,Sam Houston,Conference USA,UNLV,Mountain West,10,True,3,27,73,"{'minutes': 0, 'seconds': 0}",4,92,8,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 23}",6,73,TD,True,7,31,13,35
40175722417,401757224,UNLV,Mountain West,Sam Houston,Conference USA,11,True,3,67,67,"{'minutes': 0, 'seconds': 0}",3,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 59}",5,67,TD,False,28,7,31,7
40175722419,401757224,Sam Houston,Conference USA,UNLV,Mountain West,12,False,3,24,76,"{'minutes': 0, 'seconds': 0}",3,32,68,"{'minutes': 9, 'seconds': 45}","{'minutes': 1, 'seconds': 31}",3,8,PUNT,True,7,35,7,35
40175722420,401757224,UNLV,Mountain West,Sam Houston,Conference USA,13,False,3,73,73,"{'minutes': 0, 'seconds': 0}",3,61,61,"{'minutes': 7, 'seconds': 22}","{'minutes': 2, 'seconds': 23}",5,12,PUNT,False,35,7,35,7
40175722421,401757224,Sam Houston,Conference USA,UNLV,Mountain West,14,False,3,29,71,"{'minutes': 0, 'seconds': 0}",3,80,20,"{'minutes': 3, 'seconds': 4}","{'minutes': 4, 'seconds': 18}",10,51,DOWNS,True,7,35,7,35
40175722422,401757224,UNLV,Mountain West,Sam Houston,Conference USA,15,False,3,80,80,"{'minutes': 0, 'seconds': 0}",3,71,71,"{'minutes': 1, 'seconds': 38}","{'minutes': 1, 'seconds': 26}",3,9,PUNT,False,35,7,35,7
40175722425,401757224,UNLV,Mountain West,Sam Houston,Conference USA,16,False,4,75,75,"{'minutes': 0, 'seconds': 0}",4,71,71,"{'minutes': 13, 'seconds': 35}","{'minutes': 0, 'seconds': 42}",2,4,INT,False,35,13,35,13
40175722426,401757224,Sam Houston,Conference USA,UNLV,Mountain West,17,False,4,34,66,"{'minutes': 0, 'seconds': 0}",4,57,43,"{'minutes': 9, 'seconds': 57}","{'minutes': 3, 'seconds': 38}",9,17,DOWNS,True,13,35,13,35
40175722427,401757224,UNLV,Mountain West,Sam Houston,Conference USA,18,True,4,51,51,"{'minutes': 0, 'seconds': 0}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 52}",6,51,TD,False,35,13,38,13
40175722429,401757224,Sam Houston,Conference USA,UNLV,Mountain West,19,True,4,32,68,"{'minutes': 0, 'seconds': 0}",4,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 57}",5,68,TD,True,13,38,21,42
40175722431,401757224,Sam Houston,Conference USA,UNLV,Mountain West,20,False,4,61,39,"{'minutes': 0, 'seconds': 0}",4,72,28,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 19}",8,11,Uncategorized,True,21,42,21,42
40175722432,401757224,UNLV,Mountain West,Sam Houston,Conference USA,21,False,4,75,75,"{'minutes': 0, 'seconds': 0}",4,115,115,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 38}",5,40,Uncategorized,False,42,21,42,21
4017603712,401760371,Idaho State,Big Sky,UNLV,Mountain West,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,8,8,"{'minutes': 11, 'seconds': 14}","{'minutes': 3, 'seconds': 46}",10,67,FG,False,0,0,3,0
4017603714,401760371,UNLV,Mountain West,Idaho State,Big Sky,2,False,1,25,75,"{'minutes': 11, 'seconds': 10}",1,91,9,"{'minutes': 8, 'seconds': 49}","{'minutes': 2, 'seconds': 31}",7,66,FUMBLE,True,0,3,0,10
