gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401760371,4017603712,401760371101849903,1,1,UNLV,Mountain West,0,Idaho State,Big Sky,0,UNLV,Idaho State,1,"{'minutes': 15, 'seconds': 0}",,,35,65,1,10,0,False,Kickoff,Caden Costa kickoff for 64 yds,,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101849905,1,2,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 15, 'seconds': 0}",,,75,75,1,10,-5,False,Penalty,"Idaho State Penalty, delay of game (Jordan Cooke) to the IDST 20",,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101849907,1,3,UNLV,Mountain West,0,Idaho State,Big Sky,0,UNLV,Idaho State,1,"{'minutes': 15, 'seconds': 0}",,,35,65,1,10,0,False,Kickoff,Caden Costa kickoff for 64 yds,,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101888501,1,13,Idaho State,Big Sky,3,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 11, 'seconds': 14}",,,8,8,4,6,26,True,Field Goal Good,Trajan Sinatra 26 yd FG GOOD,,2025-08-23T20:11:05.000Z
401760371,4017603712,401760371101884101,1,11,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 11, 'seconds': 58}",,,17,17,2,15,9,False,Rush,Dason Brooks run for 9 yds to the UNLV 8,0.306293652073201,2025-08-23T20:09:53.000Z
401760371,4017603712,401760371101854101,1,4,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 14, 'seconds': 58}",,,80,80,1,15,21,False,Pass Reception,Jordan Cooke pass complete to Damien Morgan for 21 yds to the IDST 41 for a 1ST down,2.160160748172542,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101856701,1,5,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 14, 'seconds': 32}",,,59,59,1,10,21,False,Rush,Dason Brooks run for 21 yds to the UNLV 38 for a 1ST down,1.5644197012132393,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101859801,1,6,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 14, 'seconds': 1}",,,38,38,1,10,5,False,Pass Reception,Jordan Cooke pass complete to Julian Mason for 5 yds to the UNLV 33,0.084800241468987,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101866801,1,7,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 13, 'seconds': 31}",,,33,33,2,5,5,False,Rush,Dason Brooks run for 5 yds to the UNLV 28 for a 1ST down,0.24577793297777,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101869901,1,8,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 13, 'seconds': 0}",,,28,28,1,10,0,False,Pass Incompletion,Jordan Cooke pass incomplete to Domonick Ruiz,-0.512081873784803,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101874501,1,9,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 12, 'seconds': 54}",,,28,28,2,10,16,False,Pass Reception,Jordan Cooke pass complete to Jonah Burton for 16 yds to the UNLV 12 for a 1ST down,0.7460018058873085,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101877001,1,10,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 12, 'seconds': 29}",,,12,12,1,10,-5,False,Fumble Recovery (Own),"Jordan Cooke run for a loss of 5 yards to the UNLV 17 Jordan Cooke fumbled, recovered by IDST Jordan Cooke",-0.6322458770134995,2025-08-23T20:09:30.000Z
401760371,4017603712,401760371101887901,1,12,Idaho State,Big Sky,0,UNLV,Mountain West,0,UNLV,Idaho State,1,"{'minutes': 11, 'seconds': 20}",,,8,8,3,6,0,False,Pass Incompletion,Jordan Cooke pass incomplete to Damien Morgan,-0.3369979053197873,2025-08-23T20:09:30.000Z
401760371,40176037116,401760371102928701,11,1,UNLV,Mountain West,14,Idaho State,Big Sky,10,UNLV,Idaho State,2,"{'minutes': 7, 'seconds': 12}",,,35,65,1,10,0,False,Kickoff,Caden Costa kickoff for 65 yds for a touchback,,2025-08-23T21:03:06.000Z
401760371,40176037116,401760371102928702,11,2,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 7, 'seconds': 12}",,,75,75,1,10,0,False,Penalty,"UNLV Penalty, unsportsmanlike conduct (Mason Young) to the IDST 25",,2025-08-23T21:03:06.000Z
401760371,40176037116,401760371102937001,11,6,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 6, 'seconds': 29}",,,78,78,4,13,15,False,Penalty,"UNLV Penalty, unsportsmanlike conduct (Jaheem Joseph) to the IDST 37 for a 1ST down",,2025-08-23T21:06:01.000Z
401760371,40176037116,401760371102945301,11,9,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 5, 'seconds': 46}",,,58,58,3,5,-5,False,Penalty,"Idaho State Penalty, false start (Stryker Rashid) to the IDST 37",,2025-08-23T21:07:50.000Z
401760371,40176037116,401760371102946101,11,11,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 5, 'seconds': 38}",,,63,63,4,10,0,False,Punt,Gabe Russo punt for 47 yds,,2025-08-23T21:09:16.000Z
401760371,40176037116,401760371102929001,11,3,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 7, 'seconds': 9}",,,75,75,1,10,0,False,Pass Incompletion,Jordan Cooke pass incomplete to Michael Shulikov,-0.7029700220436519,2025-08-23T20:41:56.000Z
401760371,40176037116,401760371102929301,11,4,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 7, 'seconds': 6}",,,75,75,2,10,-3,False,Rush,Dason Brooks run for a loss of 3 yards to the IDST 22,-0.4634377557441667,2025-08-23T21:05:04.000Z
401760371,40176037116,401760371102936901,11,5,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 6, 'seconds': 30}",,,78,78,3,13,0,False,Pass Incompletion,"Jordan Cooke pass incomplete to Jonah Burton, broken up by Jaheem Joseph",-0.09376798712265356,2025-08-23T21:05:49.000Z
401760371,40176037116,401760371102937401,11,7,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 6, 'seconds': 25}",,,63,63,1,10,5,False,Rush,Dason Brooks run for 5 yds to the IDST 42,0.1100844824489312,2025-08-23T21:07:05.000Z
401760371,40176037116,401760371102944901,11,8,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 5, 'seconds': 50}",,,58,58,2,5,0,False,Pass Incompletion,Jordan Cooke pass incomplete to Michael Shulikov,-1.113574478166404,2025-08-23T21:07:16.000Z
401760371,40176037116,401760371102945501,11,10,Idaho State,Big Sky,10,UNLV,Mountain West,14,UNLV,Idaho State,2,"{'minutes': 5, 'seconds': 44}",,,63,63,3,10,0,False,Pass Incompletion,Jordan Cooke pass incomplete to Jonah Burton,-0.3431180129488407,2025-08-23T20:41:56.000Z
401760371,40176037117,401760371102965501,12,4,UNLV,Mountain West,14,Idaho State,Big Sky,10,UNLV,Idaho State,2,"{'minutes': 3, 'seconds': 44}",,,9,91,4,17,0,False,Punt,Cameron Brown punt for 41 yds,,2025-08-23T21:11:29.000Z
401760371,40176037117,401760371102946901,12,1,UNLV,Mountain West,14,Idaho State,Big Sky,10,UNLV,Idaho State,2,"{'minutes': 5, 'seconds': 30}",,,16,84,1,10,-8,False,Sack,Anthony Colandrea sacked by Noa Calaycay for a loss of 8 yards to the UNLV 8,-0.7453660081598104,2025-08-23T21:09:51.000Z
401760371,40176037117,401760371102954301,12,2,UNLV,Mountain West,14,Idaho State,Big Sky,10,UNLV,Idaho State,2,"{'minutes': 4, 'seconds': 56}",,,8,92,2,18,10,False,Rush,Anthony Colandrea run for 10 yds to the UNLV 18,0.1463830918217788,2025-08-23T20:41:56.000Z
401760371,40176037117,401760371102957701,12,3,UNLV,Mountain West,14,Idaho State,Big Sky,10,UNLV,Idaho State,2,"{'minutes': 4, 'seconds': 22}",,,18,82,3,8,-9,False,Sack,Anthony Colandrea sacked by Camron Willis for a loss of 9 yards to the UNLV 9,-0.2127064960171312,2025-08-23T21:11:05.000Z
