id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527981,401752798,Missouri State,Conference USA,USC,Big Ten,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,27,27,"{'minutes': 10, 'seconds': 12}","{'minutes': 4, 'seconds': 48}",9,48,FG,False,0,0,3,0
4017527982,401752798,USC,Big Ten,Missouri State,Conference USA,2,True,1,25,75,"{'minutes': 10, 'seconds': 6}",1,100,0,"{'minutes': 6, 'seconds': 58}","{'minutes': 3, 'seconds': 8}",7,75,TD,True,0,3,7,3
4017527983,401752798,Missouri State,Conference USA,USC,Big Ten,3,False,1,75,75,"{'minutes': 6, 'seconds': 58}",1,72,72,"{'minutes': 5, 'seconds': 18}","{'minutes': 1, 'seconds': 40}",3,13,PUNT,False,3,7,3,7
4017527984,401752798,USC,Big Ten,Missouri State,Conference USA,4,True,1,25,75,"{'minutes': 5, 'seconds': 18}",1,100,0,"{'minutes': 0, 'seconds': 28}","{'minutes': 4, 'seconds': 50}",10,75,TD,True,7,3,14,3
4017527985,401752798,Missouri State,Conference USA,USC,Big Ten,5,False,1,75,75,"{'minutes': 0, 'seconds': 28}",2,73,73,"{'minutes': 13, 'seconds': 31}","{'minutes': 1, 'seconds': 57}",3,2,PUNT,False,3,14,3,14
4017527986,401752798,USC,Big Ten,Missouri State,Conference USA,6,True,2,36,64,"{'minutes': 13, 'seconds': 31}",2,100,0,"{'minutes': 13, 'seconds': 21}","{'minutes': 0, 'seconds': 10}",1,64,TD,True,21,3,21,3
4017527987,401752798,Missouri State,Conference USA,USC,Big Ten,7,True,2,75,75,"{'minutes': 13, 'seconds': 21}",2,71,71,"{'minutes': 12, 'seconds': 0}","{'minutes': 1, 'seconds': 21}",3,4,INT TD,False,3,21,3,28
4017527988,401752798,Missouri State,Conference USA,USC,Big Ten,8,True,2,65,65,"{'minutes': 12, 'seconds': 0}",2,0,0,"{'minutes': 7, 'seconds': 58}","{'minutes': 4, 'seconds': 2}",7,65,TD,False,3,28,10,28
4017527989,401752798,USC,Big Ten,Missouri State,Conference USA,9,True,2,24,76,"{'minutes': 7, 'seconds': 52}",2,100,0,"{'minutes': 3, 'seconds': 35}","{'minutes': 4, 'seconds': 17}",8,76,TD,True,28,10,35,10
40175279810,401752798,Missouri State,Conference USA,USC,Big Ten,10,False,2,75,75,"{'minutes': 3, 'seconds': 35}",2,60,60,"{'minutes': 1, 'seconds': 35}","{'minutes': 2, 'seconds': 0}",5,15,PUNT,False,10,35,10,35
40175279811,401752798,USC,Big Ten,Missouri State,Conference USA,11,True,2,3,97,"{'minutes': 1, 'seconds': 35}",2,100,0,"{'minutes': 0, 'seconds': 25}","{'minutes': 1, 'seconds': 10}",5,97,TD,True,35,10,42,10
40175279812,401752798,Missouri State,Conference USA,USC,Big Ten,12,False,2,75,75,"{'minutes': 0, 'seconds': 25}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 25}",1,-1,END OF HALF,False,10,42,10,42
40175279813,401752798,USC,Big Ten,Missouri State,Conference USA,13,True,3,26,74,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 10, 'seconds': 26}","{'minutes': 4, 'seconds': 34}",8,74,TD,True,42,10,49,10
40175279814,401752798,Missouri State,Conference USA,USC,Big Ten,14,False,3,75,75,"{'minutes': 10, 'seconds': 26}",3,60,60,"{'minutes': 8, 'seconds': 3}","{'minutes': 2, 'seconds': 23}",4,15,PUNT,False,10,49,10,49
40175279815,401752798,USC,Big Ten,Missouri State,Conference USA,15,False,3,27,73,"{'minutes': 8, 'seconds': 3}",3,22,78,"{'minutes': 7, 'seconds': 50}","{'minutes': 0, 'seconds': 13}",1,-5,FUMBLE,True,49,10,49,10
40175279816,401752798,Missouri State,Conference USA,USC,Big Ten,16,True,3,22,22,"{'minutes': 7, 'seconds': 50}",3,29,29,"{'minutes': 5, 'seconds': 42}","{'minutes': 2, 'seconds': 8}",4,-7,FG,False,10,49,13,49
40175279817,401752798,USC,Big Ten,Missouri State,Conference USA,17,True,3,25,75,"{'minutes': 5, 'seconds': 42}",3,100,0,"{'minutes': 5, 'seconds': 30}","{'minutes': 0, 'seconds': 12}",1,75,TD,True,49,13,56,13
40175279818,401752798,Missouri State,Conference USA,USC,Big Ten,18,False,3,75,75,"{'minutes': 5, 'seconds': 30}",3,33,33,"{'minutes': 0, 'seconds': 58}","{'minutes': 4, 'seconds': 32}",8,42,INT,False,13,56,13,56
40175279819,401752798,USC,Big Ten,Missouri State,Conference USA,19,True,3,62,38,"{'minutes': 0, 'seconds': 58}",4,100,0,"{'minutes': 13, 'seconds': 30}","{'minutes': 2, 'seconds': 28}",4,38,TD,True,56,13,63,13
40175279820,401752798,Missouri State,Conference USA,USC,Big Ten,20,False,4,84,84,"{'minutes': 13, 'seconds': 24}",4,78,78,"{'minutes': 13, 'seconds': 12}","{'minutes': 0, 'seconds': 12}",1,6,FUMBLE,False,13,63,13,63
40175279821,401752798,USC,Big Ten,Missouri State,Conference USA,21,True,4,78,22,"{'minutes': 13, 'seconds': 12}",4,85,15,"{'minutes': 10, 'seconds': 51}","{'minutes': 2, 'seconds': 21}",5,7,FG,True,63,13,66,13
40175279822,401752798,Missouri State,Conference USA,USC,Big Ten,22,False,4,75,75,"{'minutes': 10, 'seconds': 51}",4,85,85,"{'minutes': 8, 'seconds': 34}","{'minutes': 2, 'seconds': 17}",3,-10,PUNT,False,13,66,13,66
40175279823,401752798,USC,Big Ten,Missouri State,Conference USA,23,True,4,48,52,"{'minutes': 8, 'seconds': 34}",4,100,0,"{'minutes': 4, 'seconds': 46}","{'minutes': 3, 'seconds': 48}",7,52,TD,True,66,13,73,13
