id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526781,401752678,Texas A&M,SEC,UTSA,American Athletic,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,29,71,"{'minutes': 12, 'seconds': 58}","{'minutes': 2, 'seconds': 2}",4,4,PUNT,True,0,0,0,0
4017526782,401752678,UTSA,American Athletic,Texas A&M,SEC,2,False,1,65,65,"{'minutes': 12, 'seconds': 58}",1,59,59,"{'minutes': 12, 'seconds': 8}","{'minutes': 0, 'seconds': 50}",3,6,PUNT,False,0,0,0,0
4017526783,401752678,Texas A&M,SEC,UTSA,American Athletic,3,False,1,20,80,"{'minutes': 12, 'seconds': 8}",1,29,71,"{'minutes': 10, 'seconds': 15}","{'minutes': 1, 'seconds': 53}",3,9,PUNT,True,0,0,0,0
4017526784,401752678,UTSA,American Athletic,Texas A&M,SEC,4,True,1,80,80,"{'minutes': 10, 'seconds': 15}",1,62,62,"{'minutes': 7, 'seconds': 21}","{'minutes': 2, 'seconds': 54}",5,18,PUNT RETURN TD,False,0,0,0,7
4017526785,401752678,UTSA,American Athletic,Texas A&M,SEC,5,True,1,75,75,"{'minutes': 7, 'seconds': 21}",1,19,19,"{'minutes': 1, 'seconds': 53}","{'minutes': 5, 'seconds': 28}",12,56,FG,False,0,7,3,7
4017526786,401752678,Texas A&M,SEC,UTSA,American Athletic,6,True,1,37,63,"{'minutes': 1, 'seconds': 53}",2,100,0,"{'minutes': 13, 'seconds': 13}","{'minutes': 3, 'seconds': 40}",7,63,TD,True,7,3,14,3
4017526787,401752678,UTSA,American Athletic,Texas A&M,SEC,7,True,2,75,75,"{'minutes': 13, 'seconds': 13}",2,0,0,"{'minutes': 8, 'seconds': 33}","{'minutes': 4, 'seconds': 40}",9,75,TD,False,3,14,10,14
4017526788,401752678,Texas A&M,SEC,UTSA,American Athletic,8,True,2,33,67,"{'minutes': 8, 'seconds': 33}",2,100,0,"{'minutes': 5, 'seconds': 38}","{'minutes': 2, 'seconds': 55}",6,67,TD,True,14,10,21,10
4017526789,401752678,UTSA,American Athletic,Texas A&M,SEC,9,False,2,75,75,"{'minutes': 5, 'seconds': 38}",2,26,26,"{'minutes': 0, 'seconds': 52}","{'minutes': 4, 'seconds': 46}",11,49,MISSED FG,False,10,21,10,21
40175267810,401752678,Texas A&M,SEC,UTSA,American Athletic,10,False,2,26,74,"{'minutes': 0, 'seconds': 52}",2,53,47,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 52}",8,27,PUNT,True,21,10,21,10
40175267812,401752678,UTSA,American Athletic,Texas A&M,SEC,11,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 14, 'seconds': 47}","{'minutes': 0, 'seconds': 13}",1,75,TD,False,10,21,17,21
40175267813,401752678,Texas A&M,SEC,UTSA,American Athletic,12,False,3,25,75,"{'minutes': 14, 'seconds': 47}",3,27,73,"{'minutes': 13, 'seconds': 51}","{'minutes': 0, 'seconds': 56}",3,2,PUNT,True,21,17,21,17
40175267814,401752678,UTSA,American Athletic,Texas A&M,SEC,13,False,3,78,78,"{'minutes': 13, 'seconds': 51}",3,62,62,"{'minutes': 11, 'seconds': 41}","{'minutes': 2, 'seconds': 10}",4,16,PUNT,False,17,21,17,21
40175267815,401752678,Texas A&M,SEC,UTSA,American Athletic,14,True,3,15,85,"{'minutes': 11, 'seconds': 41}",3,93,7,"{'minutes': 7, 'seconds': 10}","{'minutes': 4, 'seconds': 31}",9,78,TD,True,21,17,28,17
40175267816,401752678,UTSA,American Athletic,Texas A&M,SEC,15,False,3,75,75,"{'minutes': 7, 'seconds': 10}",3,74,74,"{'minutes': 5, 'seconds': 36}","{'minutes': 1, 'seconds': 34}",3,1,PUNT,False,17,28,17,28
40175267817,401752678,Texas A&M,SEC,UTSA,American Athletic,16,True,3,33,67,"{'minutes': 5, 'seconds': 36}",3,100,0,"{'minutes': 2, 'seconds': 48}","{'minutes': 2, 'seconds': 48}",5,67,TD,True,28,17,35,17
40175267818,401752678,UTSA,American Athletic,Texas A&M,SEC,17,False,3,75,75,"{'minutes': 2, 'seconds': 48}",3,74,74,"{'minutes': 1, 'seconds': 48}","{'minutes': 1, 'seconds': 0}",3,1,PUNT,False,17,35,17,35
40175267819,401752678,Texas A&M,SEC,UTSA,American Athletic,18,False,3,34,66,"{'minutes': 1, 'seconds': 48}",3,37,63,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 48}",3,3,PUNT,True,35,17,35,17
