gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752678,4017526781,401752678101849902,1,1,UTSA,American Athletic,0,Texas A&M,SEC,0,Texas A&M,UTSA,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,0,False,Kickoff,Jaffer Murphy kickoff for 65 yds for a touchback,,2025-08-30T23:11:19.000Z
401752678,4017526781,401752678101856901,1,3,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 14, 'seconds': 30}",3,3,40,60,1,10,-10,False,Penalty,"Texas A&M Penalty, Offensive Holding (Ar'maj Reed-Adams) to the TA&M 30",,2025-08-30T23:13:14.000Z
401752678,4017526781,401752678101874101,1,7,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 12, 'seconds': 58}",3,3,29,71,4,21,0,False,Punt,"Tyler White punt for 36 yds, fair catch by David Amador II at the UTSA 35",,2025-08-30T23:15:38.000Z
401752678,4017526781,401752678101854901,1,2,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 14, 'seconds': 50}",3,3,25,75,1,10,15,False,Pass Reception,Marcel Reed pass complete to KC Concepcion for 15 yds to the TA&M 40 for a 1ST down,1.320854515577646,2025-08-30T23:12:44.000Z
401752678,4017526781,401752678101858401,1,4,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 14, 'seconds': 15}",3,3,30,70,1,20,-2,False,Pass Reception,Marcel Reed pass complete to Le'Veon Moss for a loss of 2 yards to the TA&M 28,-0.4739100921647079,2025-08-30T23:13:34.000Z
401752678,4017526781,401752678101865401,1,5,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 13, 'seconds': 45}",3,3,28,72,2,22,1,False,Pass Reception,Marcel Reed pass complete to Rueben Owens II for 1 yd to the TA&M 29,-0.1112131713743123,2025-08-30T23:14:47.000Z
401752678,4017526781,401752678101869401,1,6,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 13, 'seconds': 5}",3,3,29,71,3,21,0,False,Pass Incompletion,Marcel Reed pass incomplete,-0.06924938832535953,2025-08-30T23:14:53.000Z
401752678,4017526782,401752678101879101,2,4,UTSA,American Athletic,0,Texas A&M,SEC,0,Texas A&M,UTSA,1,"{'minutes': 12, 'seconds': 8}",3,3,59,59,4,4,0,False,Punt,Caile Hogan punt for 59 yds for a touchback,,2025-08-30T23:21:05.000Z
401752678,4017526782,401752678101875101,2,1,UTSA,American Athletic,0,Texas A&M,SEC,0,Texas A&M,UTSA,1,"{'minutes': 12, 'seconds': 48}",3,3,65,65,1,10,6,False,Pass Reception,Owen McCown pass complete to Devin McCuin for 6 yds to the UTSA 41,0.3983464844048346,2025-08-30T23:19:42.000Z
401752678,4017526782,401752678101876901,2,2,UTSA,American Athletic,0,Texas A&M,SEC,0,Texas A&M,UTSA,1,"{'minutes': 12, 'seconds': 30}",3,3,59,59,2,4,0,False,Pass Incompletion,Owen McCown pass incomplete,-1.1629301570993986,2025-08-30T23:19:53.000Z
401752678,4017526782,401752678101878301,2,3,UTSA,American Athletic,0,Texas A&M,SEC,0,Texas A&M,UTSA,1,"{'minutes': 12, 'seconds': 16}",3,3,59,59,3,4,0,False,Pass Incompletion,Owen McCown pass incomplete,-0.7186703560809607,2025-08-30T23:20:06.000Z
401752678,4017526783,401752678101898401,3,4,Texas A&M,SEC,0,UTSA,American Athletic,0,Texas A&M,UTSA,1,"{'minutes': 10, 'seconds': 15}",3,3,29,71,4,1,0,False,Punt,"Tyler White punt for 51 yds, fair catch by David Amador II at the UTSA 20",,2025-08-30T23:26:52.000Z
