id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526941,401752694,Texas A&M,SEC,Utah State,Mountain West,1,False,1,10,90,"{'minutes': 15, 'seconds': 0}",1,42,58,"{'minutes': 13, 'seconds': 9}","{'minutes': 1, 'seconds': 51}",5,32,PUNT,True,0,0,0,0
4017526942,401752694,Utah State,Mountain West,Texas A&M,SEC,2,False,1,80,80,"{'minutes': 13, 'seconds': 9}",1,78,78,"{'minutes': 12, 'seconds': 5}","{'minutes': 1, 'seconds': 4}",3,2,PUNT,False,0,0,0,0
4017526943,401752694,Texas A&M,SEC,Utah State,Mountain West,3,True,1,45,55,"{'minutes': 12, 'seconds': 5}",1,100,0,"{'minutes': 10, 'seconds': 51}","{'minutes': 1, 'seconds': 14}",3,55,TD,True,0,0,7,0
4017526944,401752694,Utah State,Mountain West,Texas A&M,SEC,4,True,1,75,75,"{'minutes': 10, 'seconds': 51}",1,0,0,"{'minutes': 7, 'seconds': 2}","{'minutes': 3, 'seconds': 49}",9,75,TD,False,0,7,6,7
4017526945,401752694,Texas A&M,SEC,Utah State,Mountain West,5,True,1,25,75,"{'minutes': 7, 'seconds': 2}",1,80,20,"{'minutes': 2, 'seconds': 55}","{'minutes': 4, 'seconds': 7}",8,55,FG,True,7,6,10,6
4017526946,401752694,Utah State,Mountain West,Texas A&M,SEC,6,False,1,75,75,"{'minutes': 2, 'seconds': 55}",1,61,61,"{'minutes': 0, 'seconds': 56}","{'minutes': 1, 'seconds': 59}",5,14,PUNT,False,6,10,6,10
4017526947,401752694,Texas A&M,SEC,Utah State,Mountain West,7,True,1,37,63,"{'minutes': 0, 'seconds': 56}",2,100,0,"{'minutes': 12, 'seconds': 1}","{'minutes': 3, 'seconds': 55}",10,63,TD,True,10,6,17,6
4017526948,401752694,Utah State,Mountain West,Texas A&M,SEC,8,False,2,75,75,"{'minutes': 12, 'seconds': 1}",2,96,96,"{'minutes': 9, 'seconds': 46}","{'minutes': 2, 'seconds': 15}",3,-21,PUNT,False,6,17,6,17
4017526949,401752694,Texas A&M,SEC,Utah State,Mountain West,9,False,2,64,36,"{'minutes': 9, 'seconds': 46}",2,73,27,"{'minutes': 8, 'seconds': 21}","{'minutes': 1, 'seconds': 25}",4,8,DOWNS,True,17,6,17,6
40175269410,401752694,Utah State,Mountain West,Texas A&M,SEC,10,False,2,72,72,"{'minutes': 8, 'seconds': 21}",2,86,86,"{'minutes': 6, 'seconds': 37}","{'minutes': 1, 'seconds': 44}",3,-14,PUNT,False,6,17,6,17
40175269411,401752694,Texas A&M,SEC,Utah State,Mountain West,11,True,2,37,63,"{'minutes': 6, 'seconds': 37}",2,100,0,"{'minutes': 3, 'seconds': 18}","{'minutes': 3, 'seconds': 19}",6,63,TD,True,17,6,24,6
40175269412,401752694,Utah State,Mountain West,Texas A&M,SEC,12,False,2,75,75,"{'minutes': 3, 'seconds': 18}",2,63,63,"{'minutes': 1, 'seconds': 41}","{'minutes': 1, 'seconds': 37}",5,12,PUNT,False,6,24,6,24
40175269413,401752694,Texas A&M,SEC,Utah State,Mountain West,13,True,2,23,77,"{'minutes': 1, 'seconds': 41}",2,100,0,"{'minutes': 0, 'seconds': 16}","{'minutes': 1, 'seconds': 25}",8,77,TD,True,24,6,30,6
40175269414,401752694,Utah State,Mountain West,Texas A&M,SEC,14,False,2,75,75,"{'minutes': 0, 'seconds': 16}",2,72,72,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 16}",1,3,END OF HALF,False,6,30,6,30
40175269415,401752694,Utah State,Mountain West,Texas A&M,SEC,15,True,3,75,75,"{'minutes': 15, 'seconds': 0}",3,0,0,"{'minutes': 12, 'seconds': 45}","{'minutes': 2, 'seconds': 15}",7,75,TD,False,6,30,14,30
40175269416,401752694,Texas A&M,SEC,Utah State,Mountain West,16,False,3,50,50,"{'minutes': 12, 'seconds': 45}",3,56,44,"{'minutes': 11, 'seconds': 31}","{'minutes': 1, 'seconds': 14}",4,6,DOWNS,True,30,14,30,14
