id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526791,401752679,Vanderbilt,SEC,Charleston Southern,Big South-OVC,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 10, 'seconds': 13}","{'minutes': 4, 'seconds': 47}",8,75,TD,True,0,0,7,0
4017526792,401752679,Charleston Southern,Big South-OVC,Vanderbilt,SEC,2,False,1,75,75,"{'minutes': 10, 'seconds': 13}",1,78,78,"{'minutes': 8, 'seconds': 31}","{'minutes': 1, 'seconds': 42}",3,-3,PUNT,False,0,7,0,7
4017526793,401752679,Vanderbilt,SEC,Charleston Southern,Big South-OVC,3,True,1,47,53,"{'minutes': 8, 'seconds': 31}",1,100,0,"{'minutes': 6, 'seconds': 59}","{'minutes': 1, 'seconds': 32}",4,53,TD,True,7,0,14,0
4017526794,401752679,Charleston Southern,Big South-OVC,Vanderbilt,SEC,4,False,1,75,75,"{'minutes': 6, 'seconds': 59}",1,37,37,"{'minutes': 3, 'seconds': 4}","{'minutes': 3, 'seconds': 55}",7,38,INT,False,0,14,0,14
4017526795,401752679,Vanderbilt,SEC,Charleston Southern,Big South-OVC,5,True,1,11,89,"{'minutes': 3, 'seconds': 4}",2,100,0,"{'minutes': 10, 'seconds': 19}","{'minutes': 7, 'seconds': 45}",14,89,TD,True,14,0,21,0
4017526796,401752679,Charleston Southern,Big South-OVC,Vanderbilt,SEC,6,False,2,85,85,"{'minutes': 10, 'seconds': 11}",2,81,81,"{'minutes': 9, 'seconds': 14}","{'minutes': 0, 'seconds': 57}",3,4,PUNT,False,0,21,0,21
4017526797,401752679,Vanderbilt,SEC,Charleston Southern,Big South-OVC,7,False,2,33,67,"{'minutes': 9, 'seconds': 14}",2,54,46,"{'minutes': 6, 'seconds': 2}","{'minutes': 3, 'seconds': 12}",4,21,PUNT,True,21,0,21,0
4017526798,401752679,Charleston Southern,Big South-OVC,Vanderbilt,SEC,8,False,2,80,80,"{'minutes': 6, 'seconds': 2}",2,86,86,"{'minutes': 5, 'seconds': 2}","{'minutes': 1, 'seconds': 0}",3,-6,PUNT,False,0,21,0,21
4017526799,401752679,Vanderbilt,SEC,Charleston Southern,Big South-OVC,9,True,2,36,64,"{'minutes': 5, 'seconds': 2}",2,100,0,"{'minutes': 3, 'seconds': 11}","{'minutes': 1, 'seconds': 51}",5,64,TD,True,21,0,28,0
40175267910,401752679,Charleston Southern,Big South-OVC,Vanderbilt,SEC,10,False,2,65,65,"{'minutes': 3, 'seconds': 11}",2,56,56,"{'minutes': 0, 'seconds': 59}","{'minutes': 2, 'seconds': 12}",3,9,PUNT,False,0,28,0,28
