id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529511,401752951,Virginia,ACC,Washington State,Pac-12,1,False,1,31,69,"{'minutes': 15, 'seconds': 0}",1,32,68,"{'minutes': 13, 'seconds': 49}","{'minutes': 1, 'seconds': 11}",3,1,PUNT,True,0,0,0,0
4017529512,401752951,Washington State,Pac-12,Virginia,ACC,2,True,1,78,78,"{'minutes': 13, 'seconds': 49}",1,0,0,"{'minutes': 9, 'seconds': 47}","{'minutes': 4, 'seconds': 2}",7,78,TD,False,0,0,7,0
4017529513,401752951,Virginia,ACC,Washington State,Pac-12,3,False,1,25,75,"{'minutes': 9, 'seconds': 47}",1,27,73,"{'minutes': 8, 'seconds': 52}","{'minutes': 0, 'seconds': 55}",3,2,PUNT,True,0,7,0,7
4017529514,401752951,Washington State,Pac-12,Virginia,ACC,4,False,1,85,85,"{'minutes': 8, 'seconds': 52}",1,85,85,"{'minutes': 6, 'seconds': 50}","{'minutes': 2, 'seconds': 2}",3,0,PUNT,False,7,0,7,0
4017529515,401752951,Virginia,ACC,Washington State,Pac-12,5,True,1,41,59,"{'minutes': 6, 'seconds': 50}",1,100,0,"{'minutes': 4, 'seconds': 48}","{'minutes': 2, 'seconds': 2}",5,59,TD,True,0,7,7,7
4017529516,401752951,Washington State,Pac-12,Virginia,ACC,6,False,1,75,75,"{'minutes': 4, 'seconds': 48}",1,75,75,"{'minutes': 4, 'seconds': 37}","{'minutes': 0, 'seconds': 11}",1,0,INT,False,7,7,7,7
4017529517,401752951,Virginia,ACC,Washington State,Pac-12,7,False,1,60,40,"{'minutes': 4, 'seconds': 37}",1,68,32,"{'minutes': 3, 'seconds': 23}","{'minutes': 1, 'seconds': 14}",4,8,DOWNS,True,7,7,7,7
4017529518,401752951,Washington State,Pac-12,Virginia,ACC,8,False,1,68,68,"{'minutes': 3, 'seconds': 23}",2,38,38,"{'minutes': 14, 'seconds': 7}","{'minutes': 4, 'seconds': 16}",7,30,PUNT,False,7,7,7,7
4017529519,401752951,Virginia,ACC,Washington State,Pac-12,9,False,2,7,93,"{'minutes': 14, 'seconds': 7}",2,23,77,"{'minutes': 11, 'seconds': 36}","{'minutes': 2, 'seconds': 31}",4,16,PUNT,True,7,7,7,7
40175295110,401752951,Washington State,Pac-12,Virginia,ACC,10,True,2,64,64,"{'minutes': 11, 'seconds': 36}",2,0,0,"{'minutes': 6, 'seconds': 35}","{'minutes': 5, 'seconds': 1}",8,64,TD,False,7,7,14,7
40175295111,401752951,Virginia,ACC,Washington State,Pac-12,11,False,2,25,75,"{'minutes': 6, 'seconds': 35}",2,30,70,"{'minutes': 4, 'seconds': 56}","{'minutes': 1, 'seconds': 39}",3,5,PUNT,True,7,14,7,14
40175295112,401752951,Washington State,Pac-12,Virginia,ACC,12,True,2,82,82,"{'minutes': 4, 'seconds': 56}",2,20,20,"{'minutes': 0, 'seconds': 35}","{'minutes': 4, 'seconds': 21}",11,62,FG,False,14,7,17,7
40175295113,401752951,Virginia,ACC,Washington State,Pac-12,13,False,2,25,75,"{'minutes': 0, 'seconds': 35}",2,33,67,"{'minutes': 0, 'seconds': 11}","{'minutes': 0, 'seconds': 24}",3,8,PUNT,True,7,17,7,17
40175295114,401752951,Washington State,Pac-12,Virginia,ACC,14,False,2,84,84,"{'minutes': 0, 'seconds': 11}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 11}",1,8,END OF HALF,False,17,7,17,7
40175295115,401752951,Washington State,Pac-12,Virginia,ACC,15,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,70,70,"{'minutes': 12, 'seconds': 54}","{'minutes': 2, 'seconds': 6}",3,5,PUNT,False,17,7,17,7
40175295116,401752951,Virginia,ACC,Washington State,Pac-12,16,True,3,25,75,"{'minutes': 12, 'seconds': 54}",3,71,29,"{'minutes': 8, 'seconds': 38}","{'minutes': 4, 'seconds': 16}",9,46,FG,True,7,17,10,17
40175295117,401752951,Washington State,Pac-12,Virginia,ACC,17,True,3,75,75,"{'minutes': 8, 'seconds': 38}",3,25,25,"{'minutes': 2, 'seconds': 18}","{'minutes': 6, 'seconds': 20}",12,50,FG,False,17,10,20,10
40175295118,401752951,Virginia,ACC,Washington State,Pac-12,18,False,3,25,75,"{'minutes': 2, 'seconds': 18}",3,30,70,"{'minutes': 1, 'seconds': 20}","{'minutes': 0, 'seconds': 58}",3,5,PUNT,True,10,20,10,20
40175295119,401752951,Washington State,Pac-12,Virginia,ACC,19,False,3,76,76,"{'minutes': 1, 'seconds': 20}",4,48,48,"{'minutes': 13, 'seconds': 26}","{'minutes': 2, 'seconds': 54}",5,28,PUNT,False,20,10,20,10
40175295120,401752951,Virginia,ACC,Washington State,Pac-12,20,True,4,3,97,"{'minutes': 13, 'seconds': 26}",4,100,0,"{'minutes': 9, 'seconds': 45}","{'minutes': 3, 'seconds': 41}",9,97,TD,True,10,20,17,20
40175295121,401752951,Washington State,Pac-12,Virginia,ACC,21,False,4,75,75,"{'minutes': 9, 'seconds': 45}",4,85,85,"{'minutes': 7, 'seconds': 9}","{'minutes': 2, 'seconds': 36}",3,-10,INT,False,20,17,20,17
40175295122,401752951,Virginia,ACC,Washington State,Pac-12,22,True,4,65,35,"{'minutes': 7, 'seconds': 9}",4,83,17,"{'minutes': 2, 'seconds': 55}","{'minutes': 4, 'seconds': 14}",7,18,FG,True,17,20,20,20
40175295123,401752951,Washington State,Pac-12,Virginia,ACC,23,True,4,98,98,"{'minutes': 2, 'seconds': 55}",4,100,100,"{'minutes': 2, 'seconds': 41}","{'minutes': 0, 'seconds': 14}",3,-2,SF,False,20,20,20,22
40175295124,401752951,Virginia,ACC,Washington State,Pac-12,24,False,4,30,70,"{'minutes': 2, 'seconds': 35}",4,41,59,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 35}",6,11,END OF GAME,True,22,20,22,20
4017545241,401754524,Virginia,ACC,NC State,ACC,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,0,0,"{'minutes': 10, 'seconds': 37}","{'minutes': 4, 'seconds': 23}",10,75,TD,False,0,0,7,0
4017545242,401754524,NC State,ACC,Virginia,ACC,2,True,1,25,75,"{'minutes': 10, 'seconds': 37}",1,100,0,"{'minutes': 8, 'seconds': 26}","{'minutes': 2, 'seconds': 11}",5,75,TD,True,0,7,7,7
4017545243,401754524,Virginia,ACC,NC State,ACC,3,True,1,75,75,"{'minutes': 8, 'seconds': 26}",1,0,0,"{'minutes': 3, 'seconds': 41}","{'minutes': 4, 'seconds': 45}",12,75,TD,False,7,7,14,7
4017545244,401754524,NC State,ACC,Virginia,ACC,4,True,1,25,75,"{'minutes': 3, 'seconds': 41}",2,100,0,"{'minutes': 14, 'seconds': 23}","{'minutes': 4, 'seconds': 18}",9,75,TD,True,7,14,14,14
4017545245,401754524,Virginia,ACC,NC State,ACC,5,False,2,75,75,"{'minutes': 14, 'seconds': 23}",2,58,58,"{'minutes': 12, 'seconds': 26}","{'minutes': 1, 'seconds': 57}",6,17,PUNT,False,14,14,14,14
