gameId,driveId,id,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,defenseConference,defenseScore,home,away,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401752947,4017529474,401752947101949503,4,1,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 5, 'seconds': 4}",3,3,3,97,1,10,-1,False,Penalty,"PENALTY WSU False Start (Leckner,Trey) 1 yard from WSU03 to WSU02. NO PLAY.",,2025-08-31T02:34:25.000Z
401752947,4017529474,401752947101954001,4,2,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 4, 'seconds': 59}",3,3,2,98,1,11,5,False,Penalty,"(05:02) Shotgun Potter,Jaxon pass incomplete deep left to Meredith,Joshua thrown to WSU30 PENALTY IDA Offside (Jaskowiak,Mitchel) 5 yards from WSU02 to WSU07. NO PLAY.",,2025-08-31T02:50:55.000Z
401752947,4017529474,401752947101975301,4,6,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 2, 'seconds': 46}",3,3,10,90,4,3,0,False,Punt,"Ryan Harris punt for 40 yds, fair catch by Elisha Cummings at the 50 yard line",,2025-08-31T02:44:15.000Z
401752947,4017529474,401752947101954801,4,3,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 4, 'seconds': 51}",3,3,7,93,1,6,5,False,Rush,Angel Johnson run for 5 yds to the WSU 12,0.1421901866595769,2025-08-31T02:50:55.000Z
401752947,4017529474,401752947101959001,4,4,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 4, 'seconds': 9}",3,3,12,88,2,1,-2,False,Rush,Angel Johnson run for a loss of 2 yards to the WSU 10,-0.8040383322004958,2025-08-31T02:50:55.000Z
401752947,4017529474,401752947101968001,4,5,Washington State,Pac-12,0,Idaho,Big Sky,0,Washington State,Idaho,1,"{'minutes': 3, 'seconds': 19}",3,3,10,90,3,3,0,False,Rush,Jaxon Potter run for no gain to the WSU 10,-0.18732717906871255,2025-08-31T02:50:55.000Z
401752947,4017529475,401752947101988201,5,3,Idaho,Big Sky,0,Washington State,Pac-12,0,Washington State,Idaho,1,"{'minutes': 1, 'seconds': 17}",2,3,31,31,1,10,0,False,Timeout,"Timeout Idaho, clock 01:17",,2025-08-31T02:50:55.000Z
401752947,4017529475,401752947101998301,5,7,Idaho,Big Sky,0,Washington State,Pac-12,0,Washington State,Idaho,1,"{'minutes': 0, 'seconds': 16}",2,3,27,27,4,6,44,False,Field Goal Missed,Cameron Pope 44 yd FG MISSED,,2025-08-31T02:50:55.000Z
401752947,4017529475,401752947101975801,5,1,Idaho,Big Sky,0,Washington State,Pac-12,0,Washington State,Idaho,1,"{'minutes': 2, 'seconds': 41}",3,3,50,50,1,10,7,False,Rush,Art Williams run for 7 yds to the WSU 43,0.590106702773282,2025-08-31T02:50:55.000Z
401752947,4017529475,401752947101984001,5,2,Idaho,Big Sky,0,Washington State,Pac-12,0,Washington State,Idaho,1,"{'minutes': 1, 'seconds': 59}",3,3,43,43,2,3,12,False,Rush,Joshua Wood run for 12 yds to the WSU 31 for a 1ST down,0.409359059275143,2025-08-31T02:50:55.000Z
