id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527772,401752777,Western Kentucky,Conference USA,LSU,SEC,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,18,18,"{'minutes': 11, 'seconds': 43}","{'minutes': 3, 'seconds': 17}",9,57,FG,False,0,0,3,0
4017527774,401752777,LSU,SEC,Western Kentucky,Conference USA,2,False,1,34,66,"{'minutes': 11, 'seconds': 36}",1,40,60,"{'minutes': 10, 'seconds': 47}","{'minutes': 0, 'seconds': 49}",3,6,PUNT,True,0,3,0,3
4017527775,401752777,Western Kentucky,Conference USA,LSU,SEC,3,False,1,88,88,"{'minutes': 10, 'seconds': 45}",1,68,68,"{'minutes': 8, 'seconds': 19}","{'minutes': 2, 'seconds': 28}",5,20,PUNT,False,3,0,3,0
4017527776,401752777,LSU,SEC,Western Kentucky,Conference USA,4,False,1,31,69,"{'minutes': 8, 'seconds': 14}",1,48,52,"{'minutes': 5, 'seconds': 2}","{'minutes': 3, 'seconds': 17}",5,17,PUNT,True,0,3,0,3
4017527777,401752777,Western Kentucky,Conference USA,LSU,SEC,5,False,1,80,80,"{'minutes': 4, 'seconds': 55}",1,62,62,"{'minutes': 3, 'seconds': 5}","{'minutes': 1, 'seconds': 57}",5,18,PUNT,False,3,0,3,0
4017527778,401752777,LSU,SEC,Western Kentucky,Conference USA,6,False,1,21,79,"{'minutes': 2, 'seconds': 57}",2,50,50,"{'minutes': 14, 'seconds': 47}","{'minutes': 3, 'seconds': 18}",8,34,INT,True,0,3,0,3
4017527779,401752777,Western Kentucky,Conference USA,LSU,SEC,7,False,2,50,50,"{'minutes': 14, 'seconds': 37}",2,4,4,"{'minutes': 10, 'seconds': 5}","{'minutes': 4, 'seconds': 42}",13,46,DOWNS,False,3,0,3,0
40175277710,401752777,LSU,SEC,Western Kentucky,Conference USA,8,False,2,4,96,"{'minutes': 9, 'seconds': 51}",2,58,42,"{'minutes': 5, 'seconds': 45}","{'minutes': 4, 'seconds': 20}",8,54,DOWNS,True,0,3,0,3
40175277711,401752777,Western Kentucky,Conference USA,LSU,SEC,9,False,2,58,58,"{'minutes': 5, 'seconds': 36}",2,38,38,"{'minutes': 3, 'seconds': 9}","{'minutes': 2, 'seconds': 30}",7,20,DOWNS,False,3,0,3,0
40175277712,401752777,LSU,SEC,Western Kentucky,Conference USA,10,True,2,38,62,"{'minutes': 3, 'seconds': 10}",2,97,3,"{'minutes': 1, 'seconds': 32}","{'minutes': 1, 'seconds': 43}",8,62,TD,True,0,3,7,3
40175277716,401752777,Western Kentucky,Conference USA,LSU,SEC,11,False,2,92,92,"{'minutes': 0, 'seconds': 36}",2,92,92,"{'minutes': 0, 'seconds': 36}","{'minutes': 0, 'seconds': 38}",1,-1,END OF HALF,False,3,7,3,7
40175277714,401752777,Western Kentucky,Conference USA,LSU,SEC,12,False,2,75,75,"{'minutes': 1, 'seconds': 32}",2,73,73,"{'minutes': 0, 'seconds': 58}","{'minutes': 0, 'seconds': 34}",3,2,PUNT,False,3,7,3,7
40175277715,401752777,LSU,SEC,Western Kentucky,Conference USA,13,False,2,55,45,"{'minutes': 0, 'seconds': 54}",2,55,45,"{'minutes': 0, 'seconds': 38}","{'minutes': 0, 'seconds': 20}",3,0,PUNT,True,7,3,7,3
40175277718,401752777,LSU,SEC,Western Kentucky,Conference USA,14,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,44,56,"{'minutes': 12, 'seconds': 19}","{'minutes': 2, 'seconds': 41}",5,19,PUNT,True,7,3,7,3
40175277719,401752777,Western Kentucky,Conference USA,LSU,SEC,15,False,3,89,89,"{'minutes': 12, 'seconds': 12}",3,98,98,"{'minutes': 10, 'seconds': 54}","{'minutes': 1, 'seconds': 25}",3,-9,PUNT,False,3,7,3,7
40175277720,401752777,LSU,SEC,Western Kentucky,Conference USA,16,False,3,46,54,"{'minutes': 10, 'seconds': 44}",3,36,64,"{'minutes': 9, 'seconds': 3}","{'minutes': 1, 'seconds': 51}",3,-10,PUNT,True,7,3,7,3
40175277721,401752777,Western Kentucky,Conference USA,LSU,SEC,17,False,3,85,85,"{'minutes': 8, 'seconds': 59}",3,78,78,"{'minutes': 8, 'seconds': 25}","{'minutes': 0, 'seconds': 38}",2,0,INT,False,3,7,3,7
40175277722,401752777,LSU,SEC,Western Kentucky,Conference USA,18,True,3,78,22,"{'minutes': 8, 'seconds': 13}",3,99,1,"{'minutes': 5, 'seconds': 55}","{'minutes': 2, 'seconds': 30}",6,21,FG,True,7,3,10,3
40175277724,401752777,Western Kentucky,Conference USA,LSU,SEC,19,False,3,75,75,"{'minutes': 5, 'seconds': 55}",3,45,45,"{'minutes': 4, 'seconds': 43}","{'minutes': 1, 'seconds': 12}",4,28,INT,False,3,10,3,10
40175277725,401752777,LSU,SEC,Western Kentucky,Conference USA,20,False,3,45,55,"{'minutes': 4, 'seconds': 34}",3,60,40,"{'minutes': 2, 'seconds': 11}","{'minutes': 2, 'seconds': 32}",5,15,PUNT,True,10,3,10,3
40175277726,401752777,Western Kentucky,Conference USA,LSU,SEC,21,False,3,97,97,"{'minutes': 2, 'seconds': 5}",3,97,97,"{'minutes': 1, 'seconds': 10}","{'minutes': 1, 'seconds': 1}",3,0,PUNT,False,3,10,3,10
40175277727,401752777,LSU,SEC,Western Kentucky,Conference USA,22,True,3,48,52,"{'minutes': 0, 'seconds': 55}",4,88,12,"{'minutes': 11, 'seconds': 15}","{'minutes': 4, 'seconds': 55}",10,40,FG,True,10,3,13,3
40175277729,401752777,Western Kentucky,Conference USA,LSU,SEC,23,False,4,75,75,"{'minutes': 11, 'seconds': 15}",4,80,80,"{'minutes': 9, 'seconds': 53}","{'minutes': 1, 'seconds': 22}",3,-5,PUNT,False,3,13,3,13
40175277730,401752777,LSU,SEC,Western Kentucky,Conference USA,24,False,4,25,75,"{'minutes': 9, 'seconds': 48}",4,29,71,"{'minutes': 8, 'seconds': 28}","{'minutes': 1, 'seconds': 25}",3,4,PUNT,True,13,3,13,3
40175277731,401752777,Western Kentucky,Conference USA,LSU,SEC,25,False,4,73,73,"{'minutes': 8, 'seconds': 20}",4,75,75,"{'minutes': 6, 'seconds': 52}","{'minutes': 1, 'seconds': 36}",3,-2,PUNT,False,3,13,3,13
40175277732,401752777,LSU,SEC,Western Kentucky,Conference USA,26,False,4,24,76,"{'minutes': 6, 'seconds': 44}",4,78,22,"{'minutes': 3, 'seconds': 16}","{'minutes': 3, 'seconds': 36}",9,54,DOWNS,True,13,3,13,3
