id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528022,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,1,False,1,83,83,"{'minutes': 0, 'seconds': 0}",2,26,26,"{'minutes': 11, 'seconds': 12}","{'minutes': 3, 'seconds': 43}",7,57,DOWNS,False,0,0,0,0
4017528026,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,2,True,1,25,75,"{'minutes': 1, 'seconds': 42}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 59}",12,75,TD,True,7,0,14,0
4017528023,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,3,True,1,26,74,"{'minutes': 0, 'seconds': 0}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 42}",10,74,TD,True,0,0,7,0
4017528025,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,4,False,1,78,78,"{'minutes': 0, 'seconds': 0}",2,68,68,"{'minutes': 1, 'seconds': 42}","{'minutes': 3, 'seconds': 43}",6,10,PUNT,False,0,7,0,7
4017528028,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,5,False,2,75,75,"{'minutes': 0, 'seconds': 0}",3,80,80,"{'minutes': 10, 'seconds': 5}","{'minutes': 0, 'seconds': 38}",3,-5,PUNT,False,0,14,0,14
4017528029,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,6,False,2,19,81,"{'minutes': 10, 'seconds': 5}",2,47,53,"{'minutes': 5, 'seconds': 46}","{'minutes': 4, 'seconds': 19}",6,28,PUNT,True,14,0,14,0
40175280210,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,7,False,2,98,98,"{'minutes': 5, 'seconds': 46}",2,89,89,"{'minutes': 4, 'seconds': 15}","{'minutes': 1, 'seconds': 31}",3,9,PUNT,False,0,14,0,14
40175280211,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,8,True,2,46,54,"{'minutes': 0, 'seconds': 0}",3,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 25}",6,54,TD,True,14,0,21,0
40175280213,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,9,False,2,75,75,"{'minutes': 0, 'seconds': 0}",3,69,69,"{'minutes': 0, 'seconds': 50}","{'minutes': 1, 'seconds': 0}",3,6,PUNT,False,0,21,0,21
40175280214,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,10,False,2,42,58,"{'minutes': 0, 'seconds': 0}",3,32,68,"{'minutes': 0, 'seconds': 20}","{'minutes': 0, 'seconds': 30}",3,-10,PUNT,True,21,0,21,0
40175280215,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,11,False,2,88,88,"{'minutes': 0, 'seconds': 0}",3,81,81,"{'minutes': 0, 'seconds': 10}","{'minutes': 0, 'seconds': 10}",2,7,INT,False,0,21,0,21
40175280216,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,12,False,2,72,28,"{'minutes': 0, 'seconds': 10}",2,72,28,"{'minutes': 0, 'seconds': 3}","{'minutes': 0, 'seconds': 10}",2,0,MISSED FG,True,21,0,21,0
40175280218,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,13,False,3,25,75,"{'minutes': 0, 'seconds': 0}",4,24,76,"{'minutes': 14, 'seconds': 5}","{'minutes': 0, 'seconds': 55}",3,-1,PUNT,True,21,0,21,0
40175280225,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,14,False,3,28,72,"{'minutes': 2, 'seconds': 36}",4,41,59,"{'minutes': 14, 'seconds': 14}","{'minutes': 3, 'seconds': 22}",5,13,PUNT,True,23,0,25,0
40175280219,401752802,Western Michigan,Mid-American,Michigan State,Big Ten,15,False,3,71,71,"{'minutes': 14, 'seconds': 5}",3,31,31,"{'minutes': 11, 'seconds': 34}","{'minutes': 2, 'seconds': 31}",6,51,DOWNS,False,0,21,0,21
40175280220,401752802,Michigan State,Big Ten,Western Michigan,Mid-American,16,False,3,20,80,"{'minutes': 11, 'seconds': 42}",3,58,42,"{'minutes': 8, 'seconds': 6}","{'minutes': 3, 'seconds': 28}",5,38,PUNT,True,21,0,21,0
