id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017526961,401752696,Wisconsin,Big Ten,Alabama,SEC,1,False,1,75,75,"{'minutes': 15, 'seconds': 0}",1,79,79,"{'minutes': 11, 'seconds': 21}","{'minutes': 3, 'seconds': 39}",5,-4,PUNT,False,0,0,0,0
4017526962,401752696,Alabama,SEC,Wisconsin,Big Ten,2,False,1,38,62,"{'minutes': 11, 'seconds': 21}",1,46,54,"{'minutes': 9, 'seconds': 1}","{'minutes': 2, 'seconds': 20}",4,8,DOWNS,True,0,0,0,0
4017526963,401752696,Wisconsin,Big Ten,Alabama,SEC,3,False,1,46,46,"{'minutes': 9, 'seconds': 1}",1,46,46,"{'minutes': 8, 'seconds': 53}","{'minutes': 0, 'seconds': 8}",1,0,INT,False,0,0,0,0
4017526964,401752696,Alabama,SEC,Wisconsin,Big Ten,4,True,1,39,61,"{'minutes': 8, 'seconds': 53}",1,100,0,"{'minutes': 2, 'seconds': 24}","{'minutes': 6, 'seconds': 29}",11,61,TD,True,0,0,7,0
4017526965,401752696,Wisconsin,Big Ten,Alabama,SEC,5,False,1,75,75,"{'minutes': 2, 'seconds': 24}",2,73,73,"{'minutes': 13, 'seconds': 51}","{'minutes': 3, 'seconds': 33}",6,2,PUNT,False,0,7,0,7
4017526966,401752696,Alabama,SEC,Wisconsin,Big Ten,6,True,2,35,65,"{'minutes': 13, 'seconds': 51}",2,100,0,"{'minutes': 12, 'seconds': 5}","{'minutes': 1, 'seconds': 46}",4,65,TD,True,7,0,14,0
4017526967,401752696,Wisconsin,Big Ten,Alabama,SEC,7,False,2,75,75,"{'minutes': 12, 'seconds': 5}",2,43,43,"{'minutes': 5, 'seconds': 43}","{'minutes': 6, 'seconds': 22}",8,32,PUNT,False,0,14,0,14
4017526968,401752696,Alabama,SEC,Wisconsin,Big Ten,8,True,2,2,98,"{'minutes': 5, 'seconds': 43}",2,100,0,"{'minutes': 0, 'seconds': 45}","{'minutes': 4, 'seconds': 58}",8,98,TD,True,14,0,21,0
4017526969,401752696,Wisconsin,Big Ten,Alabama,SEC,9,False,2,75,75,"{'minutes': 0, 'seconds': 45}",2,71,71,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 45}",1,4,END OF HALF,False,0,21,0,21
40175269610,401752696,Alabama,SEC,Wisconsin,Big Ten,10,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,97,3,"{'minutes': 14, 'seconds': 45}","{'minutes': 0, 'seconds': 15}",1,75,TD,True,21,0,28,0
40175269611,401752696,Wisconsin,Big Ten,Alabama,SEC,11,True,3,0,0,"{'minutes': 14, 'seconds': 45}",3,0,0,"{'minutes': 14, 'seconds': 32}","{'minutes': 0, 'seconds': 13}",0,0,TD,False,7,28,7,28
40175269612,401752696,Alabama,SEC,Wisconsin,Big Ten,12,True,3,13,87,"{'minutes': 14, 'seconds': 32}",3,100,0,"{'minutes': 11, 'seconds': 2}","{'minutes': 3, 'seconds': 30}",7,87,TD,True,28,7,35,7
40175269613,401752696,Wisconsin,Big Ten,Alabama,SEC,13,False,3,75,75,"{'minutes': 11, 'seconds': 2}",3,21,21,"{'minutes': 4, 'seconds': 56}","{'minutes': 6, 'seconds': 6}",10,54,INT,False,7,35,7,35
40175269614,401752696,Alabama,SEC,Wisconsin,Big Ten,14,True,3,13,87,"{'minutes': 4, 'seconds': 56}",4,86,14,"{'minutes': 13, 'seconds': 56}","{'minutes': 6, 'seconds': 0}",12,73,FG,True,35,7,38,7
40175269615,401752696,Wisconsin,Big Ten,Alabama,SEC,15,False,4,75,75,"{'minutes': 13, 'seconds': 56}",4,77,77,"{'minutes': 10, 'seconds': 54}","{'minutes': 3, 'seconds': 2}",7,-2,PUNT,False,7,38,7,38
40175269616,401752696,Alabama,SEC,Wisconsin,Big Ten,16,False,4,23,77,"{'minutes': 10, 'seconds': 54}",4,21,79,"{'minutes': 9, 'seconds': 27}","{'minutes': 1, 'seconds': 27}",3,-2,PUNT,True,38,7,38,7
40175269617,401752696,Wisconsin,Big Ten,Alabama,SEC,17,True,4,70,70,"{'minutes': 9, 'seconds': 27}",4,0,0,"{'minutes': 5, 'seconds': 29}","{'minutes': 3, 'seconds': 58}",7,70,TD,False,7,38,14,38
40175269618,401752696,Alabama,SEC,Wisconsin,Big Ten,18,False,4,25,75,"{'minutes': 5, 'seconds': 29}",4,29,71,"{'minutes': 3, 'seconds': 31}","{'minutes': 1, 'seconds': 58}",3,4,PUNT,True,38,14,38,14
40175269619,401752696,Wisconsin,Big Ten,Alabama,SEC,19,False,4,71,71,"{'minutes': 3, 'seconds': 31}",4,48,48,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 31}",6,23,END OF GAME,False,14,38,14,38
4017528201,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,59,41,"{'minutes': 9, 'seconds': 52}","{'minutes': 5, 'seconds': 8}",8,34,PUNT,True,0,0,0,0
4017528202,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,2,True,1,77,77,"{'minutes': 9, 'seconds': 52}",1,9,9,"{'minutes': 4, 'seconds': 13}","{'minutes': 5, 'seconds': 39}",12,68,FG,False,0,0,3,0
4017528203,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,3,False,1,25,75,"{'minutes': 4, 'seconds': 13}",1,33,67,"{'minutes': 2, 'seconds': 24}","{'minutes': 1, 'seconds': 49}",3,8,PUNT,True,0,0,0,3
4017528205,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,4,True,2,20,80,"{'minutes': 14, 'seconds': 0}",2,100,0,"{'minutes': 8, 'seconds': 16}","{'minutes': 5, 'seconds': 44}",11,80,TD,True,0,3,7,3
4017528204,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,5,False,1,79,79,"{'minutes': 2, 'seconds': 24}",2,48,48,"{'minutes': 14, 'seconds': 0}","{'minutes': 3, 'seconds': 24}",7,31,PUNT,False,3,0,3,0
4017528206,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,6,False,2,75,75,"{'minutes': 8, 'seconds': 16}",2,62,62,"{'minutes': 7, 'seconds': 4}","{'minutes': 1, 'seconds': 12}",4,13,INT,False,3,0,10,35
40175282012,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,7,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,25,25,"{'minutes': 8, 'seconds': 18}","{'minutes': 6, 'seconds': 42}",12,50,DOWNS,False,3,14,10,14
40175282013,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,8,True,3,25,75,"{'minutes': 8, 'seconds': 18}",3,100,0,"{'minutes': 7, 'seconds': 26}","{'minutes': 0, 'seconds': 52}",2,75,TD,True,14,3,21,10
40175282014,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,9,False,3,75,75,"{'minutes': 7, 'seconds': 26}",3,83,83,"{'minutes': 5, 'seconds': 18}","{'minutes': 2, 'seconds': 8}",3,-8,PUNT,False,3,14,10,21
40175282016,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,10,False,3,75,75,"{'minutes': 2, 'seconds': 44}",4,55,55,"{'minutes': 14, 'seconds': 5}","{'minutes': 3, 'seconds': 39}",5,20,PUNT,False,10,14,10,28
40175282018,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,11,False,4,75,75,"{'minutes': 10, 'seconds': 24}",4,70,70,"{'minutes': 9, 'seconds': 21}","{'minutes': 1, 'seconds': 3}",3,5,PUNT,False,10,14,10,35
40175282019,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,12,True,4,47,53,"{'minutes': 9, 'seconds': 21}",4,100,0,"{'minutes': 5, 'seconds': 48}","{'minutes': 3, 'seconds': 33}",7,53,TD,True,14,10,42,10
40175282021,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,13,False,4,41,59,"{'minutes': 2, 'seconds': 26}",4,46,54,"{'minutes': 1, 'seconds': 15}","{'minutes': 1, 'seconds': 11}",3,5,FUMBLE,True,21,10,42,10
40175282015,401752820,Wisconsin,Big Ten,Middle Tennessee,Conference USA,14,True,3,50,50,"{'minutes': 5, 'seconds': 18}",3,100,0,"{'minutes': 2, 'seconds': 44}","{'minutes': 2, 'seconds': 34}",5,50,TD,True,21,10,28,10
40175282022,401752820,Middle Tennessee,Conference USA,Wisconsin,Big Ten,15,False,4,44,44,"{'minutes': 1, 'seconds': 15}",4,42,42,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 15}",4,2,END OF GAME,False,10,21,10,42
