id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017568951,401756895,Wyoming,Mountain West,Utah,Big 12,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,26,74,"{'minutes': 14, 'seconds': 8}","{'minutes': 0, 'seconds': 52}",3,1,PUNT,True,0,0,0,0
4017568952,401756895,Utah,Big 12,Wyoming,Mountain West,2,True,1,73,73,"{'minutes': 14, 'seconds': 8}",1,25,25,"{'minutes': 10, 'seconds': 22}","{'minutes': 3, 'seconds': 46}",9,48,FG,False,0,0,3,0
4017568953,401756895,Wyoming,Mountain West,Utah,Big 12,3,False,1,40,60,"{'minutes': 10, 'seconds': 22}",1,59,41,"{'minutes': 6, 'seconds': 12}","{'minutes': 4, 'seconds': 10}",7,19,PUNT,True,0,3,0,3
4017568954,401756895,Utah,Big 12,Wyoming,Mountain West,4,False,1,87,87,"{'minutes': 6, 'seconds': 12}",1,27,27,"{'minutes': 1, 'seconds': 41}","{'minutes': 4, 'seconds': 31}",10,60,MISSED FG,False,3,0,3,0
4017568955,401756895,Wyoming,Mountain West,Utah,Big 12,5,False,1,27,73,"{'minutes': 1, 'seconds': 41}",2,54,46,"{'minutes': 14, 'seconds': 16}","{'minutes': 2, 'seconds': 25}",7,27,PUNT,True,0,3,0,3
4017568956,401756895,Utah,Big 12,Wyoming,Mountain West,6,False,2,99,99,"{'minutes': 14, 'seconds': 16}",2,27,27,"{'minutes': 7, 'seconds': 52}","{'minutes': 6, 'seconds': 24}",16,72,MISSED FG,False,3,0,3,0
4017568957,401756895,Wyoming,Mountain West,Utah,Big 12,7,False,2,27,73,"{'minutes': 7, 'seconds': 52}",2,35,65,"{'minutes': 6, 'seconds': 44}","{'minutes': 1, 'seconds': 8}",3,8,PUNT,True,0,3,0,3
4017568958,401756895,Utah,Big 12,Wyoming,Mountain West,8,False,2,73,73,"{'minutes': 6, 'seconds': 44}",2,65,65,"{'minutes': 4, 'seconds': 49}","{'minutes': 1, 'seconds': 55}",3,8,PUNT,False,3,0,3,0
4017568959,401756895,Wyoming,Mountain West,Utah,Big 12,9,False,2,21,79,"{'minutes': 4, 'seconds': 49}",2,46,54,"{'minutes': 3, 'seconds': 19}","{'minutes': 1, 'seconds': 30}",3,25,FUMBLE,True,0,3,0,3
40175689510,401756895,Utah,Big 12,Wyoming,Mountain West,10,False,2,46,46,"{'minutes': 3, 'seconds': 19}",2,3,3,"{'minutes': 2, 'seconds': 2}","{'minutes': 1, 'seconds': 17}",4,43,FUMBLE,False,3,0,3,0
40175689511,401756895,Wyoming,Mountain West,Utah,Big 12,11,False,2,3,97,"{'minutes': 2, 'seconds': 2}",2,12,88,"{'minutes': 1, 'seconds': 28}","{'minutes': 0, 'seconds': 34}",3,9,PUNT,True,0,3,0,3
40175689512,401756895,Utah,Big 12,Wyoming,Mountain West,12,False,2,55,55,"{'minutes': 1, 'seconds': 28}",2,29,29,"{'minutes': 0, 'seconds': 3}","{'minutes': 1, 'seconds': 25}",10,26,MISSED FG,False,3,0,3,0
40175689513,401756895,Wyoming,Mountain West,Utah,Big 12,13,False,2,29,71,"{'minutes': 0, 'seconds': 3}",2,28,72,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-1,END OF HALF,True,0,3,0,3
40175689514,401756895,Utah,Big 12,Wyoming,Mountain West,14,True,3,83,83,"{'minutes': 14, 'seconds': 54}",3,0,0,"{'minutes': 10, 'seconds': 46}","{'minutes': 4, 'seconds': 8}",10,83,TD,False,3,0,10,0
40175689515,401756895,Wyoming,Mountain West,Utah,Big 12,15,False,3,25,75,"{'minutes': 10, 'seconds': 46}",3,45,55,"{'minutes': 7, 'seconds': 46}","{'minutes': 3, 'seconds': 0}",6,20,PUNT,True,0,10,0,10
40175689516,401756895,Utah,Big 12,Wyoming,Mountain West,16,True,3,80,80,"{'minutes': 7, 'seconds': 46}",3,2,2,"{'minutes': 0, 'seconds': 23}","{'minutes': 7, 'seconds': 23}",19,78,TD,False,10,0,17,0
40175689517,401756895,Wyoming,Mountain West,Utah,Big 12,17,False,3,25,75,"{'minutes': 0, 'seconds': 23}",4,57,43,"{'minutes': 9, 'seconds': 58}","{'minutes': 5, 'seconds': 25}",13,32,INT,True,0,17,0,17
40175689518,401756895,Utah,Big 12,Wyoming,Mountain West,18,True,4,18,18,"{'minutes': 9, 'seconds': 58}",4,0,0,"{'minutes': 8, 'seconds': 35}","{'minutes': 1, 'seconds': 23}",3,18,TD,False,17,0,24,0
40175689519,401756895,Wyoming,Mountain West,Utah,Big 12,19,True,4,25,75,"{'minutes': 8, 'seconds': 35}",4,100,0,"{'minutes': 4, 'seconds': 23}","{'minutes': 4, 'seconds': 12}",8,75,TD,True,0,24,6,24
40175689520,401756895,Utah,Big 12,Wyoming,Mountain West,20,True,4,75,75,"{'minutes': 4, 'seconds': 23}",4,0,0,"{'minutes': 1, 'seconds': 11}","{'minutes': 3, 'seconds': 12}",6,75,TD,False,24,6,31,6
