Timestamp,Date,Bet_Pct,Money_Pct,Odds,Change
12:27 PM,Today,23%,33%,+175,
10:42 AM,Today,23%,32%,+175,
10:32 AM,Today,23%,31%,+175,
9:47 AM,Today,23%,32%,+1751,
9:37 AM,Today,23%,31%,+174,-1
9:22 AM,Today,23%,32%,+175,-5
9:02 AM,Today,23%,32%,+180,
8:27 AM,Today,23%,31%,+180,-5
8:22 AM,Today,23%,31%,+1857,
6:07 AM,Today,23%,31%,+178,-2
12:47 AM,Today,24%,31%,+180,
11:57 PM,Dec 042,5%,31%,+1802,
11:27 PM,Dec 042,5%,32%,+178,
10:47 PM,Dec 042,5%,33%,+178,
10:17 PM,Dec 042,5%,32%,+178,
10:12 PM,Dec 042,5%,33%,+178,
9:37 PM,Dec 042,5%,32%,+178,
9:07 PM,Dec 042,5%,33%,+178,
8:22 PM,Dec 042,5%,32%,+178,
8:07 PM,Dec 042,5%,31%,+178,
7:47 PM,Dec 042,5%,32%,+178,
7:17 PM,Dec 042,5%,31%,+178,
7:07 PM,Dec 042,5%,32%,+178,
6:47 PM,Dec 042,5%,31%,+178,
6:07 PM,Dec 042,5%,30%,+178,
5:47 PM,Dec 042,5%,33%,+178,
5:37 PM,Dec 042,4%,33%,+178,
2:27 PM,Dec 042,5%,33%,+178,
2:07 PM,Dec 042,5%,32%,+178,
1:37 PM,Dec 042,5%,31%,+178,
1:07 PM,Dec 042,5%,30%,+178,
12:47 PM,Dec 042,4%,30%,+178,
12:02 PM,Dec 042,4%,31%,+178,
11:47 AM,Dec 042,5%,31%,+178,
11:27 AM,Dec 042,5%,32%,+178,
11:17 AM,Dec 042,5%,33%,+178,
11:07 AM,Dec 042,4%,32%,+178,
10:52 AM,Dec 042,4%,33%,+178,
10:22 AM,Dec 042,5%,33%,+178,
10:04 AM,Dec 042,5%,32%,+178,-8
9:48 AM,Dec 042,5%,32%,+186,
9:27 AM,Dec 042,5%,30%,+186,
9:08 AM,Dec 042,5%,31%,+186,
8:52 AM,Dec 042,5%,30%,+186,
8:47 AM,Dec 042,5%,31%,+186,
7:43 AM,Dec 042,6%,30%,+186,
7:08 AM,Dec 042,6%,32%,+186,
6:58 AM,Dec 042,6%,31%,+186,
6:48 AM,Dec 042,7%,32%,+186,
6:43 AM,Dec 042,7%,31%,+186,
5:58 AM,Dec 042,7%,32%,+186,
5:53 AM,Dec 042,7%,31%,+186,
5:48 AM,Dec 042,7%,32%,+186,
4:43 AM,Dec 042,8%,32%,+186,
3:43 AM,Dec 042,8%,36%,+186,
3:33 AM,Dec 042,9%,36%,+186,
3:23 AM,Dec 042,9%,37%,+186,
1:58 AM,Dec 042,9%,36%,+186,
1:48 AM,Dec 042,9%,37%,+186,
12:58 AM,Dec 042,9%,36%,+186,
11:53 PM,Dec 033,0%,36%,+186,
11:48 PM,Dec 033,1%,36%,+186,
11:43 PM,Dec 033,0%,36%,+186,
11:38 PM,Dec 033,1%,36%,+186,
11:28 PM,Dec 033,1%,35%,+186,
11:23 PM,Dec 033,1%,36%,+186,
11:08 PM,Dec 033,1%,35%,+186,
10:57 PM,Dec 033,2%,35%,+186,
10:48 PM,Dec 033,2%,34%,+186,
10:43 PM,Dec 033,2%,35%,+186,
10:28 PM,Dec 033,2%,37%,+186,
10:23 PM,Dec 033,2%,36%,+186,
10:12 PM,Dec 033,2%,37%,+186,
9:57 PM,Dec 033,3%,39%,+186,
9:52 PM,Dec 033,3%,40%,+186,
9:42 PM,Dec 033,3%,39%,+186,
9:32 PM,Dec 033,3%,40%,+186,
9:22 PM,Dec 033,3%,39%,+186,
9:17 PM,Dec 033,3%,41%,+186,
9:12 PM,Dec 033,4%,41%,+186,
9:02 PM,Dec 033,4%,39%,+186,
8:52 PM,Dec 033,5%,43%,+186,
8:47 PM,Dec 033,6%,41%,+186,
8:37 PM,Dec 033,6%,42%,+186,
8:32 PM,Dec 033,6%,41%,+186,
8:22 PM,Dec 033,6%,40%,+186,
8:17 PM,Dec 033,7%,40%,+186,
8:12 PM,Dec 033,4%,39%,+186,
8:07 PM,Dec 033,3%,38%,+186,
7:52 PM,Dec 033,1%,36%,+186,
7:47 PM,Dec 033,0%,36%,+186,
7:42 PM,Dec 033,0%,39%,+186,
7:37 PM,Dec 033,0%,38%,+186,
7:27 PM,Dec 033,0%,37%,+186,
7:22 PM,Dec 033,1%,63%,+186,
7:12 PM,Dec 033,0%,72%,+186,
7:07 PM,Dec 033,1%,76%,+186,
6:57 PM,Dec 033,4%,61%,+186,
6:52 PM,Dec 032,6%,76%,+186,
6:27 PM,Dec 032,9%,42%,+186,
5:52 PM,Dec 032,9%,43%,+186,
3:31 PM,Dec 033,0%,43%,+186,
7:22 AM,Dec 033,0%,43%,+186,
10:52 PM,Dec 023,0%,45%,+186,
10:28 PM,Dec 023,0%,46%,+186,
7:27 PM,Dec 023,0%,46%,+186,
7:07 PM,Dec 023,0%,47%,+186,
6:00 PM,Dec 023,0%,46%,+186,
5:59 PM,Dec 023,0%,46%,+186,
4:42 PM,Dec 023,0%,46%,+186,
3:54 PM,Dec 023,0%,47%,+186,
3:35 PM,Dec 023,0%,47%,+186,
3:17 PM,Dec 023,0%,47%,+186,
2:27 PM,Dec 023,0%,52%,+186,
1:57 PM,Dec 023,0%,53%,+186,
1:52 PM,Dec 023,0%,33%,+186,
1:37 PM,Dec 023,0%,32%,+186,-4
1:17 PM,Dec 023,0%,33%,+190,
1:07 PM,Dec 023,0%,32%,+190,
11:52 AM,Dec 023,0%,33%,+190,
11:47 AM,Dec 023,1%,33%,+190,
10:30 AM,Dec 023,1%,34%,+190,
10:29 AM,Dec 023,1%,34%,+190,
10:28 AM,Dec 023,1%,34%,+190,
10:27 AM,Dec 023,1%,34%,+190,
10:22 AM,Dec 023,0%,34%,+190,
10:17 AM,Dec 023,1%,34%,+190,
8:32 AM,Dec 023,0%,34%,+190,
8:02 AM,Dec 023,0%,33%,+190,-4
7:57 AM,Dec 023,0%,34%,+194,
7:52 AM,Dec 023,0%,33%,+194,
7:42 AM,Dec 023,0%,34%,+194,
7:37 AM,Dec 023,0%,33%,+194,
7:07 AM,Dec 023,0%,34%,+194,
6:52 AM,Dec 023,0%,33%,+194,
6:05 AM,Dec 023,1%,33%,+194,-5
1:51 AM,Dec 023,1%,33%,+1995,
1:42 AM,Dec 023,1%,33%,+194,-5
1:22 AM,Dec 023,1%,33%,+199,
1:07 AM,Dec 023,1%,32%,+199,
12:37 AM,Dec 023,1%,33%,+19913,
11:17 PM,Dec 013,1%,33%,+186,
10:57 PM,Dec 013,1%,34%,+186,
10:52 PM,Dec 013,1%,33%,+186,
10:37 PM,Dec 013,1%,33%,+186,
9:42 PM,Dec 013,1%,34%,+186,
6:42 PM,Dec 013,1%,33%,+186,
6:27 PM,Dec 013,2%,33%,+186,
6:20 PM,Dec 013,2%,34%,+186,
6:12 PM,Dec 013,2%,34%,+186,
6:12 PM,Dec 013,2%,34%,+186,
6:05 PM,Dec 013,2%,35%,+186,
5:18 PM,Dec 013,2%,35%,+186,-8
4:01 PM,Dec 013,2%,35%,+194,-6
3:58 PM,Dec 013,2%,35%,+200,
3:57 PM,Dec 013,2%,35%,+2006,
3:42 PM,Dec 013,2%,35%,+194,
3:40 PM,Dec 013,2%,35%,+194,
3:39 PM,Dec 013,2%,35%,+194,
1:42 PM,Dec 013,2%,35%,+194,
1:11 PM,Dec 013,2%,34%,+194,
11:30 AM,Dec 013,2%,34%,+194,
9:14 AM,Dec 013,2%,34%,+194,-1
2:13 AM,Dec 013,2%,34%,+195,
12:28 AM,Dec 013,2%,33%,+195,-5
12:28 AM,Dec 013,2%,33%,+200,
12:03 AM,Dec 013,3%,33%,+2005,
11:48 PM,Nov 303,3%,33%,+195,
11:38 PM,Nov 303,3%,34%,+195,
10:58 PM,Nov 303,3%,33%,+195,
10:38 PM,Nov 303,2%,33%,+195,
10:17 PM,Nov 303,3%,33%,+195,
10:12 PM,Nov 303,2%,33%,+195,
9:22 PM,Nov 303,3%,33%,+195,
7:58 PM,Nov 303,3%,34%,+195,
7:38 PM,Nov 303,3%,33%,+195,
7:33 PM,Nov 303,3%,34%,+195,
7:28 PM,Nov 303,4%,34%,+195,
7:23 PM,Nov 303,3%,34%,+195,
7:13 PM,Nov 303,4%,34%,+195,
5:42 PM,Nov 303,3%,34%,+195,
5:32 PM,Nov 303,3%,33%,+195,
4:17 PM,Nov 303,3%,36%,+195,
4:12 PM,Nov 303,3%,35%,+195,
4:07 PM,Nov 303,3%,36%,+195,
3:42 PM,Nov 303,3%,35%,+1955,
3:32 PM,Nov 303,3%,35%,+1904,
1:27 PM,Nov 303,3%,34%,+186,
12:12 PM,Nov 303,3%,33%,+186,
11:37 AM,Nov 303,3%,32%,+186,
11:27 AM,Nov 303,3%,31%,+186,
10:52 AM,Nov 303,4%,31%,+186,
10:42 AM,Nov 303,4%,30%,+186,
9:12 AM,Nov 303,4%,31%,+186,-8
9:05 AM,Nov 303,4%,31%,+194,
9:04 AM,Nov 303,4%,31%,+194,
9:02 AM,Nov 303,4%,31%,+1948,
9:01 AM,Nov 303,4%,31%,+186,-8
9:01 AM,Nov 303,4%,31%,+194,
9:00 AM,Nov 303,4%,31%,+1948,
9:00 AM,Nov 303,4%,31%,+186,
8:59 AM,Nov 303,4%,31%,+186,-8
8:57 AM,Nov 303,4%,31%,+1948,
8:53 AM,Nov 303,4%,31%,+186,-8
8:52 AM,Nov 303,4%,31%,+1948,
8:52 AM,Nov 303,4%,31%,+186,
8:51 AM,Nov 303,4%,39%,+186,-8
8:50 AM,Nov 303,4%,39%,+1948,
8:32 AM,Nov 303,4%,39%,+186,
8:12 AM,Nov 303,4%,38%,+186,
7:43 AM,Nov 303,4%,39%,+186,
7:38 AM,Nov 303,4%,33%,+186,
5:38 AM,Nov 303,4%,32%,+186,
5:28 AM,Nov 303,5%,32%,+186,
3:37 AM,Nov 303,4%,32%,+186,
2:53 AM,Nov 303,4%,32%,+186,-2
1:17 AM,Nov 303,4%,31%,+188,
1:08 AM,Nov 303,4%,31%,+188,
12:39 AM,Nov 303,4%,30%,+188,
12:38 AM,Nov 303,4%,30%,+188,
