Team,Conference,Overall Rank,Overall Score,Offensive Efficiency Rank,Defensive Efficiency Rank,EPA Performance Rank,Explosiveness Rank,Line of Scrimmage Battle Rank,Passing Efficiency Rank,Rushing Efficiency Rank,Third Down Efficiency Rank,Havoc Rate Rank,Field Position Rank,Finishing Drives Rank,Turnover Margin Rank,Offensive Efficiency,Defensive Efficiency,EPA Performance,Explosiveness,Line of Scrimmage Battle,Passing Efficiency,Rushing Efficiency,Third Down Efficiency,Havoc Rate,Field Position,Finishing Drives,Turnover Margin
Ohio State,Big Ten,1,73.05737566889407,1,7,1,1,99,1,26,6,2,11,12,12,98.97435897435898,71.7360261117911,90.87719298245615,97.33333333333333,31.108132756559584,66.55828789195928,63.42270142274224,75.27472527472527,81.20740019474198,64.04040404040407,69.60227272727275,66.55367231638417
Texas,SEC,2,69.51101880893249,2,22,2,5,85,5,18,16,4,13,8,10,98.7012987012987,62.515299877600974,80.54682159945318,81.12099961039684,33.83518094017412,65.32391618598515,64.98771242857624,67.58241758241758,77.23953261927946,62.62626262626263,70.57557072971872,69.07721280602635
Indiana,Big Ten,3,67.49360032338551,3,24,3,2,95,11,11,14,16,16,69,14,97.02630702630702,61.20971032231742,80.11847801321485,84.50990705181721,32.22646380991115,64.19045776550847,67.22912643012074,68.37128388852526,70.31645569620255,61.11111111111115,57.49337545862212,66.12052730696797
Oregon,Big Ten,4,66.9983038951995,4,50,5,16,84,3,5,7,3,16,54,4,92.76307026307026,51.733986128111,70.2198678514468,72.41581788835086,34.04209442000141,66.27893930125167,69.54347114650376,71.98146680905302,79.82960077896787,61.11111111111115,59.61577660008156,74.44444444444443
Ole Miss,SEC,5,63.90748827496438,8,60,10,17,76,12,15,9,31,7,26,6,79.2948717948718,48.24561403508774,63.59649122807018,72.28326932709967,37.274579641200724,64.01266189298644,66.66414758315342,70.03169244548555,62.72151898734179,67.57575757575763,64.92560130452507,70.26365348399244
Notre Dame,Ind,6,63.88608726227994,7,1,4,6,114,57,83,61,1,27,59,9,80.08991008991009,86.12811097511221,75.64365459102302,80.15308621361385,26.22460695990109,47.233570839047516,49.820619759699284,51.81370353784145,83.29113924050634,57.77777777777784,59.00300652262539,69.4538606403013
Boise State,MW,7,62.9973105439772,6,55,13,9,50,16,6,24,7,9,50,77,82.76473526473526,49.816401468788285,60.516062884483944,76.56102855234596,46.17005172066733,58.82240008507756,69.20336461716721,62.96462158531123,75.21421616358325,67.0707070707071,60.856604158173695,46.007532956685495
Illinois,Big Ten,8,61.85559068041968,24,28,18,23,47,24,31,35,13,18,10,8,61.71828171828173,60.077519379844986,55.4978354978355,69.18163855958144,46.666692342136955,54.94697849667423,62.88342686677281,58.81704502394156,72.54138266796494,59.89898989898994,70.33861598043212,69.69868173258001
Georgia,SEC,9,61.47427467147363,5,21,9,3,82,21,52,50,12,102,58,7,83.22594072594073,62.627498980008156,64.49191159717475,82.38759948795013,34.85051741207694,55.82948698060259,56.18408765507466,54.7159736814909,72.62414800389487,41.717171717171766,59.093456991439076,69.94350282485874
Tennessee,SEC,10,61.12906655372418,10,17,11,10,90,35,60,52,6,31,38,21,77.26190476190477,65.86087311301509,63.170426065162914,74.45505649245838,33.06018227529857,53.34543227038155,54.43439017159138,54.490337248957914,75.49659201557935,57.3737373737374,62.54713615980435,62.05273069679848
Penn State,Big Ten,11,60.293136634721186,11,9,8,8,108,42,70,49,10,60,57,13,73.33083583083584,70.9812321501428,65.78377762588289,76.6626036622697,28.35717043993379,51.55305685224548,52.7731517650056,54.72630817458402,73.3300876338851,50.20202020202027,59.32022013860578,66.49717514124292
Clemson,ACC,12,60.292805359637214,12,59,22,36,75,18,16,29,15,24,14,15,73.22927072927074,48.52101183190537,51.75096832991571,62.42644848889631,37.96159873964254,58.04197136347237,66.40418754429763,61.55224086258568,70.74001947419671,58.787878787878846,68.46718304117411,65.63088512241052
Alabama,SEC,13,60.08181991463693,13,67,26,4,26,13,100,40,50,1,4,47,71.31285381285382,46.41982864137086,49.25153793574846,81.36803584349084,52.83819729442164,62.41223504915189,45.0837309684868,57.788762961176744,58.670886075949376,71.71717171717174,72.74383408071749,51.37476459510358
Miami,ACC,14,59.82895975245989,9,14,6,7,124,40,65,65,27,26,37,19,78.85031635031635,67.60505915952672,67.84575074048757,79.15748316357767,19.097430193531427,52.48309049526088,53.18793558181047,50.56495228909019,64.016553067186,58.1818181818182,62.6821748878924,64.27495291902069
Arizona State,Big 12,15,57.99829339534616,14,25,17,12,93,28,62,12,20,40,43,83,69.58791208791209,60.6079151366789,56.07769423558897,73.85899148438804,32.99463279969437,54.574473494351786,54.16093134509465,68.54352544007716,67.92599805258035,52.52525252525252,61.33688340807177,43.78531073446327
SMU,ACC,16,57.803339066167865,15,16,12,15,109,37,50,51,18,82,64,27,68.5031635031635,66.91146470828232,60.91364775575302,72.64554460956195,28.28138158678516,53.27095750016641,56.46089947357245,54.57129077818731,68.99707887049658,45.35353535353539,57.95709335507544,59.774011299435
Louisiana,Sun Belt,17,57.6752490019654,20,49,24,31,73,30,10,53,29,14,52,23,63.48734598734599,51.89718482252144,50.46821599453178,65.02652084376912,38.26405064435162,54.350166961728824,67.45973276409019,54.41627338179062,63.73417721518989,61.515151515151544,60.41072156543008,61.073446327683605
