Time,Date,Public_Bet_%,Public_Money_%,Odds,Delta
1:50 AM,Today,14,13,+1329,-21
9:52 PM,Dec 16,14,13,+1350,
9:51 PM,Dec 16,14,13,+1350,
8:59 PM,Dec 16,14,13,+1350,-88
8:48 PM,Dec 16,14,13,+1438,
8:47 PM,Dec 16,14,13,+1438,
8:46 PM,Dec 16,14,13,+1438,
8:43 PM,Dec 16,14,13,+1438,
8:03 PM,Dec 16,14,13,+1438,-129
7:47 PM,Dec 16,14,13,+1567,129
7:35 PM,Dec 16,14,13,+1438,
7:35 PM,Dec 16,14,13,+1438,
7:15 PM,Dec 16,14,13,+1438,88
6:51 PM,Dec 16,14,13,+1350,-88
6:43 PM,Dec 16,14,13,+1438,
6:42 PM,Dec 16,14,13,+1438,
6:38 PM,Dec 16,14,13,+1438,
6:25 PM,Dec 16,14,13,+1438,
6:23 PM,Dec 16,14,13,+1438,
6:22 PM,Dec 16,14,13,+1438,
6:21 PM,Dec 16,14,13,+1438,
6:08 PM,Dec 16,14,13,+1438,
6:06 PM,Dec 16,14,13,+1438,
6:06 PM,Dec 16,14,13,+1438,
6:05 PM,Dec 16,14,13,+1438,
5:17 PM,Dec 16,14,13,+1438,
5:16 PM,Dec 16,14,13,+1438,
5:15 PM,Dec 16,14,13,+1438,
5:14 PM,Dec 16,14,13,+1438,
4:24 PM,Dec 16,14,13,+1438,
4:23 PM,Dec 16,14,13,+1438,
4:21 PM,Dec 16,14,13,+1438,
4:18 PM,Dec 16,14,13,+1438,
4:16 PM,Dec 16,14,13,+1438,
4:10 PM,Dec 16,14,13,+1438,-280
4:02 PM,Dec 16,14,13,+1718,280
4:02 PM,Dec 16,14,13,+1438,
3:57 PM,Dec 16,14,13,+1438,
3:54 PM,Dec 16,14,13,+1438,
12:27 PM,Dec 16,14,13,+1438,
12:07 PM,Dec 16,15,13,+1438,
12:02 PM,Dec 16,14,13,+1438,
11:42 AM,Dec 16,15,13,+1438,
11:38 AM,Dec 16,15,13,+1438,
10:41 AM,Dec 16,15,13,+1438,109
10:33 AM,Dec 16,15,13,+1329,
9:31 AM,Dec 16,15,13,+1329,-71
9:04 AM,Dec 16,15,13,+1400,71
8:52 AM,Dec 16,15,13,+1329,-71
8:51 AM,Dec 16,15,13,+1400,71
4:09 AM,Dec 16,15,13,+1329,-71
3:56 AM,Dec 16,15,13,+1400,71
3:38 AM,Dec 16,15,13,+1329,-71
2:49 AM,Dec 16,15,13,+1400,71
2:31 AM,Dec 16,15,13,+1329,-71
2:30 AM,Dec 16,15,13,+1400,71
2:11 AM,Dec 16,15,13,+1329,-71
2:10 AM,Dec 16,15,13,+1400,71
1:59 AM,Dec 16,15,13,+1329,-71
1:58 AM,Dec 16,15,13,+1400,71
1:57 AM,Dec 16,15,13,+1329,-71
1:56 AM,Dec 16,15,13,+1400,71
1:05 AM,Dec 16,15,13,+1329,-71
1:04 AM,Dec 16,15,13,+1400,71
12:56 AM,Dec 16,15,13,+1329,
12:17 AM,Dec 16,15,13,+1329,
11:29 PM,Dec 15,15,13,+1329,-21
8:32 PM,Dec 15,15,13,+1350,
7:53 PM,Dec 15,15,12,+1350,21
4:57 PM,Dec 15,15,12,+1329,
3:52 PM,Dec 15,15,13,+1329,
3:19 PM,Dec 15,15,12,+1329,-21
3:15 PM,Dec 15,15,12,+1350,21
3:14 PM,Dec 15,15,12,+1329,-71
2:58 PM,Dec 15,15,12,+1400,71
1:17 PM,Dec 15,15,12,+1329,
1:16 PM,Dec 15,15,12,+1329,
1:16 PM,Dec 15,15,12,+1329,
1:12 PM,Dec 15,15,12,+1329,
1:10 PM,Dec 15,15,12,+1329,
12:08 PM,Dec 15,15,12,+1329,
12:07 PM,Dec 15,15,12,+1329,
11:44 AM,Dec 15,15,12,+1329,-71
11:43 AM,Dec 15,15,12,+1400,71
11:29 AM,Dec 15,15,12,+1329,-71
11:27 AM,Dec 15,15,12,+1400,71
