"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Boston College","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7381_boston_college-wordmark.png","#88001a","#a39161"
"California","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7066_california_golden_bears-wordmark-2013.png","#031522","#ffc423"
"Clemson","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2397_clemson_tigers-wordmark-2014.png","#F66733","#522d80"
"Duke","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1549_duke_blue_devils-wordmark-1978.png","#001A57","#f1f2f3"
"Florida State","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5954_florida_state_seminoles-wordmark-2014.png","#782F40","#ceb888"
"Georgia Tech","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_tech_wordmark_gt_lockup_02.png","#00223e","#002c56"
"Louisville","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8185_louisville_cardinals-wordmark-2013.png","#ad000a","#cccccc"
"Miami","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png","#004325","#f0f0f0"
"NC State","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_state_wolfpack_logo_wordmark_2011_sportslogosnet-5725.png","#EF1216","#231f20"
"North Carolina","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png","#99bfe5","#13294b"
"Pittsburgh","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9267_pittsburgh_panthers-wordmark-1997.png","#003263","#231f20"
"SMU","ACC","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/smu_mustangs_logo_wordmark_2021_sportslogosnet-3447.png","#E32F38","#ecdcb9"
"Stanford","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/stanford_cardinal_logo_wordmark_2015_sportslogosnet-4752.png","#A80532","#ffffff"
"Syracuse","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png","#F37321","#0d1d37"
